key,name,pos,team,bye,std,half_ppr,ppr,rush_yds,df_points_allowed_per_game,rush_tds,df_sacks,pass_yds,reception_tds,reception_yds,kick_extra_points,pass_ints,kick_30_39,fumbles,kick_40_49,df_fumbles,df_ints,kick_20_29,kick_0_19,df_tds,receptions,pass_tds,df_safeties,kick_50,two_pts
gore_RB_NYJ,Frank Gore,RB,NYJ,11,212.0,251.0,271.5,320.9,,1.8,,,0.1,99.6,,,,1.0,,,,,,,12.3,,,,0.0
armstead_RB_JAX,Ryquell Armstead,RB,JAX,OV-I,213.0,177.0,147.7,231.5,,1.5,,,1.0,78.5,,,,1.0,,,,,,,8.0,,,,
elliott_K_PHI,Jake Elliott,K,PHI,9,213.5,248.0,215.7,,,,,,,,35.6,,9.1,,8.6,,,7.3,0.5,,,,,3.4,
hill_RB_BAL,Justice Hill,RB,BAL,8,214.0,207.0,205.0,155.3,,1.1,,,0.2,81.4,,,,0.6,,,,,,0.2,9.8,,,,0.0
benjamin_RB_ARI,Eno Benjamin,RB,ARI,8,216.0,256.0,285.0,100.6,,0.9,,,0.1,33.5,,,,0.1,,,,,,,4.6,,,,0.0
bailey_K_MIN,Dan Bailey,K,MIN,7,217.5,273.0,227.3,,,,,,,,35.7,,8.8,,7.4,,,7.8,0.2,,,,,3.5,
bowden_RB_MIA,Lynn Bowden Jr.,RB,MIA,11,218.0,219.0,236.0,81.7,,0.3,,,0.2,69.0,,,,0.2,,,,,,,8.7,,,,0.0
cobb_WR_HOU,Randall Cobb,WR,HOU,8,219.0,213.0,205.0,11.7,,0.0,,,3.1,620.5,,,,1.0,,,,,,,46.5,,,,
colts_DST_IND,Colts,DST,IND,7,219.0,275.0,201.0,,21.2,,42.8,,,,,,,11.1,,11.1,12.5,,,2.1,,,0.3,,
knox_TE_BUF,Dawson Knox,TE,BUF,11,220.0,229.0,245.5,0.3,,0.0,,,2.8,461.7,,0.0,,0.0,,,,,,,35.1,,,,
duvernay_WR_BAL,Devin Duvernay,WR,BAL,8,221.0,216.0,212.0,11.9,,0.0,,,1.1,206.8,,,,0.0,,,,,,,17.6,,,,
eagles_DST_PHI,Eagles,DST,PHI,9,222.0,230.0,219.3,,22.1,,39.6,,,,,,,10.8,,10.8,15.0,,,1.8,,,0.3,,
evans_RB_TEN,Darrynton Evans,RB,TEN,7,223.0,210.0,198.5,362.7,,2.2,,,0.8,188.1,,,,1.3,,,,,,,20.8,,,,0.1
koo_K_ATL,Younghoe Koo,K,ATL,10,223.0,286.0,218.3,,,,,,,,36.2,,9.5,,8.6,,,7.7,0.3,,,,,3.5,
shenault_WR_JAX,Laviska Shenault Jr.,WR,JAX,7,224.0,225.0,217.0,72.2,,0.0,,,2.2,473.2,,,,1.0,,,,,,,34.9,,,,
buccaneers_DST_TB,Buccaneers,DST,TB,13,225.0,281.0,209.0,,22.4,,38.5,,,,,,,13.2,,13.2,13.7,,,2.3,,,0.4,,
mcfarland_RB_PIT,Anthony McFarland Jr.,RB,PIT,8,226.0,221.0,203.5,207.7,,1.2,,,0.5,93.6,,,,0.6,,,,,,,11.9,,,,0.1
fitzpatrick_QB_MIA,Ryan Fitzpatrick,QB,MIA,11,227.0,232.0,239.0,110.0,,1.4,,1488.6,,,,6.1,,0.7,,,,,,,,8.5,,,0.9
kelley_RB_LAC,Joshua Kelley,RB,LAC,10,229.0,231.0,210.5,381.9,,3.1,,,0.4,73.8,,,,1.1,,,,,,,8.9,,,,0.0
freeman_RB_DEN,Royce Freeman,RB,DEN,8,231.0,234.0,232.0,150.5,,1.0,,,0.4,87.8,,,,0.6,,,,,,,13.2,,,,0.0
williams_RB_KC,Darrel Williams,RB,KC,10,232.0,202.0,202.0,291.1,,3.8,,,0.9,155.5,,,,1.3,,,,,,,18.4,,,,0.0
perine_RB_NYJ,Lamical Perine,RB,NYJ,11,233.0,280.0,298.0,195.8,,1.2,,,0.7,97.1,,,,0.3,,,,,,,12.5,,,,0.1
beasley_WR_BUF,Cole Beasley,WR,BUF,11,234.0,220.0,216.7,0.3,,0.0,,,4.3,731.8,,0.0,,1.0,,,,,,,60.9,,,,
hill_RB_ATL,Brian Hill,RB,ATL,10,235.0,233.0,229.5,228.2,,1.2,,,0.6,83.5,,,,0.4,,,,,,0.1,9.8,,,,0.0
taylor_QB_LAC,Tyrod Taylor,QB,LAC,10,236.0,242.0,242.5,207.8,,1.2,,2318.9,,,,8.5,,1.1,,,,,,,,13.5,,,0.7
jets_DST_NYJ,Jets,DST,NYJ,11,237.0,236.0,260.5,,23.8,,35.6,,,,,,,10.3,,10.3,13.0,,,1.7,,,0.4,,
seahawks_DST_SEA,Seahawks,DST,SEA,6,238.0,243.0,226.3,,22.2,,36.7,,,,,,,12.9,,12.9,14.1,,,2.3,,,0.3,,
edwards_RB_BAL,Gus Edwards,RB,BAL,8,239.0,265.0,275.0,367.2,,2.1,,,0.0,30.2,,,,0.6,,,,,,,3.9,,,,0.4
love_RB_WSH,Bryce Love,RB,WSH,8,240.0,319.0,227.0,288.2,,1.9,,,0.4,96.4,,,,1.1,,,,,,,11.8,,,,0.0
harris_RB_NE,Damien Harris,RB,NE,6,242.0,200.5,183.0,364.9,,2.4,,,0.4,67.5,,,,1.0,,,,,,,7.9,,,,0.0
kmet_TE_CHI,Cole Kmet,TE,CHI,11,243.0,294.0,252.7,0.8,,0.0,,,1.8,269.1,,0.0,,1.0,,,,,,,25.6,,,,
badgley_K_LAC,Michael Badgley,K,LAC,10,245.0,210.0,255.0,,,,,,,,32.7,,7.8,,9.1,,,8.0,0.6,,,,,3.3,
bernard_RB_CIN,Giovani Bernard,RB,CIN,9,247.0,228.0,229.0,268.6,,1.8,,,0.6,233.4,,,,1.0,,,,,,,30.8,,,,
