key,name,pos,team,bye,std,half_ppr,ppr,kick_extra_points,rush_yds,kick_40_49,df_fumbles,pass_ints,pass_yds,rush_tds,two_pts,reception_yds,kick_0_19,df_tds,kick_50,receptions,reception_tds,fumbles,pass_tds,df_ints,kick_20_29,df_points_allowed_per_game,df_safeties,df_sacks,kick_30_39
jordan_TE_HOU,Brevin Jordan,TE,HOU,6.0,217,250,276,,0.5,,,0.0,,0.0,,399.6,,,,39.7,3.1,0.0,,,,,,,
seahawks_DST_SEA,Seahawks,DST,SEA,11.0,818,275,277,,,,9.3,,,,,,,1.7,,,,9.3,,13.4,,24.0,0.3,34.1,
sermon_RB_SF,Trey Sermon,RB,SF,9.0,265,232,279,,39.0,,,,,0.0,,12.0,,,,2.0,0.0,,,,,,,,
mcbride_TE_ARI,Trey McBride,TE,ARI,13.0,255,255,280,,0.0,,,,,0.0,,244.5,,,,25.0,2.0,1.0,,,,,,,
scott_RB_PHI,Boston Scott,RB,PHI,7.0,273,285,281,,265.0,,,,,3.1,,57.0,,,,7.0,0.1,0.2,,,,,,,
sanders_K_MIA,Jason Sanders,K,MIA,11.0,279,272,282,38.4,,8.1,,,,,,,0.2,,3.6,,,,,,7.5,,,,8.3
guyton_WR_LAC,Jalen Guyton,WR,LAC,8.0,333,287,283,,35.6,,,,,0.0,,272.8,,0.1,,20.2,2.2,0.0,,,,,,,
marshall_WR_CAR,Terrace Marshall Jr.,WR,CAR,13.0,257,263,284,,3.4,,,0.0,,0.0,,393.3,,,,33.4,1.8,0.0,,,,,,,
mckenzie_WR_BUF,Isaiah McKenzie,WR,BUF,7.0,292,283,285,,84.5,,,,,1.2,,264.4,,0.2,,25.3,1.7,0.1,,,,,,,
garoppolo_QB_SF,Jimmy Garoppolo,QB,SF,9.0,237,282,286,,3.0,,,1.8,396.8,0.0,0.3,,,,,,,0.0,2.1,,,,,,
hamler_WR_DEN,KJ Hamler,WR,DEN,9.0,277,292,287,,18.9,,,,,0.1,,370.1,,,,28.1,2.2,0.5,,,,,,,
mariota_QB_ATL,Marcus Mariota,QB,ATL,14.0,230,295,288,,331.7,,,11.3,2863.7,2.1,0.5,,,,,,,0.8,15.2,,,,,,
robinson_WR_NYG,Wan'Dale Robinson,WR,NYG,9.0,246,253,289,,48.0,,,,,0.0,,580.0,,,,51.0,3.0,,,,,,,,
burkhead_RB_HOU,Rex Burkhead,RB,HOU,6.0,314,310,290,,404.0,,,,,3.1,,255.4,,,,31.4,1.4,1.0,,,,,,,
hilliard_RB_TEN,Dontrell Hilliard,RB,TEN,6.0,275,286,291,,292.3,,,,,2.0,,208.5,,,,30.1,0.6,0.8,,,,,,,
uzomah_TE_NYJ,C.J. Uzomah,TE,NYJ,10.0,241,265,292,,0.4,,,0.0,,0.0,,444.8,,,,45.8,2.9,0.0,,,,,,,
wilson_WR_MIA,Cedrick Wilson Jr.,WR,MIA,11.0,296,266,293,,3.4,,,,,0.0,,536.0,,,,44.7,3.4,1.0,,,,,,,
cobb_WR_GB,Randall Cobb,WR,GB,14.0,300,308,294,,6.1,,,0.0,,0.0,,606.6,,,,47.8,5.4,1.0,,,,,,,
smith_QB_SEA,Geno Smith,QB,SEA,11.0,337,296,295,,95.3,,,7.1,1978.6,1.0,0.2,,,,,,,1.3,10.9,,,,,,
trubisky_QB_PIT,Mitch Trubisky,QB,PIT,9.0,233,297,296,,187.8,,,9.2,2444.9,1.6,2.4,,,,,,,0.9,14.8,,,,,,
cardinals_DST_ARI,Cardinals,DST,ARI,13.0,316,320,297,,,,12.3,,,,,,,1.9,,,,12.3,,14.5,,23.4,0.3,38.2,
otton_TE_TB,Cade Otton,TE,TB,11.0,281,301,300,,0.0,,,,,0.0,,242.0,,,,24.0,2.0,1.0,,,,,,,
shepard_WR_NYG,Sterling Shepard,WR,NYG,9.0,272,293,301,,21.6,,,0.0,,0.1,,650.3,,,,64.0,3.1,0.5,,,,,,,
campbell_WR_IND,Parris Campbell,WR,IND,14.0,263,239,302,,9.7,,,0.0,,0.1,,592.0,,,,45.9,3.2,0.0,,,,,,,
washington_WR_DAL,James Washington,WR,DAL,9.0,322,300,304,,4.7,,,0.0,,0.0,,632.6,,,,40.3,5.1,0.0,,,,,,,
crosby_K_GB,Mason Crosby,K,GB,14.0,328,279,305,45.4,,8.1,,,,,,,0.5,,4.0,,,,,,7.9,,,,9.1
robinson_WR_LV,Demarcus Robinson,WR,LV,6.0,795,302,306,,0.3,,,,,0.0,,323.0,,,,26.4,1.8,,,,,,,,
strong_RB_NE,Pierre Strong Jr.,RB,NE,10.0,305,307,307,,100.5,,,,,0.5,,31.5,,,,4.0,0.0,0.0,,,,,,,
patterson_RB_WSH,Jaret Patterson,RB,WSH,14.0,754,303,308,,260.7,,,,,2.0,0.0,60.0,,,,9.1,0.1,1.1,,,,,,,
trautman_TE_NO,Adam Trautman,TE,NO,14.0,250,288,309,,0.5,,,0.0,,0.0,,341.2,,,,33.9,2.6,1.0,,,,,,,
benjamin_RB_ARI,Eno Benjamin,RB,ARI,13.0,253,315,310,,201.5,,,,,1.3,0.0,79.5,,,,10.2,0.3,0.3,,,,,,,
brissett_QB_CLE,Jacoby Brissett,QB,CLE,9.0,232,304,311,,107.5,,,6.6,1968.1,1.2,0.8,,,,,,,1.3,12.2,,,,,,
williams_RB_LAR,Kyren Williams,RB,LAR,7.0,327,299,312,,67.0,,,,,1.0,,15.0,,,,2.0,0.0,,,,,,,,
pringle_WR_CHI,Byron Pringle,WR,CHI,14.0,278,317,313,,0.5,,,0.0,,0.0,,515.7,,,,41.8,3.3,,,,,,,,
snell_RB_PIT,Benny Snell Jr.,RB,PIT,9.0,347,378,314,,196.0,,,,,1.0,,30.0,,,,4.0,0.0,,,,,,,,
lions_DST_DET,Lions,DST,DET,6.0,677,367,315,,,,9.9,,,,,,,1.7,,,,9.9,,13.9,,26.7,0.3,37.0,
reynolds_WR_DET,Josh Reynolds,WR,DET,6.0,788,306,316,,2.1,,,,,0.0,,367.6,,,,26.7,2.1,0.0,,,,,,,
cephus_WR_DET,Quintez Cephus,WR,DET,6.0,301,375,317,,0.0,,,,,0.0,,266.5,,,,19.5,2.5,0.0,,,,,,,
thornton_WR_NE,Tyquan Thornton,WR,NE,10.0,287,291,318,,0.0,,,,,0.0,,205.0,,,,17.0,1.0,,,,,,,,
ridder_QB_ATL,Desmond Ridder,QB,ATL,14.0,274,311,319,,91.5,,,4.0,957.0,0.5,,,,,,,,0.0,5.0,,,,,,
jones_WR_CHI,Velus Jones Jr.,WR,CHI,14.0,299,309,320,,25.0,,,,,0.0,,611.0,,,,50.0,3.0,,,,,,,,
sealsjones_TE_NYG,Ricky Seals-Jones,TE,NYG,9.0,304,312,321,,0.3,,,,,0.0,,215.8,,,,23.2,2.0,0.0,,,,,,,
conklin_TE_NYJ,Tyler Conklin,TE,NYJ,10.0,334,333,322,,0.3,,,,,0.0,,298.1,,,,31.1,1.5,0.0,,,,,,,
howard_TE_BUF,O.J. Howard,TE,BUF,7.0,354,257,323,,0.4,,,,,0.0,,239.2,,,,21.1,1.9,0.0,,,,,,,
berrios_WR_NYJ,Braxton Berrios,WR,NYJ,10.0,321,351,324,,66.8,,,,,1.5,,438.0,,0.1,,43.4,2.3,0.5,,,,,,,
edwards_WR_ATL,Bryan Edwards,WR,ATL,14.0,323,318,325,,1.3,,,0.0,,0.0,,560.4,,,,37.1,2.7,0.0,,,,,,,
johnson_RB_BUF,Duke Johnson Jr.,RB,BUF,7.0,294,316,326,,243.5,,,,,2.5,,104.5,,,,11.0,0.5,1.0,,,,,,,
conner_RB_JAX,Snoop Conner,RB,JAX,11.0,331,324,327,,94.0,,,,,1.0,,47.0,,,,6.0,0.0,,,,,,,,
smith_TE_NE,Jonnu Smith,TE,NE,10.0,313,319,328,,42.3,,,,,0.5,,258.3,,,,24.2,1.7,0.0,,,,,,,
bernard_RB_TB,Giovani Bernard,RB,TB,11.0,332,347,329,,156.9,,,,,1.2,,123.6,,,,15.7,0.4,0.3,,,,,,,
jennings_WR_SF,Jauan Jennings,WR,SF,9.0,345,321,330,,0.4,,,,,0.0,,376.9,,,,29.4,2.4,,,,,,,,
willis_QB_TEN,Malik Willis,QB,TEN,6.0,269,326,332,,20.0,,,1.0,183.5,0.0,,,,,,,,0.0,1.5,,,,,,
sims_WR_WSH,Cam Sims,WR,WSH,14.0,282,327,333,,1.0,,,,,0.0,,168.1,,,,11.8,0.8,,,,,,,,
gordon_WR_KC,Josh Gordon,WR,KC,8.0,560,329,334,,0.0,,,,,,,6.9,,,,0.6,0.0,,,,,,,,
dulcich_TE_DEN,Greg Dulcich,TE,DEN,9.0,310,341,335,,0.0,,,,,0.0,,141.5,,,,14.0,1.0,0.0,,,,,,,
darden_WR_TB,Jaelon Darden,WR,TB,11.0,283,328,336,,2.1,,,,,0.0,,26.6,,0.1,,1.5,0.1,,,,,,,,
westbrookikhine_WR_TEN,Nick Westbrook-Ikhine,WR,TEN,6.0,336,331,337,,0.3,,,,,0.0,,514.1,,,,40.6,3.2,,,,,,,,
watkins_WR_PHI,Quez Watkins,WR,PHI,7.0,315,344,338,,1.2,,,0.0,,0.0,,378.9,,,,26.8,1.8,,,,,,,,
doubs_WR_GB,Romeo Doubs,WR,GB,14.0,318,323,339,,0.0,,,,,0.0,,213.0,,,,18.0,2.0,,,,,,,,
bears_DST_CHI,Bears,DST,CHI,14.0,340,354,340,,,,10.4,,,,,,,2.0,,,,10.4,,13.9,,25.0,0.3,42.7,
harry_WR_CHI,N'Keal Harry,WR,CHI,14.0,285,330,341,,0.5,,,,,0.0,,99.1,,,,7.4,0.7,,,,,,,,
woods_TE_IND,Jelani Woods,TE,IND,14.0,308,325,343,,0.0,,,,,0.0,,255.5,,,,25.0,2.5,1.0,,,,,,,
funk_RB_LAR,Jake Funk,RB,LAR,7.0,293,335,344,,79.2,,,,,0.8,0.0,27.3,,,,3.6,0.1,0.1,,,,,,,
goodwin_WR_SEA,Marquise Goodwin,WR,SEA,11.0,297,338,345,,0.0,,,,,0.0,,59.0,,,,4.0,0.0,,,,,,,,
moss_RB_BUF,Zack Moss,RB,BUF,7.0,342,337,346,,116.2,,,,,0.7,0.0,30.9,,,,4.3,0.2,,,,,,,,
agholor_WR_NE,Nelson Agholor,WR,NE,10.0,311,340,348,,18.7,,,,,0.0,,367.7,,,,28.0,2.6,0.0,,,,,,,
pascal_WR_PHI,Zach Pascal,WR,PHI,7.0,317,339,349,,6.8,,,,,0.0,,140.5,,,,9.9,1.3,0.0,,,,,,,
proche_WR_BAL,James Proche II,WR,BAL,10.0,771,342,350,,0.6,,,,,0.0,,322.2,,,,27.6,2.2,,,,,,,,
bellinger_TE_NYG,Daniel Bellinger,TE,NYG,9.0,307,334,351,,0.0,,,,,0.0,,246.0,,,,24.0,2.0,,,,,,,,
zuerlein_K_NYJ,Greg Zuerlein,K,NYJ,10.0,319,254,352,29.8,,7.4,,,,,,,0.2,,3.7,,,,,,6.5,,,,8.1
lock_QB_SEA,Drew Lock,QB,SEA,11.0,280,343,353,,118.2,,,7.2,1862.5,1.5,0.8,,,,,,,0.9,10.2,,,,,,
smith_WR_NO,Tre'Quan Smith,WR,NO,14.0,330,345,354,,0.4,,,,,0.0,,89.5,,,,9.6,0.9,,,,,,,,
arnold_TE_JAX,Dan Arnold,TE,JAX,11.0,335,346,355,,0.3,,,,,0.0,,370.2,,,,31.5,1.8,1.0,,,,,,,
deguara_TE_GB,Josiah Deguara,TE,GB,14.0,487,349,356,,0.7,,,,,0.0,,204.0,,,,19.3,1.6,0.0,,,,,,,
