key,name,pos,team,bye,std,half_ppr,ppr,reception_yds,kick_40_49,pass_ints,pass_tds,kick_0_19,df_points_allowed_per_game,rush_tds,df_safeties,kick_30_39,pass_yds,df_fumbles,df_tds,df_sacks,df_ints,kick_extra_points,receptions,reception_tds,rush_yds,kick_20_29,two_pts,fumbles,kick_50
pittman_WR_IND,Michael Pittman Jr.,WR,IND,14.0,34,37,35,1047.7,,,,,,0.0,,,,,,,,,94.3,4.7,5.0,,,1.0,
aiyuk_WR_SF,Brandon Aiyuk,WR,SF,9.0,36,33,36,1127.0,,,,,,0.0,,,,,,,,,73.7,7.3,3.0,,,1.0,
kupp_WR_LAR,Cooper Kupp,WR,LAR,6.0,35,35,37,1050.3,,,,,,0.0,,,,,,,,,85.3,7.3,15.7,,,0.5,
mixon_RB_HOU,Joe Mixon,RB,HOU,14.0,44,43,38,312.0,,,,,,7.7,,,,,,,,,41.0,2.3,917.3,,,1.0,
jackson_QB_BAL,Lamar Jackson,QB,BAL,14.0,41,38,39,,,10.7,25.3,,,5.3,,,3506.7,,,,,,,,819.0,,,4.5,
diggs_WR_HOU,Stefon Diggs,WR,HOU,14.0,38,42,40,1030.7,,,,,,0.0,,,,,,,,,84.0,6.7,7.0,,,1.0,
metcalf_WR_SEA,DK Metcalf,WR,SEA,10.0,42,41,41,1053.3,,,,,,0.0,,,,,,,,,70.3,8.7,2.0,,,0.5,
kamara_RB_NO,Alvin Kamara,RB,NO,12.0,45,45,42,478.3,,,,,,5.0,,,,,,,,,66.3,2.0,732.0,,,1.0,
waddle_WR_MIA,Jaylen Waddle,WR,MIA,6.0,39,39,43,1094.3,,,,,,0.0,,,,,,,,,80.0,5.7,22.0,,,0.5,
walker_RB_SEA,Kenneth Walker III,RB,SEA,10.0,43,44,44,230.0,,,,,,9.0,,,,,,,,,29.7,1.0,948.0,,,1.0,
smith_WR_PHI,DeVonta Smith,WR,PHI,5.0,47,46,45,1076.3,,,,,,0.0,,,,,,,,,83.7,7.0,2.0,,,1.0,
moore_WR_CHI,DJ Moore,WR,CHI,7.0,40,40,46,1036.7,,,,,,0.5,,,,,,,,,74.0,7.7,20.7,,,1.0,
andrews_TE_BAL,Mark Andrews,TE,BAL,14.0,51,51,47,845.0,,,,,,0.0,,,,,,,,,69.0,8.3,0.0,,,0.5,
mcbride_TE_ARI,Trey McBride,TE,ARI,11.0,48,47,48,839.3,,,,,,0.0,,,,,,,,,82.0,4.7,0.0,,,0.5,
stroud_QB_HOU,C.J. Stroud,QB,HOU,14.0,50,48,49,,,10.7,30.0,,,2.7,,,4216.3,,,,,,,,179.7,,,3.5,
kincaid_TE_BUF,Dalton Kincaid,TE,BUF,12.0,49,52,50,802.0,,,,,,0.0,,,,,,,,,80.3,5.0,0.0,,,1.0,
nabers_WR_NYG,Malik Nabers,WR,NYG,11.0,46,50,51,1054.7,,,,,,0.0,,,,,,,,,76.0,5.7,8.3,,,1.5,
