key,name,pos,team,bye,std,half_ppr,ppr,kick_40_49,two_pts,receptions,df_fumbles,fumbles,pass_yds,df_points_allowed_per_game,df_tds,kick_extra_points,kick_0_19,rush_yds,reception_yds,pass_ints,df_safeties,kick_20_29,reception_tds,kick_50,pass_tds,df_sacks,kick_30_39,rush_tds,df_ints
brown_WR_PHI,Hollywood Brown,WR,PHI,10.0,275,274,311,,,56.0,,0.0,,,,,,0.0,764.0,,,,5.5,,,,,0.0,
giddens_RB_IND,DJ Giddens,RB,IND,13.0,258,266,312,,,9.0,,,,,,,,141.0,57.0,,,,0.0,,,,,1.0,
bateman_WR_BAL,Rashod Bateman,WR,BAL,13.0,224,236,313,,,38.5,,0.0,,,,,,0.0,593.5,,,,6.0,,,,,0.0,
johnson_RB_BUF,Ty Johnson,RB,BUF,7.0,257,251,314,,,24.0,,0.0,,,,,,224.0,274.0,,,,3.0,,,,,2.0,
milton_QB_DAL,Joe Milton III,QB,DAL,14.0,396,397,315,,,,,0.0,181.0,,,,,21.0,,0.0,,,,,1.0,,,0.0,
lance_WR_NO,Bryce Lance,WR,NO,8.0,278,283,316,,,16.0,,,,,,,,0.0,204.0,,,,1.0,,,,,0.0,
burks_WR_WSH,Treylon Burks,WR,WSH,7.0,287,290,320,,,16.0,,,,,,,,0.0,216.0,,,,1.0,,,,,0.0,
beck_QB_ARI,Carson Beck,QB,ARI,14.0,235,250,321,,,,,0.0,116.0,,,,,7.0,,0.0,,,,,1.0,,,0.0,
taylor_TE_NYJ,Mason Taylor,TE,NYJ,13.0,260,259,322,,,56.0,,0.0,,,,,,,460.0,,,,4.0,,,,,,
palmer_WR_BUF,Joshua Palmer,WR,BUF,7.0,289,291,324,,,26.0,,0.0,,,,,,0.0,337.0,,,,1.5,,,,,0.0,
stidham_QB_DEN,Jarrett Stidham,QB,DEN,10.0,956,956,327,,,,,0.0,144.0,,,,,19.0,,0.0,,,,,1.0,,,0.0,
douglas_WR_MIA,Caleb Douglas,WR,MIA,6.0,250,262,328,,,39.5,,1.0,,,,,,5.5,507.0,,,,2.5,,,,,0.0,
