key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
mahomes_QB_KC,Patrick Mahomes,QB,KC,37,4968,11,3,366,,,,,1,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,28,3917,10,10,835,,,,,3,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,33,4284,19,6,657,,,,,5,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,31,4580,14,5,288,,,,,2,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,29,3757,15,3,783,,,,,2,,,,,,,,,,,,
fields_QB_CHI,Justin Fields,QB,CHI,23,2695,19,6,1176,,,,,3,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,29,4759,14,1,174,,,,,2,,,,,,,,,,,,
cousins_QB_MIN,Kirk Cousins,QB,MIN,30,4621,13,2,100,,,,,3,,,,,,,,,,,,
watson_QB_CLE,Deshaun Watson,QB,CLE,23,3973,18,6,529,,,,,1,,,,,,,,,,,,
goff_QB_DET,Jared Goff,QB,DET,30,4300,7,0,81,,,,,4,,,,,,,,,,,,
wilson_QB_DEN,Russell Wilson,QB,DEN,24,4023,12,4,359,,,,,2,,,,,,,,,,,,
jones_QB_NYG,Daniel Jones,QB,NYG,22,3319,9,4,670,,,,,3,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,29,3899,17,2,267,,,,,3,,,,,,,,,,,,
rodgers_QB_NYJ,Aaron Rodgers,QB,NYJ,25,4381,6,2,82,,,,,3,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,26,4015,13,4,282,,,,,8,,,,,,,,,,,,
smith_QB_SEA,Geno Smith,QB,SEA,26,4012,13,1,326,,,,,4,,,,,,,,,,,,
richardson_QB_IND,Anthony Richardson,QB,IND,17,2983,20,5,981,,,,,2,,,,,,,,,,,,
purdy_QB_SF,Brock Purdy,QB,SF,26,3560,8,2,44,,,,,1,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,19,3576,19,4,563,,,,,2,,,,,,,,,,,,
pickett_QB_PIT,Kenny Pickett,QB,PIT,20,3732,14,3,336,,,,,1,,,,,,,,,,,,
carr_QB_NO,Derek Carr,QB,NO,24,3869,11,0,117,,,,,2,,,,,,,,,,,,
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,23,3992,14,1,95,,,,,1,,,,,,,,,,,,
young_QB_CAR,Bryce Young,QB,CAR,23,3848,14,1,138,,,,,1,,,,,,,,,,,,
garoppolo_QB_LV,Jimmy Garoppolo,QB,LV,22,3468,13,2,40,,,,,2,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,23,3718,17,1,50,,,,,4,,,,,,,,,,,,
love_QB_GB,Jordan Love,QB,GB,22,3704,17,0,43,,,,,1,,,,,,,,,,,,
stroud_QB_HOU,C.J. Stroud,QB,HOU,21,3443,18,1,109,,,,,2,,,,,,,,,,,,
ridder_QB_ATL,Desmond Ridder,QB,ATL,21,2641,9,1,199,,,,,4,,,,,,,,,,,,
mayfield_QB_TB,Baker Mayfield,QB,TB,17,3523,12,1,72,,,,,2,,,,,,,,,,,,
jones_QB_NE,Mac Jones,QB,NE,19,3313,17,1,127,,,,,2,,,,,,,,,,,,
howell_QB_WSH,Sam Howell,QB,WSH,20,3000,15,1,135,,,,,2,,,,,,,,,,,,
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,17,2798,17,3,175,,,,,2,,,,,,,,,,,,
trask_QB_TB,Kyle Trask,QB,TB,4,836,3,0,14,,,,,0,,,,,,,,,,,,
hoyer_QB_LV,Brian Hoyer,QB,LV,4,650,2,0,7,,,,,0,,,,,,,,,,,,
brissett_QB_WSH,Jacoby Brissett,QB,WSH,3,518,3,0,35,,,,,1,,,,,,,,,,,,
blough_QB_ARI,David Blough,QB,ARI,3,507,3,0,25,,,,,1,,,,,,,,,,,,
white_QB_MIA,Mike White,QB,MIA,2,431,2,0,5,,,,,0,,,,,,,,,,,,
mccoy_QB_ARI,Colt McCoy,QB,ARI,2,346,2,0,20,,,,,0,,,,,,,,,,,,
darnold_QB_SF,Sam Darnold,QB,SF,2,273,1,0,21,,,,,0,,,,,,,,,,,,
levis_QB_TEN,Will Levis,QB,TEN,2,308,2,0,2,,,,,0,,,,,,,,,,,,
heinicke_QB_ATL,Taylor Heinicke,QB,ATL,2,281,1,0,27,,,,,1,,,,,,,,,,,,
walker_QB_CHI,P.J. Walker,QB,CHI,2,299,2,0,11,,,,,0,,,,,,,,,,,,
winston_QB_NO,Jameis Winston,QB,NO,1,158,0,0,19,,,,,0,,,,,,,,,,,,
stidham_QB_DEN,Jarrett Stidham,QB,DEN,1,164,0,0,21,,,,,0,,,,,,,,,,,,
mariota_QB_PHI,Marcus Mariota,QB,PHI,1,160,0,0,27,,,,,0,,,,,,,,,,,,
gabbert_QB_KC,Blaine Gabbert,QB,KC,1,180,0,0,12,,,,,0,,,,,,,,,,,,
taylor_QB_NYG,Tyrod Taylor,QB,NYG,1,135,0,0,22,,,,,0,,,,,,,,,,,,
zappe_QB_NE,Bailey Zappe,QB,NE,1,135,1,0,4,,,,,1,,,,,,,,,,,,
duggan_QB_LAC,Max Duggan,QB,LAC,1,144,0,0,3,,,,,0,,,,,,,,,,,,
hall_QB_MIN,Jaren Hall,QB,MIN,1,141,0,0,3,,,,,0,,,,,,,,,,,,
oconnell_QB_LV,Aidan O'Connell,QB,LV,1,133,0,0,4,,,,,0,,,,,,,,,,,,
hooker_QB_DET,Hendon Hooker,QB,DET,1,129,0,0,4,,,,,0,,,,,,,,,,,,
mckee_QB_PHI,Tanner McKee,QB,PHI,1,120,0,0,6,,,,,0,,,,,,,,,,,,
lock_QB_SEA,Drew Lock,QB,SEA,1,163,1,0,18,,,,,0,,,,,,,,,,,,
dobbs_QB_CLE,Joshua Dobbs,QB,CLE,1,159,1,0,22,,,,,0,,,,,,,,,,,,
huntley_QB_BAL,Tyler Huntley,QB,BAL,1,153,1,0,25,,,,,0,,,,,,,,,,,,
siemian_QB_CIN,Trevor Siemian,QB,CIN,1,181,1,0,11,,,,,0,,,,,,,,,,,,
haener_QB_NO,Jake Haener,QB,NO,1,118,0,0,4,,,,,0,,,,,,,,,,,,
