"","name","pos","pts_ppr_cbs","pts_cbs"
"163","Ameer Abdullah","RB","16","11"
"164","Alfred Blue","RB","13","9"
"165","Kalen Ballage","RB","13","8"
"166","Christine Michael","RB","11","8"
"167","Orleans Darkwa","RB","11","8"
"168","Jacquizz Rodgers","RB","11","8"
"169","Andre Ellington","RB","11","7"
"170","Anthony Sherman","RB","10","6"
"171","Samaje Perine","RB","10","6"
"172","Jamize Olawale","RB","9","5"
"173","DeAndre Washington","RB","9","5"
"174","Benny Cunningham","RB","6","4"
"175","Lance Dunbar","RB","6","4"
"176","Damien Williams","RB","6","4"
"177","James Develin","RB","6","4"
"178","Zach Line","RB","5","3"
"179","Dalton Crossan","RB","5","3"
"180","Patrick DiMarco","RB","5","3"
"181","Stevan Ridley","RB","5","3"
"182","Gus Edwards","RB","5","3"
"183","John Kelly","RB","5","3"
"184","Mark Thompson","RB","5","3"
"185","Andy Janovich","RB","5","3"
"186","David Williams","RB","4","2"
"187","Roosevelt Nix-Jones","RB","4","2"
"188","Ito Smith","RB","4","2"
"189","Branden Oliver","RB","4","2"
"190","Justin Davis","RB","4","2"
"191","Jay Prosch","RB","4","2"
"192","Trenton Cannon","RB","4","2"
"193","C.J. Spiller","RB","3","2"
"194","Jalston Fowler","RB","3","1"
"195","Trey Edmunds","RB","3","1"
"196","Keith Smith","RB","3","1"
"197","Shane Smith","RB","2","1"
"198","Eddie Lacy","RB","2","1"
"199","Derek Watt","RB","2","1"
"200","Tion Green","RB","2","1"
"201","Fitzgerald Toussaint","RB","1","0"
"202","Byron Marshall","RB","1","0"
"203","Tyler Ervin","RB","1","0"
"204","Daniel Lasco","RB","1","0"
"205","Brandon Bolden","RB","1","0"
"206","Derrick Coleman","RB","1","0"
"207","Marquez Williams","RB","1","0"
"208","Michael Burton","RB","1","0"
"209","Taiwan Jones","RB","0","0"
"210","Matt Dayes","RB","0","0"
"211","Brandon Wilson","RB","0","0"
"212","Senorise Perry","RB","0","0"
"213","David Fluellen","RB","0","0"
"214","Antonio Brown","WR","323","211"
"215","DeAndre Hopkins","WR","272","178"
"216","Odell Beckham","WR","264","163"
"217","Julio Jones","WR","260","156"
"218","Michael Thomas","WR","257","155"
"219","Davante Adams","WR","246","152"
"220","Keenan Allen","WR","241","146"
"221","A.J. Green","WR","239","145"
