key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
higgins_WR_CIN,Tee Higgins,WR,CIN,,,,0.0,0.0,70.0,7.0,1031.0,,,,,,,,,,,,,,
pickens_WR_PIT,George Pickens,WR,PIT,,,,0.0,29.0,71.0,5.0,1091.0,,,,,,,,,,,,,,
kincaid_TE_BUF,Dalton Kincaid,TE,BUF,,,,0.0,0.0,75.0,4.0,727.0,,,,,,,,,,,,,,
white_RB_LV,Zamir White,RB,LV,,,,5.0,867.0,35.0,1.0,247.0,,,,,,,,,,,,,,
brooks_RB_CAR,Jonathon Brooks,RB,CAR,,,,6.0,765.0,31.0,1.0,226.0,,,,,,,,,,,,,,
stroud_QB_HOU,C.J. Stroud,QB,HOU,27.0,4050.0,11.0,3.0,182.0,,,,,,,,,,,,,,,,,
montgomery_RB_DET,David Montgomery,RB,DET,,,,9.0,800.0,22.0,1.0,163.0,,,,,,,,,,,,,,
swift_RB_CHI,D'Andre Swift,RB,CHI,,,,5.0,835.0,35.0,1.0,249.0,,,,,,,,,,,,,,
conner_RB_ARI,James Conner,RB,ARI,,,,6.0,813.0,33.0,1.0,224.0,,,,,,,,,,,,,,
engram_TE_JAX,Evan Engram,TE,JAX,,,,0.0,0.0,87.0,3.0,786.0,,,,,,,,,,,,,,
godwin_WR_TB,Chris Godwin,WR,TB,,,,0.0,25.0,81.0,5.0,972.0,,,,,,,,,,,,,,
cooper_WR_CLE,Amari Cooper,WR,CLE,,,,0.0,0.0,73.0,5.0,1031.0,,,,,,,,,,,,,,
pitts_TE_ATL,Kyle Pitts,TE,ATL,,,,0.0,0.0,60.0,4.0,830.0,,,,,,,,,,,,,,
allen_WR_CHI,Keenan Allen,WR,CHI,,,,0.0,12.0,84.0,5.0,883.0,,,,,,,,,,,,,,
warren_RB_PIT,Jaylen Warren,RB,PIT,,,,3.0,599.0,54.0,1.0,370.0,,,,,,,,,,,,,,
robinson_RB_WSH,Brian Robinson Jr.,RB,WSH,,,,5.0,829.0,35.0,1.0,280.0,,,,,,,,,,,,,,
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,,,,0.0,0.0,72.0,3.0,984.0,,,,,,,,,,,,,,
kittle_TE_SF,George Kittle,TE,SF,,,,0.0,0.0,63.0,5.0,844.0,,,,,,,,,,,,,,
reed_WR_GB,Jayden Reed,WR,GB,,,,1.0,88.0,62.0,5.0,760.0,,,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,27.0,4119.0,11.0,3.0,173.0,,,,,,,,,,,,,,,,,
kirk_WR_JAX,Christian Kirk,WR,JAX,,,,0.0,12.0,83.0,4.0,950.0,,,,,,,,,,,,,,
johnson_WR_CAR,Diontae Johnson,WR,CAR,,,,0.0,13.0,71.0,6.0,987.0,,,,,,,,,,,,,,
harris_RB_PIT,Najee Harris,RB,PIT,,,,6.0,892.0,28.0,1.0,169.0,,,,,,,,,,,,,,
rice_WR_KC,Rashee Rice,WR,KC,,,,0.0,10.0,68.0,7.0,793.0,,,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,27.0,4075.0,12.0,2.0,227.0,,,,,,,,,,,,,,,,,
spears_RB_TEN,Tyjae Spears,RB,TEN,,,,3.0,509.0,50.0,2.0,406.0,,,,,,,,,,,,,,
