key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
allen_QB_BUF,Josh Allen,QB,BUF,30,3705,13,11,609,,,,,4,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,33,3349,10,3,603,,,,,4,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,33,4444,12,2,174,,,,,2,,,,,,,,,,,,
daniels_QB_WSH,Jayden Daniels,QB,WSH,27,3465,12,5,745,,,,,2,,,,,,,,,,,,
maye_QB_NE,Drake Maye,QB,NE,28,3959,11,4,550,,,,,6,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,26,3371,6,8,489,,,,,4,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,34,4248,14,1,165,,,,,1,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,30,3803,15,6,327,,,,,3,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,29,3671,12,4,436,,,,,1,,,,,,,,,,,,
purdy_QB_SF,Brock Purdy,QB,SF,29,4114,16,5,349,,,,,5,,,,,,,,,,,,
dart_QB_NYG,Jaxson Dart,QB,NYG,26,3520,14,7,531,,,,,2,,,,,,,,,,,,
jones_QB_IND,Daniel Jones,QB,IND,31,3964,12,4,172,,,,,3,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,28,3774,13,2,544,,,,,2,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,34,4046,7,0,38,,,,,2,,,,,,,,,,,,
mayfield_QB_TB,Baker Mayfield,QB,TB,30,3947,15,2,397,,,,,3,,,,,,,,,,,,
williams_QB_CHI,Caleb Williams,QB,CHI,29,3783,10,2,401,,,,,2,,,,,,,,,,,,
goff_QB_DET,Jared Goff,QB,DET,34,4233,10,0,44,,,,,4,,,,,,,,,,,,
willis_QB_MIA,Malik Willis,QB,MIA,25,3097,17,5,723,,,,,6,,,,,,,,,,,,
nix_QB_DEN,Bo Nix,QB,DEN,27,3514,10,3,306,,,,,1,,,,,,,,,,,,
shough_QB_NO,Tyler Shough,QB,NO,24,3996,13,4,326,,,,,4,,,,,,,,,,,,
darnold_QB_SEA,Sam Darnold,QB,SEA,31,4096,13,0,144,,,,,6,,,,,,,,,,,,
stroud_QB_HOU,C.J. Stroud,QB,HOU,28,3935,12,1,249,,,,,3,,,,,,,,,,,,
murray_QB_MIN,Kyler Murray,QB,MIN,27,3398,21,4,491,,,,,4,,,,,,,,,,,,
love_QB_GB,Jordan Love,QB,GB,29,3672,10,0,186,,,,,2,,,,,,,,,,,,
brissett_QB_ARI,Jacoby Brissett,QB,ARI,25,3775,12,2,257,,,,,6,,,,,,,,,,,,
watson_QB_CLE,Deshaun Watson,QB,CLE,21,3308,14,3,319,,,,,6,,,,,,,,,,,,
tagovailoa_QB_ATL,Tua Tagovailoa,QB,ATL,24,3456,10,0,54,,,,,2,,,,,,,,,,,,
young_QB_CAR,Bryce Young,QB,CAR,22,3110,16,3,266,,,,,2,,,,,,,,,,,,
smith_QB_NYJ,Geno Smith,QB,NYJ,25,2934,16,1,252,,,,,1,,,,,,,,,,,,
ward_QB_TEN,Cam Ward,QB,TEN,22,3156,9,3,154,,,,,6,,,,,,,,,,,,
rodgers_QB_PIT,Aaron Rodgers,QB,PIT,23,3071,9,1,67,,,,,2,,,,,,,,,,,,
mendoza_QB_LV,Fernando Mendoza,QB,LV,19,2630,16,1,238,,,,,2,,,,,,,,,,,,
cousins_QB_LV,Kirk Cousins,QB,LV,5,674,4,0,9,,,,,1,,,,,,,,,,,,
penix_QB_ATL,Michael Penix Jr.,QB,ATL,4,610,2,0,18,,,,,0,,,,,,,,,,,,
simpson_QB_LAR,Ty Simpson,QB,LAR,4,450,1,0,32,,,,,0,,,,,,,,,,,,
mariota_QB_WSH,Marcus Mariota,QB,WSH,3,346,1,0,6,,,,,0,,,,,,,,,,,,
ewers_QB_MIA,Quinn Ewers,QB,MIA,1,124,1,0,19,,,,,0,,,,,,,,,,,,
milton_QB_DAL,Joe Milton III,QB,DAL,1,181,0,0,21,,,,,0,,,,,,,,,,,,
mills_QB_HOU,Davis Mills,QB,HOU,1,161,0,0,19,,,,,0,,,,,,,,,,,,
ridder_QB_GB,Desmond Ridder,QB,GB,1,150,0,0,21,,,,,0,,,,,,,,,,,,
stidham_QB_DEN,Jarrett Stidham,QB,DEN,1,144,0,0,19,,,,,0,,,,,,,,,,,,
buechele_QB_BUF,Shane Buechele,QB,BUF,1,150,0,0,20,,,,,0,,,,,,,,,,,,
rudolph_QB_PIT,Mason Rudolph,QB,PIT,1,136,0,0,17,,,,,0,,,,,,,,,,,,
dobbs_QB_NE,Joshua Dobbs,QB,NE,1,162,0,0,9,,,,,0,,,,,,,,,,,,
bridgewater_QB_DET,Teddy Bridgewater,QB,DET,1,165,0,0,13,,,,,0,,,,,,,,,,,,
bagent_QB_CHI,Tyson Bagent,QB,CHI,1,153,0,0,14,,,,,0,,,,,,,,,,,,
minshew_QB_ARI,Gardner Minshew,QB,ARI,1,154,0,0,16,,,,,0,,,,,,,,,,,,
huntley_QB_BAL,Tyler Huntley,QB,BAL,1,133,0,0,28,,,,,0,,,,,,,,,,,,
levis_QB_TEN,Will Levis,QB,TEN,1,129,0,0,19,,,,,0,,,,,,,,,,,,
jones_QB_SF,Mac Jones,QB,SF,1,166,1,0,18,,,,,0,,,,,,,,,,,,
lock_QB_SEA,Drew Lock,QB,SEA,1,158,1,0,21,,,,,0,,,,,,,,,,,,
morton_QB_NE,Behren Morton,QB,NE,1,121,0,0,10,,,,,0,,,,,,,,,,,,
rattler_QB_NO,Spencer Rattler,QB,NO,1,160,1,0,17,,,,,0,,,,,,,,,,,,
leonard_QB_IND,Riley Leonard,QB,IND,1,162,0,0,20,,,,,1,,,,,,,,,,,,
henigan_QB_IND,Seth Henigan,QB,IND,1,122,0,0,9,,,,,0,,,,,,,,,,,,
mckee_QB_PHI,Tanner McKee,QB,PHI,1,129,0,0,16,,,,,0,,,,,,,,,,,,
nussmeier_QB_KC,Garrett Nussmeier,QB,KC,1,111,0,0,8,,,,,0,,,,,,,,,,,,
browning_QB_TB,Jake Browning,QB,TB,1,152,1,0,26,,,,,0,,,,,,,,,,,,
dalton_QB_PHI,Andy Dalton,QB,PHI,1,140,0,0,23,,,,,1,,,,,,,,,,,,
payton_QB_PHI,Cole Payton,QB,PHI,1,105,0,0,10,,,,,0,,,,,,,,,,,,
trubisky_QB_TEN,Mitch Trubisky,QB,TEN,1,116,0,0,7,,,,,0,,,,,,,,,,,,
lance_QB_LAC,Trey Lance,QB,LAC,1,149,1,0,20,,,,,0,,,,,,,,,,,,
