"","name","pos","pts_fox"
"218","Ameer Abdullah","RB","18.4"
"219","Orleans Darkwa","RB","17.6"
"220","Kapri Bibbs","RB","17.5"
"221","Aaron Ripkowski","RB","16.4"
"222","Javorius Allen","RB","16.3"
"223","Reggie Bush","RB","16.1"
"224","Denard Robinson","RB","16.1"
"225","Chris Johnson","RB","15.8"
"226","Jonathan Grimes","RB","15.7"
"227","Ronnie Hillman","RB","15.1"
"228","Lance Dunbar","RB","14.8"
"229","Malcolm Brown","RB","12.4"
"230","Knile Davis","RB","11.9"
"231","Danny Woodhead","RB","11.5"
"232","Mike Davis","RB","10.7"
"233","Antone Smith","RB","9.6"
"234","Brandon Wilds","RB","9.2"
"235","Jalston Fowler","RB","9.1"
"236","Corey Grant","RB","9.1"
"237","Terron Ward","RB","9.1"
"238","Zach Line","RB","8.8"
"239","Jonathan Williams","RB","8.7"
"240","Stepfan Taylor","RB","8.2"
"241","C.J. Spiller","RB","7.9"
"242","Malcolm Johnson","RB","7.2"
"243","Dexter McCluster","RB","7.0"
"244","Patrick DiMarco","RB","6.3"
"245","Tyler Ervin","RB","6.2"
"246","Kenjon Barner","RB","5.9"
"247","Marcel Reece","RB","5.4"
"248","Juwan Thompson","RB","4.5"
"249","Bishop Sankey","RB","4.4"
"250","James Develin","RB","4.1"
"251","Khiry Robinson","RB","3.9"
"252","Cedric Peerman","RB","3.8"
"253","Brandon Burks","RB","3.6"
"254","Jordan Todman","RB","2.9"
"255","Michael Burton","RB","2.8"
"256","John Kuhn","RB","2.2"
"398","Julio Jones","WR","218.2"
"399","Antonio Brown","WR","203.1"
"400","Odell Beckham Jr.","WR","196.6"
"401","Jordy Nelson","WR","173.7"
"402","DeAndre Hopkins","WR","169.0"
"403","T.Y. Hilton","WR","166.5"
"404","Amari Cooper","WR","163.4"
"405","Mike Evans","WR","161.9"
"406","Brandon Marshall","WR","160.4"
"407","Brandin Cooks","WR","157.2"
"408","Jarvis Landry","WR","151.5"
"409","Emmanuel Sanders","WR","147.0"
"410","Larry Fitzgerald","WR","145.6"
"411","Allen Robinson","WR","144.5"
"412","Demaryius Thomas","WR","143.9"
"413","Doug Baldwin","WR","143.8"
"414","Julian Edelman","WR","143.6"
"415","Marvin Jones Jr.","WR","143.0"
"416","DeSean Jackson","WR","140.4"
"417","Jordan Matthews","WR","139.5"
"418","Travis Benjamin","WR","135.9"
"419","Alshon Jeffery","WR","135.3"
"420","Dez Bryant","WR","134.9"
"421","Tyrell Williams","WR","134.6"
"422","A.J. Green","WR","133.6"
"423","Michael Crabtree","WR","133.5"
"424","Quincy Enunwa","WR","129.1"
"425","Stefon Diggs","WR","127.8"
"426","Jeremy Maclin","WR","126.7"
"427","Dontrelle Inman","WR","126.2"
"428","Terrelle Pryor Sr.","WR","125.8"
"429","DeVante Parker","WR","124.8"
"430","Golden Tate","WR","123.2"
"431","Kenny Britt","WR","119.9"
"432","Kelvin Benjamin","WR","119.8"
"433","Randall Cobb","WR","118.5"
"434","Kenny Stills","WR","118.4"
"435","Michael Thomas","WR","116.8"
"436","John Brown","WR","116.1"
"437","Willie Snead","WR","115.6"
"438","Anquan Boldin","WR","114.9"
"439","Mike Wallace","WR","112.5"
"440","Brandon LaFell","WR","111.2"
"441","Sterling Shepard","WR","109.2"
"442","Torrey Smith","WR","109.2"
"443","Jeremy Kerley","WR","109.1"
"444","Will Fuller V","WR","107.4"
"445","Pierre Garcon","WR","101.9"
"446","Phillip Dorsett","WR","100.8"
"447","Cole Beasley","WR","99.8"
"448","Tavon Austin","WR","99.0"
"449","Steve Smith Sr.","WR","96.0"
"450","Mohamed Sanu","WR","93.4"
"451","Michael Floyd","WR","91.6"
"452","Jamison Crowder","WR","91.3"
"453","Rishard Matthews","WR","89.6"
"454","Terrance Williams","WR","88.6"
"455","Tajae Sharpe","WR","87.8"
"456","Ted Ginn Jr.","WR","87.6"
"457","Jermaine Kearse","WR","87.4"
"458","Corey Coleman","WR","84.7"
"459","Ty Montgomery","WR","83.9"
"460","Allen Hurns","WR","83.1"
"461","Seth Roberts","WR","82.2"
"462","Danny Amendola","WR","81.6"
"463","Marqise Lee","WR","81.6"
"464","Kamar Aiken","WR","79.5"
"465","Adam Thielen","WR","79.3"
"466","Tyler Lockett","WR","76.7"
"467","Victor Cruz","WR","76.1"
"468","Brian Quick","WR","75.0"
"469","Tyreek Hill","WR","74.0"
"470","Andrew Hawkins","WR","73.5"
"471","Sammie Coates","WR","72.8"
"472","Tyler Boyd","WR","72.6"
"473","Chris Hogan","WR","71.4"
"474","Breshad Perriman","WR","69.4"
"475","Sammy Watkins","WR","69.3"
"476","Nelson Agholor","WR","68.7"
"477","Robert Woods","WR","67.6"
