key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
tucker_RB_TB,Sean Tucker,RB,TB,,,,,33,2,,18,,,,,,,,,,,,,,
pringle_WR_WSH,Byron Pringle,WR,WSH,,,,,2,3,,35,,,,,,,,,,,,,,
hasty_RB_NE,JaMycal Hasty,RB,NE,,,,,25,2,,15,,,,,,,,,,,,,,
ingram_RB_KC,Keaontay Ingram,RB,KC,,,,,30,2,,10,,,,,,,,,,,,,,
dotson_RB_LAC,Elijah Dotson,RB,LAC,,,,,24,2,,15,,,,,,,,,,,,,,
gaskin_RB_MIN,Myles Gaskin,RB,MIN,,,,,26,2,,11,,,,,,,,,,,,,,
jones_WR_CHI,Velus Jones Jr.,WR,CHI,,,,,6,2,,30,,,,,,,,,,,,,,
perine_RB_PIT,La'Mical Perine,RB,PIT,,,,,25,2,,11,,,,,,,,,,,,,,
taylor_RB_SF,Patrick Taylor,RB,SF,,,,,17,2,,15,,,,,,,,,,,,,,
evans_RB_LAR,Zach Evans,RB,LAR,,,,,32,1,,9,,,,,,,,,,,,,,
thompsonrobinson_QB_CLE,Dorian Thompson-Robinson,QB,CLE,,87,,,13,,,,,,,,,,,,,,,,,
carter_WR_CHI,DeAndre Carter,WR,CHI,,,,,6,2,,21,,,,,,,,,,,,,,
vaki_RB_DET,Sione Vaki,RB,DET,,,,,26,1,,5,,,,,,,,,,,,,,
schrader_RB_SF,Cody Schrader,RB,SF,,,,,23,1,,2,,,,,,,,,,,,,,
davisprice_RB_PHI,Tyrion Davis-Price,RB,PHI,,,,,17,1,,3,,,,,,,,,,,,,,
leary_QB_BAL,Devin Leary,QB,BAL,,65,,,,,,,,,,,,,,,,,,,,
oginni_TE_ATL,Kehinde Oginni Hassan,TE,ATL,,,,,,,,,,,,,,,,,,,,,,
adkins_TE_DEN,Nate Adkins,TE,DEN,,,,,,,,,,,,,,,,,,,,,,
alexander_WR_DET,Maurice Alexander,WR,DET,,,,,,,,,,,,,,,,,,,,,,
ali_WR_ATL,Josh Ali,WR,ATL,,,,,,,,,,,,,,,,,,,,,,
all_TE_CIN,Erick All,TE,CIN,,,,,,,,,,,,,,,,,,,,,,
allen_QB_SF,Brandon Allen,QB,SF,,,,,,,,,,,,,,,,,,,,,,
allen_WR_WSH,Kazmeir Allen,WR,WSH,,,,,,,,,,,,,,,,,,,,,,
asante_WR_NYG,Ayir Asante,WR,NYG,,,,,,,,,,,,,,,,,,,,,,
austin_WR_NO,Kevin Austin Jr.,WR,NO,,,,,,,,,,,,,,,,,,,,,,
baccellia_WR_ARI,Andre Baccellia,WR,ARI,,,,,,,,,,,,,,,,,,,,,,
bachman_WR_LV,Alex Bachman,WR,LV,,,,,,,,,,,,,,,,,,,,,,
badie_RB_DEN,Tyler Badie,RB,DEN,,,,,,,,,,,,,,,,,,,,,,
baldwin_WR_ARI,Daylen Baldwin,WR,ARI,,,,,,,,,,,,,,,,,,,,,,
bandy_WR_DEN,Michael Bandy,WR,DEN,,,,,,,,,,,,,,,,,,,,,,
bates_TE_CHI,Brenden Bates,TE,CHI,,,,,,,,,,,,,,,,,,,,,,
bawden_RB_HOU,Nick Bawden,RB,HOU,,,,,,,,,,,,,,,,,,,,,,
bean_QB_IND,Jason Bean,QB,IND,,,,,,,,,,,,,,,,,,,,,,
beck_RB_HOU,Andrew Beck,RB,HOU,,,,,,,,,,,,,,,,,,,,,,
benson_TE_LAC,Luke Benson,TE,LAC,,,,,,,,,,,,,,,,,,,,,,
blair_WR_ATL,Chris Blair,WR,ATL,,,,,,,,,,,,,,,,,,,,,,
blasingame_RB_CHI,Khari Blasingame,RB,CHI,,,,,,,,,,,,,,,,,,,,,,
book_QB_KC,Ian Book,QB,KC,,,,,,,,,,,,,,,,,,,,,,
boone_RB_CAR,Mike Boone,RB,CAR,,,,,,,,,,,,,,,,,,,,,,
bowman_TE_JAX,Shawn Bowman,TE,JAX,,,,,,,,,,,,,,,,,,,,,,
boykin_WR_NYG,Miles Boykin,WR,NYG,,,,,,,,,,,,,,,,,,,,,,
boyle_QB_HOU,Tim Boyle,QB,HOU,,,,,,,,,,,,,,,,,,,,,,
bradley_QB_LV,Carter Bradley,QB,LV,,,,,,,,,,,,,,,,,,,,,,
brightwell_RB_JAX,Gary Brightwell,RB,JAX,,,,,,,,,,,,,,,,,,,,,,
brooks_RB_HOU,British Brooks,RB,HOU,,,,,,,,,,,,,,,,,,,,,,
brooks_RB_MIA,Chris Brooks,RB,MIA,,,,,,,,,,,,,,,,,,,,,,
brooks_WR_KC,Phillip Brooks,WR,KC,,,,,,,,,,,,,,,,,,,,,,
brown_WR_CLE,Ahmarean Brown,WR,CLE,,,,,,,,,,,,,,,,,,,,,,
brown_QB_BUF,Anthony Brown,QB,BUF,,,,,,,,,,,,,,,,,,,,,,
brown_RB_LV,Brittain Brown,RB,LV,,,,,,,,,,,,,,,,,,,,,,
brown_RB_ATL,Spencer Brown,RB,ATL,,,,,,,,,,,,,,,,,,,,,,
