"","name","pos","team","vor","adp","pred","replace_value","experts","madden","href","bye"
"272","Tyler Lockett","WR","Seahawks",-25,168,77,101,92,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17619.png",7
"369","Robbie Gould","K","49ers",-25,142,118,142,118,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9354.png",11
"441","Jaguars","DST",NA,-25,63,180,205,180,NA,NA,NA
"195","Terrance Williams","WR","Cowboys",-26,0,75,101,90,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15878.png",8
"252","Martavis Bryant","WR","Raiders",-26,191,75,101,90,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16886.png",7
"299","Zach Miller","TE","Bears",-26,0,55,80,52,81,NA,5
"313","Jermaine Gresham","TE","Cardinals",-26,0,55,80,45,82,NA,9
"314","Ricky Seals-Jones","TE","Cardinals",-26,175,54,80,91,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18431.png",9
"354","Hayden Hurst","TE","Ravens",-26,185,54,80,71,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18583.png",10
"400","Sebastian Janikowski","K","Seahawks",-26,0,116,142,116,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2148.png",7
"74","Nyheim Hines","RB","Colts",-27,166,60,87,74,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18663.png",9
"287","Rishard Matthews","WR","Titans",-27,150,75,101,90,82,NA,8
"386","Josh Lambo","K","Jaguars",-27,214,116,142,116,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17746.png",9
"403","Ryan Succop","K","Titans",-27,0,116,142,116,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12731.png",8
"122","Javorius Allen","RB","Ravens",-28,0,59,87,72,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17616.png",10
"166","Corey Coleman","WR","Browns",-28,0,73,101,88,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17805.png",11
"262","Willie Snead","WR","Ravens",-28,0,73,101,88,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17184.png",10
"456","Patriots","DST",NA,-28,180,177,205,177,NA,NA,NA
"40","Kyle Juszczyk","RB","49ers",-29,0,58,87,57,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16002.png",11
"374","Zane Gonzalez","K","Browns",-29,0,113,142,113,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18327.png",11
"20","Eli Manning","QB","Giants",-30,159,185,214,252,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5526.png",9
"325","Mike Gesicki","TE","Dolphins",-30,196,50,80,65,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18601.png",11
"347","Will Tye","TE","Patriots",-30,0,50,80,65,77,NA,11
"373","Brandon McManus","K","Broncos",-30,0,113,142,113,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17171.png",10
"382","Jason Sanders","K","Dolphins",-30,0,112,142,112,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18787.png",11
"385","Aldrick Rosas","K","Giants",-30,0,112,142,112,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18165.png",9
"105","Aaron Jones","RB","Packers",-31,136,56,87,66,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18314.png",7
"154","Tyler Boyd","WR","Bengals",-31,0,70,101,85,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17840.png",9
"161","Courtland Sutton","WR","Broncos",-31,201,70,101,85,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18599.png",10
"349","Dwayne Allen","TE","Patriots",-31,0,49,80,34,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14901.png",11
"377","Caleb Sturgis","K","Chargers",-31,0,111,142,111,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15918.png",8
"378","Roberto Aguayo","K","Chargers",-31,0,112,142,112,73,NA,8
"387","Cairo Santos","K","Jets",-31,0,111,142,111,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17172.png",11
"394","Giorgio Tavecchio","K","Raiders",-31,0,112,142,112,76,NA,7
"376","Phil Dawson","K","Cardinals",-32,0,111,142,111,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1440.png",9
"341","Marcedes Lewis","TE","Packers",-33,0,47,80,23,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9614.png",7
"358","Josh Hill","TE","Saints",-33,0,47,80,30,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16143.png",6
"364","Ryan Griffin","TE","Texans",-33,0,47,80,69,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15887.png",10
"402","Ka'imi Fairbairn","K","Texans",-33,0,110,142,110,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18454.png",10
"180","Christian Kirk","WR","Cardinals",-34,0,67,101,82,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18606.png",9
"255","Seth Roberts","WR","Raiders",-34,0,68,101,82,77,NA,7
"352","Gerald Everett","TE","Rams",-34,0,46,80,54,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18374.png",12
"372","Stephen Hauschka","K","Bills",-34,0,109,142,109,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11923.png",11
"342","Lance Kendricks","TE","Packers",-35,0,45,80,43,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14007.png",7
"68","Charcandrick West","RB","Chiefs",-36,0,51,87,52,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17384.png",12
"133","D'Onta Foreman","RB","Texans",-36,179,51,87,58,75,NA,10
"174","Adam Humphries","WR","Buccaneers",-36,0,66,101,80,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17756.png",5
"340","Luke Willson","TE","Lions",-36,0,44,80,47,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16121.png",6
"17","Ryan Tannehill","QB","Dolphins",-37,0,177,214,241,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14876.png",11
"298","Adam Shaheen","TE","Bears",-37,0,43,80,51,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18276.png",5
"303","Tyler Kroft","TE","Bengals",-37,0,44,80,33,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17650.png",9
"306","Jake Butt","TE","Broncos",-37,0,43,80,65,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18242.png",10
"315","Virgil Green","TE","Chargers",-37,0,43,80,52,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14085.png",8
"327","Dallas Goedert","TE","Eagles",-37,0,43,80,45,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18608.png",9
"361","Jesse James","TE","Steelers",-37,0,43,80,44,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17690.png",7
"3","Andy Dalton","QB","Bengals",-38,0,176,214,241,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14012.png",9
"53","Nick Chubb","RB","Browns",-38,129,49,87,54,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18592.png",11
"135","Alfred Blue","RB","Texans",-38,0,50,87,60,68,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17134.png",10
"146","Anthony Miller","WR","Bears",-38,184,63,101,77,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18610.png",5
"189","Ryan Grant","WR","Colts",-38,0,63,101,77,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17179.png",9
"353","Tyler Higbee","TE","Rams",-38,0,42,80,42,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17886.png",12
"58","Charles Sims","RB","Buccaneers",-39,0,48,87,51,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16749.png",5
"98","Elijah McGuire","RB","Jets",-39,0,48,87,57,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18313.png",11
"220","Donte Moncrief","WR","Jaguars",-39,0,62,101,76,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16791.png",9
"370","Cody Parkey","K","Bears",-39,0,103,142,103,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17173.png",5
"472","Vikings","DST",NA,-39,98,166,205,166,NA,NA,NA
"8","Jameis Winston","QB","Buccaneers",-40,165,174,214,235,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17399.png",5
"76","Tavon Austin","RB","Cowboys",-40,0,47,87,45,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15786.png",8
"90","Wayne Gallman","RB","Giants",-40,0,47,87,53,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18233.png",9
"140","Trent Taylor","WR","49ers",-40,0,61,101,75,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18296.png",11
"29","Jared Goff","QB","Rams",-41,102,174,214,230,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17794.png",12
"156","Jeremy Kerley","WR","Bills",-41,0,60,101,74,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14151.png",11
"326","A.J. Derby","TE","Dolphins",-41,0,39,80,32,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17711.png",11
"339","Michael Roberts","TE","Lions",-41,0,39,80,59,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18227.png",6
"296","Garrett Celek","TE","49ers",-42,0,39,80,45,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15204.png",11
"328","Richard Rodgers","TE","Eagles",-42,0,38,80,37,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16786.png",9
"332","Rhett Ellison","TE","Giants",-42,0,38,80,29,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15003.png",9
"399","Jason Myers","K","Seahawks",-42,0,100,142,100,76,NA,7
"72","Jordan Wilkins","RB","Colts",-43,0,44,87,50,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18728.png",9
"78","Rod Smith","RB","Cowboys",-43,0,44,87,51,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17781.png",8
"297","Dion Sims","TE","Bears",-43,0,37,80,27,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15974.png",5
"359","Ed Dickson","TE","Seahawks",-43,0,37,80,28,77,NA,7
"471","Titans","DST",NA,-43,122,162,205,162,NA,NA,NA
"310","Darren Fells","TE","Browns",-44,0,37,80,26,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17187.png",11
"1","Jimmy Garoppolo","QB","49ers",-45,74,169,214,225,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16760.png",11
"2","Mitchell Trubisky","QB","Bears",-45,173,169,214,235,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18168.png",5
"177","J.J. Nelson","WR","Cardinals",-45,0,56,101,70,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17514.png",9
"197","Albert Wilson","WR","Dolphins",-45,0,56,101,69,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17182.png",11
"233","Geronimo Allison","WR","Packers",-45,0,56,101,70,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18110.png",7
"241","Torrey Smith","WR","Panthers",-45,0,56,101,70,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14032.png",4
"308","Seth DeValve","TE","Browns",-45,0,35,80,21,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17910.png",11
"356","Mark Andrews","TE","Ravens",-45,0,36,80,36,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18645.png",10
"120","John Kelly","RB","Rams",-46,0,41,87,46,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18735.png",12
"184","Mike Williams","WR","Chargers",-46,151,55,101,69,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18235.png",8
"50","Travaris Cadet","RB","Bills",-47,0,40,87,42,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15457.png",11
"289","Taywan Taylor","WR","Titans",-47,0,54,101,67,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18224.png",8
"323","Blake Jarwin","TE","Cowboys",-47,0,33,80,62,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18818.png",8
"338","Clive Walford","TE","Jets",-47,0,33,80,41,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17475.png",11
"355","Nick Boyle","TE","Ravens",-47,0,33,80,29,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17567.png",10
"62","Chase Edmonds","RB","Cardinals",-48,0,39,87,42,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18693.png",9
"94","Corey Grant","RB","Jaguars",-48,0,39,87,37,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17752.png",9
"117","DeAndre Washington","RB","Raiders",-48,0,39,87,40,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17915.png",7
"248","Kenny Britt","WR","Patriots",-48,0,53,101,66,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12556.png",11
"307","Jeff Heuerman","TE","Broncos",-48,0,33,80,34,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17583.png",10
"367","Jonnu Smith","TE","Titans",-48,0,33,80,33,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18183.png",8
"283","Keke Coutee","WR","Texans",-49,0,53,101,66,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18662.png",10
"67","Damien Williams","RB","Chiefs",-50,0,37,87,31,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17138.png",12
"100","Zach Zenner","RB","Lions",-50,0,37,87,40,70,NA,6
"107","Fozzy Whittaker","RB","Panthers",-50,0,37,87,39,70,NA,4
"193","Michael Gallup","WR","Cowboys",-50,162,51,101,64,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18640.png",8
"227","Terrelle Pryor","WR","Jets",-50,0,51,101,64,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14851.png",11
"7","Tyrod Taylor","QB","Browns",-51,0,163,214,221,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14163.png",11
"115","Jalen Richard","RB","Raiders",-51,0,36,87,33,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18079.png",7
"145","Taylor Gabriel","WR","Bears",-51,0,50,101,63,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17177.png",5
"302","C.J. Uzomah","TE","Bengals",-51,0,29,80,23,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17564.png",9
"317","Demetrius Harris","TE","Chiefs",-51,0,29,80,30,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17189.png",12
"360","Nick Vannett","TE","Seahawks",-51,0,29,80,42,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17873.png",7
"5","Case Keenum","QB","Broncos",-52,157,162,214,220,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15168.png",10
"404","Kai Forbath","K","Vikings",-52,0,90,142,90,78,NA,10
"433","Eagles","DST",NA,-52,109,153,205,153,NA,NA,NA
"461","Ravens","DST",NA,-52,119,153,205,153,NA,NA,NA
"463","Saints","DST",NA,-52,186,153,205,153,NA,NA,NA
"109","Cameron Artis-Payne","RB","Panthers",-53,0,34,87,35,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17704.png",4
"129","C.J. Prosise","RB","Seahawks",-53,0,34,87,35,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17869.png",7
"304","Nick O'Leary","TE","Bills",-53,0,28,80,25,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17604.png",11
"43","Benny Cunningham","RB","Bears",-54,0,33,87,33,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16055.png",5
"73","Robert Turbin","RB","Colts",-54,0,33,87,32,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14894.png",9
"131","James Conner","RB","Steelers",-54,199,33,87,32,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18236.png",7
"322","Geoff Swaim","TE","Cowboys",-54,0,26,80,21,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17713.png",8
"333","Niles Paul","TE","Jaguars",-54,0,26,80,21,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14156.png",9
"335","Ben Koyack","TE","Jaguars",-54,0,26,80,22,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17645.png",9
"371","Randy Bullock","K","Bengals",-55,0,88,142,88,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15091.png",9
"416","Broncos","DST",NA,-55,146,150,205,150,NA,NA,NA
"423","Chiefs","DST",NA,-55,195,150,205,150,NA,NA,NA
"467","Steelers","DST",NA,-55,134,150,205,150,NA,NA,NA
"30","Joe Flacco","QB","Ravens",-56,0,159,214,219,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11252.png",10
"36","Trevor Siemian","QB","Vikings",-56,0,158,214,222,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17455.png",10
"59","Jacquizz Rodgers","RB","Buccaneers",-56,0,31,87,29,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14193.png",5
"60","T.J. Logan","RB","Cardinals",-56,0,31,87,28,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18286.png",9
"334","James O'Shaughnessy","TE","Jaguars",-56,0,24,80,22,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17441.png",9
"348","Jacob Hollister","TE","Patriots",-56,0,24,80,21,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18464.png",11
"365","Stephen Anderson","TE","Texans",-56,0,24,80,27,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18027.png",10
"46","Mark Walton","RB","Bengals",-57,0,30,87,27,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18671.png",9
"77","Bo Scarbrough","RB","Cowboys",-57,0,30,87,28,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18794.png",8
"80","Kalen Ballage","RB","Dolphins",-57,0,31,87,29,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18690.png",11
"293","Kendall Wright","WR","Vikings",-57,0,44,101,57,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14909.png",10
"64","Justin Jackson","RB","Chargers",-58,0,29,87,27,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18809.png",8
"245","Phillip Dorsett","WR","Patriots",-58,0,43,101,55,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17643.png",11
"253","Ryan Switzer","WR","Raiders",-58,0,43,101,55,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18287.png",7
"337","Jordan Leggett","TE","Jets",-58,0,22,80,22,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18232.png",11
"363","Jordan Akins","TE","Texans",-58,0,22,80,29,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18657.png",10
"83","Wendell Smallwood","RB","Eagles",-59,0,28,87,26,68,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17921.png",9
"242","Curtis Samuel","WR","Panthers",-59,0,42,101,54,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18284.png",4
"350","Lee Smith","TE","Raiders",-59,0,22,80,21,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14215.png",7
"39","Joe Williams","RB","49ers",-60,0,27,87,23,71,NA,11
"228","Charles Johnson","WR","Jets",-60,0,41,101,53,71,NA,11
"286","Tajae Sharpe","WR","Titans",-60,0,42,101,54,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17912.png",8
"321","Rico Gathers","TE","Cowboys",-60,0,20,80,29,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17973.png",8
"344","Ian Thomas","TE","Panthers",-60,0,20,80,22,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18660.png",4
"86","Ito Smith","RB","Falcons",-61,0,26,87,20,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18685.png",8
"132","Jaylen Samuels","RB","Steelers",-62,0,25,87,21,68,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18724.png",7
"428","Cowboys","DST",NA,-62,193,143,205,143,NA,NA,NA
"168","Antonio Callaway","WR","Browns",-63,0,38,101,50,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18664.png",11
"187","Chris Conley","WR","Chiefs",-63,0,38,101,50,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17638.png",12
"191","Chester Rogers","WR","Colts",-63,0,38,101,50,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18089.png",9
"324","MarQueis Gray","TE","Dolphins",-63,0,18,80,21,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16323.png",11
"16","Brock Osweiler","QB","Dolphins",-64,0,150,214,213,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14879.png",11
"265","Breshad Perriman","WR","Ravens",-64,0,37,101,49,74,NA,10
"435","Falcons","DST",NA,-64,197,141,205,141,NA,NA,NA
"179","Brice Butler","WR","Cardinals",-65,0,37,101,48,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15896.png",9
"218","Dede Westbrook","WR","Jaguars",-65,0,36,101,48,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18302.png",9
"465","Seahawks","DST",NA,-66,205,139,205,139,NA,NA,NA
"159","Zay Jones","WR","Bills",-67,0,35,101,46,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18223.png",11
"419","Cardinals","DST",NA,-67,192,138,205,138,NA,NA,NA
"230","T.J. Jones","WR","Lions",-68,0,33,101,44,76,NA,6
"285","Sammie Coates","WR","Texans",-68,0,33,101,45,67,NA,10
"143","Dante Pettis","WR","49ers",-69,0,32,101,44,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18603.png",11
"170","Ricardo Louis","WR","Browns",-69,0,32,101,44,71,NA,11
"244","Cordarrelle Patterson","WR","Patriots",-70,0,31,101,43,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15807.png",11
"217","Cody Latimer","WR","Giants",-71,0,30,101,42,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16793.png",9
"455","Panthers","DST",NA,-72,178,133,205,133,NA,NA,NA
"22","Sam Darnold","QB","Jets",-73,0,141,214,203,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18566.png",11
"266","Brandon Coleman","WR","Saints",-73,0,29,101,40,77,NA,6
"158","Rod Streater","WR","Bills",-74,0,27,101,38,70,NA,11
"243","Jarius Wright","WR","Panthers",-74,0,27,101,38,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14918.png",4
"284","Bruce Ellington","WR","Texans",-74,0,27,101,38,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16946.png",10
"291","Laquon Treadwell","WR","Vikings",-74,0,28,101,39,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17811.png",10
"234","J'Mon Moore","WR","Packers",-75,0,26,101,37,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18692.png",7
"246","Malcolm Mitchell","WR","Patriots",-75,0,26,101,37,75,NA,11
"413","Bears","DST",NA,-75,202,130,205,130,NA,NA,NA
"470","Texans","DST",NA,-75,141,130,205,130,NA,NA,NA
"222","D.J. Chark","WR","Jaguars",-76,0,25,101,35,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18620.png",9
"274","Jaron Brown","WR","Seahawks",-76,0,25,101,36,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16172.png",7
"149","Josh Bellamy","WR","Bears",-77,0,24,101,35,73,NA,5
"198","Jakeem Grant","WR","Dolphins",-77,0,24,101,35,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17947.png",11
"236","Equanimeous St.","WR","Packers",-77,0,24,101,35,67,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18765.png",7
"148","Kevin White","WR","Bears",-78,0,23,101,33,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17703.png",5
"167","Rashard Higgins","WR","Browns",-78,0,23,101,33,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17934.png",11
"176","Chad Williams","WR","Cardinals",-78,0,23,101,34,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18169.png",9
"215","Roger Lewis","WR","Giants",-78,0,23,101,34,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18047.png",9
"264","Chris Moore","WR","Ravens",-78,0,23,101,33,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17883.png",10
"277","Darrius Heyward-Bey","WR","Steelers",-79,0,22,101,32,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12570.png",7
"282","Braxton Miller","WR","Texans",-79,0,22,101,33,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17864.png",10
"141","Kendrick Bourne","WR","49ers",-80,0,21,101,32,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18467.png",11
"190","Deon Cain","WR","Colts",-81,0,20,101,30,68,NA,9
"208","Markus Wheaton","WR","Eagles",-81,0,20,101,31,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15873.png",9
"216","Russell Shepard","WR","Giants",-81,0,20,101,31,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16227.png",9
"238","DeAngelo Yancey","WR","Packers",-81,0,20,101,31,66,NA,7
"155","Auden Tate","WR","Bengals",-82,0,19,101,29,68,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18811.png",9
