"","name","pos","team","vor","adp","pred","replace_value","experts","madden","href","bye"
"45","Joe Mixon","RB","Bengals",34,27,122,87,164,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18193.png",9
"51","Royce Freeman","RB","Broncos",34,48,121,87,173,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18630.png",10
"164","Demaryius Thomas","WR","Broncos",34,46,135,101,156,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13216.png",10
"171","Jarvis Landry","WR","Browns",34,45,135,101,155,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16790.png",11
"232","Marvin Jones","WR","Lions",34,60,136,101,156,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15072.png",6
"82","Jay Ajayi","RB","Eagles",33,40,120,87,152,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17556.png",9
"235","Davante Adams","WR","Packers",33,21,134,101,155,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16800.png",7
"31","Drew Brees","QB","Saints",32,41,246,214,296,91,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2580.png",6
"366","Delanie Walker","TE","Titans",29,72,109,80,129,93,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9761.png",8
"345","Greg Olsen","TE","Panthers",28,59,108,80,132,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/10475.png",4
"125","Mark Ingram","RB","Saints",27,57,115,87,144,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13981.png",6
"14","Andrew Luck","QB","Colts",26,68,240,214,297,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14874.png",9
"186","Tyreek Hill","WR","Chiefs",26,32,127,101,147,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17929.png",12
"229","Golden Tate","WR","Lions",26,50,127,101,147,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13217.png",6
"329","Zach Ertz","TE","Eagles",26,35,106,80,133,91,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15835.png",9
"137","Derrick Henry","RB","Titans",25,43,113,87,141,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17832.png",8
"257","Brandin Cooks","WR","Rams",25,56,126,101,146,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16731.png",12
"116","Marshawn Lynch","RB","Raiders",22,66,109,87,137,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/10456.png",7
"147","Allen Robinson","WR","Bears",22,62,123,101,143,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16799.png",5
"87","Tevin Coleman","RB","Falcons",20,52,108,87,133,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17689.png",8
"260","Cooper Kupp","WR","Rams",20,86,121,101,140,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18415.png",12
"263","Michael Crabtree","WR","Ravens",20,61,121,101,140,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12563.png",10
"294","Adam Thielen","WR","Vikings",20,38,122,101,141,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17178.png",10
"33","Ben Roethlisberger","QB","Steelers",19,65,233,214,287,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5536.png",7
"169","Josh Gordon","WR","Browns",18,53,119,101,139,82,NA,11
"55","Carlos Hyde","RB","Browns",17,89,105,87,135,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16777.png",11
"123","Alex Collins","RB","Ravens",17,36,104,87,135,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17933.png",10
"79","Kenyan Drake","RB","Dolphins",15,37,102,87,130,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17856.png",11
"290","Corey Davis","WR","Titans",14,82,115,101,134,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18320.png",8
"251","Jordy Nelson","WR","Raiders",13,91,114,101,132,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11270.png",7
"12","Philip Rivers","QB","Chargers",12,105,226,214,281,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5529.png",8
"70","Marlon Mack","RB","Colts",12,101,99,87,133,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18211.png",9
"162","Emmanuel Sanders","WR","Broncos",12,95,113,101,132,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13295.png",10
"19","Matt Ryan","QB","Falcons",11,99,226,214,276,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11237.png",8
"96","Isaiah Crowell","RB","Jets",11,103,98,87,129,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17133.png",11
"331","Evan Engram","TE","Giants",11,58,91,80,133,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18382.png",9
"54","Duke Johnson","RB","Browns",10,110,97,87,121,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17658.png",11
"56","Ronald Jones","RB","Buccaneers",10,80,97,87,129,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18597.png",5
"247","Julian Edelman","WR","Patriots",10,85,111,101,130,88,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12649.png",11
"142","Pierre Garcon","WR","49ers",9,84,110,101,128,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11439.png",11
"237","Randall Cobb","WR","Packers",7,94,108,101,126,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14053.png",7
"259","Robert Woods","WR","Rams",7,76,108,101,126,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15880.png",12
"343","Jimmy Graham","TE","Packers",7,49,87,80,113,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13232.png",7
"102","Kerryon Johnson","RB","Lions",6,67,93,87,127,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18602.png",6
"103","Jamaal Williams","RB","Packers",6,88,93,87,126,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18362.png",7
"24","Matthew Stafford","QB","Lions",5,97,220,214,278,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12483.png",6
"214","Sterling Shepard","WR","Giants",5,124,106,101,124,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17827.png",9
"136","Dion Lewis","RB","Titans",4,69,91,87,105,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14198.png",8
"301","Tyler Eifert","TE","Bengals",4,133,84,80,83,89,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15788.png",9
"368","Kyle Rudolph","TE","Vikings",4,70,84,80,103,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14054.png",10
"42","Tarik Cohen","RB","Bears",3,83,90,87,110,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18171.png",5
"128","Chris Carson","RB","Seahawks",2,104,89,87,120,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18341.png",7
"144","Marquise Goodwin","WR","49ers",2,77,103,101,121,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15839.png",11
"18","Carson Wentz","QB","Eagles",1,55,215,214,271,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17795.png",9
"47","Giovani Bernard","RB","Bengals",1,153,88,87,105,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15826.png",9
"202","Kenny Stills","WR","Dolphins",1,130,102,101,120,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16016.png",11
"249","Chris Hogan","WR","Patriots",1,64,102,101,119,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14402.png",11
"280","Will Fuller","WR","Texans",1,96,102,101,120,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17809.png",10
"319","Jack Doyle","TE","Colts",1,115,81,80,102,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16504.png",9
"37","Kirk Cousins","QB","Vikings",0,71,214,214,278,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14880.png",10
"95","Thomas Rawls","RB","Jets",0,0,87,87,118,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17739.png",11
"101","LeGarrette Blount","RB","Lions",0,158,87,87,98,87,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13213.png",6
"150","John Ross","WR","Bengals",0,0,101,101,119,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18395.png",9
"199","Danny Amendola","WR","Dolphins",0,0,101,101,119,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11674.png",11
"203","Alshon Jeffery","WR","Eagles",0,78,101,101,119,90,NA,9
"316","Hunter Henry","TE","Chargers",0,0,80,80,78,88,NA,8
"393","Stephen Gostkowski","K","Patriots",0,107,142,142,142,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9704.png",11
"460","Rams","DST",NA,0,93,205,205,205,NA,NA,NA
"52","Devontae Booker","RB","Broncos",-1,128,86,87,114,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17908.png",10
"112","Rex Burkhead","RB","Patriots",-1,73,86,87,111,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15971.png",11
"139","Latavius Murray","RB","Vikings",-1,167,86,87,105,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15920.png",10
"200","DeVante Parker","WR","Dolphins",-1,147,100,101,118,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17593.png",11
"240","Devin Funchess","WR","Panthers",-1,100,100,101,118,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17682.png",4
"231","Kenny Golladay","WR","Lions",-2,148,100,101,117,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18345.png",6
"93","T.J. Yeldon","RB","Jaguars",-3,0,84,87,108,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17678.png",9
"99","Theo Riddick","RB","Lions",-3,171,85,87,99,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15994.png",6
"114","James White","RB","Patriots",-3,114,84,87,100,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16913.png",11
"173","DeSean Jackson","WR","Buccaneers",-3,194,98,101,116,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11283.png",5
"320","Eric Ebron","TE","Colts",-3,160,77,80,97,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16732.png",9
"181","Tyrell Williams","WR","Chargers",-4,152,97,101,114,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17762.png",8
"97","Bilal Powell","RB","Jets",-5,143,82,87,103,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14129.png",11
"160","Kelvin Benjamin","WR","Bills",-5,125,96,101,113,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16730.png",11
"211","Mohamed Sanu","WR","Falcons",-5,163,96,101,113,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14922.png",8
"226","Quincy Enunwa","WR","Jets",-5,0,96,101,113,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17758.png",11
"421","Chargers","DST",NA,-5,116,200,205,200,NA,NA,NA
"113","Sony Michel","RB","Patriots",-6,79,81,87,104,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18589.png",11
"188","Sammy Watkins","WR","Chiefs",-6,81,95,101,112,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16725.png",12
"351","Jared Cook","TE","Raiders",-6,137,75,80,83,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12537.png",7
"268","Ted Ginn","WR","Saints",-7,154,94,101,111,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/10453.png",6
"305","Charles Clay","TE","Bills",-7,198,73,80,86,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14145.png",11
"81","Frank Gore","RB","Dolphins",-8,208,79,87,102,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8479.png",11
"108","C.J. Anderson","RB","Panthers",-8,121,79,87,95,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16040.png",4
"207","Mike Wallace","WR","Eagles",-8,0,93,101,109,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12601.png",9
"223","Robby Anderson","WR","Jets",-8,106,94,101,110,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18097.png",11
"401","Chris Boswell","K","Steelers",-8,174,134,142,134,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17175.png",7
"185","Travis Benjamin","WR","Chargers",-9,0,92,101,109,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15062.png",8
"205","Nelson Agholor","WR","Eagles",-9,113,92,101,109,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17668.png",9
"221","Keelan Cole","WR","Jaguars",-9,0,92,101,109,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18466.png",9
"300","Trey Burton","TE","Bears",-9,90,71,80,79,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17195.png",5
"104","Ty Montgomery","RB","Packers",-10,126,77,87,92,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17611.png",7
"110","Jeremy Hill","RB","Patriots",-10,0,77,87,99,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16803.png",11
"276","James Washington","WR","Steelers",-10,0,91,101,107,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18619.png",7
"383","Jake Elliott","K","Eagles",-10,170,132,142,132,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18178.png",9
"384","Matt Bryant","K","Falcons",-10,188,132,142,132,85,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4333.png",8
"311","Cameron Brate","TE","Buccaneers",-11,176,69,80,89,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17784.png",5
"379","Harrison Butker","K","Chiefs",-11,155,131,142,131,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18409.png",12
