name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_espn
cody_kessler,QB,0.0,0.0,5.55,100.5,
cody_kessler,QB,0.0,0.0,5.55,100.5,
austin_davis,QB,0.0,0.0,0.0,,
austin_davis,QB,0.0,0.0,0.0,,
brian_hoyer,QB,0.0,0.0,8.18,82.5,
brian_hoyer,QB,0.0,0.0,8.18,82.5,
robert_griffin_iii,QB,0.0,0.0,,68.1,
robert_griffin_iii,QB,0.0,0.0,,68.1,
mason_rudolph,QB,0.0,0.0,,,
mason_rudolph,QB,0.0,0.0,,,
tanner_lee,QB,0.0,0.0,0.0,,
tanner_lee,QB,0.0,0.0,0.0,,
taylor_heinicke,QB,0.0,0.0,6.67,,
taylor_heinicke,QB,0.0,0.0,6.67,,
teddy_bridgewater,QB,0.0,0.0,9.53,,
teddy_bridgewater,QB,0.0,0.0,9.53,,
jameill_showers,QB,0.0,0.0,,,
jameill_showers,QB,0.0,0.0,,,
colt_mccoy,QB,0.0,0.0,3.95,,
colt_mccoy,QB,0.0,0.0,3.95,,
aj_mccarron,QB,0.0,0.0,4.73,,
aj_mccarron,QB,0.0,0.0,4.73,,
kyle_lauletta,QB,0.0,0.0,7.15,,
kyle_lauletta,QB,0.0,0.0,7.15,,
matt_cassel,QB,0.0,0.0,3.27,12.1,
todd_gurley,RB,351.0,289.0,287.69,213.7,325.4
david_johnson,RB,296.0,227.0,255.66,279.3,323.5
leveon_bell,RB,296.0,218.0,258.57,227.8,347.7
ezekiel_elliott,RB,264.0,214.0,236.78,252.9,301.5
alvin_kamara,RB,263.0,198.0,195.1,,291.2
saquon_barkley,RB,258.0,198.0,197.72,,280.8
christian_mccaffrey,RB,249.0,193.0,168.4,,259.7
kareem_hunt,RB,245.0,188.0,227.39,,258.0
melvin_gordon,RB,236.0,188.0,223.55,168.3,264.4
leonard_fournette,RB,222.0,174.0,220.8,,257.4
devonta_freeman,RB,220.0,169.0,188.4,216.8,233.1
dalvin_cook,RB,212.0,166.0,209.72,,262.0
lesean_mccoy,RB,204.0,147.0,213.15,204.8,251.8
joe_mixon,RB,172.0,137.0,158.53,,205.4
royce_freeman,RB,169.0,136.0,186.83,,203.6
tevin_coleman,RB,167.0,136.0,122.06,109.5,
kenyan_drake,RB,165.0,135.0,172.72,22.3,200.1
lamar_miller,RB,164.0,135.0,157.95,233.9,
jordan_howard,RB,164.0,133.0,187.66,183.5,202.9
alex_collins,RB,160.0,129.0,190.87,32.2,190.9
mark_ingram,RB,153.0,128.0,90.3,183.0,
derrick_henry,RB,151.0,124.0,188.92,79.8,
jay_ajayi,RB,151.0,116.0,165.08,163.2,
kerryon_johnson,RB,148.0,108.0,127.7,,
chris_thompson,RB,141.0,108.0,103.18,95.0,
tarik_cohen,RB,139.0,105.0,83.37,,
james_white,RB,138.0,102.0,103.87,65.6,
rex_burkhead,RB,137.0,101.0,111.27,33.1,
carlos_hyde,RB,133.0,101.0,161.03,150.9,
matt_breida,RB,131.0,96.0,128.2,,
duke_johnson,RB,128.0,96.0,122.37,105.7,
isaiah_crowell,RB,126.0,95.0,92.09,156.1,
jamaal_williams,RB,125.0,92.0,165.58,,
dion_lewis,RB,123.0,91.0,126.57,32.1,
marshawn_lynch,RB,116.0,89.0,131.09,,
peyton_barber,RB,114.0,88.0,169.2,38.4,
marlon_mack,RB,113.0,86.0,158.6,,
ty_montgomery,RB,113.0,86.0,79.3,83.9,
alfred_morris,RB,113.0,84.0,137.01,47.5,
sony_michel,RB,113.0,82.0,47.2,,
bilal_powell,RB,113.0,82.0,146.14,119.3,
theo_riddick,RB,111.0,81.0,74.78,113.7,
corey_clement,RB,110.0,79.0,72.16,,
devontae_booker,RB,105.0,78.0,83.21,151.7,
austin_ekeler,RB,105.0,77.0,60.32,,
chris_carson,RB,102.0,76.0,133.04,,
giovani_bernard,RB,102.0,76.0,126.6,109.3,
jordan_wilkins,RB,101.0,75.0,41.17,,
rashaad_penny,RB,99.0,75.0,48.26,,
nyheim_hines,RB,97.0,73.0,72.21,,
nick_chubb,RB,96.0,69.0,34.8,,
spencer_ware,RB,93.0,68.0,41.59,190.2,
adrian_peterson,RB,91.0,68.0,145.83,40.2,
frank_gore,RB,90.0,66.0,64.78,191.6,
darren_sproles,RB,85.0,64.0,65.26,97.5,
donta_foreman,RB,85.0,64.0,0.0,,
cj_prosise,RB,84.0,64.0,39.18,31.0,
cj_anderson,RB,83.0,62.0,111.67,90.9,
wayne_gallman,RB,77.0,60.0,62.26,,
jalen_richard,RB,74.0,60.0,31.65,30.6,
latavius_murray,RB,73.0,57.0,73.57,167.8,
doug_martin,RB,72.0,54.0,88.74,104.6,
legarrette_blount,RB,71.0,54.0,73.64,178.3,
kyle_juszczyk,RB,70.0,54.0,50.97,40.6,
aaron_jones,RB,69.0,52.0,0.0,,
ronald_jones,RB,68.0,51.0,73.11,,
james_conner,RB,68.0,51.0,20.79,,
marcus_murphy,RB,66.0,48.0,12.31,,
tj_yeldon,RB,65.0,47.0,95.92,136.2,
rod_smith,RB,63.0,45.0,75.31,,
chase_edmonds,RB,60.0,43.0,32.07,,
chris_ivory,RB,58.0,41.0,44.73,115.0,
corey_grant,RB,57.0,40.0,27.13,9.1,
jeremy_hill,RB,54.0,39.0,65.54,153.8,
rob_kelley,RB,51.0,39.0,14.45,103.7,
raheem_mostert,RB,47.0,35.0,11.91,,
phillip_lindsay,RB,43.0,31.0,31.66,,
mike_gillislee,RB,39.0,31.0,68.35,91.4,
kenneth_dixon,RB,36.0,31.0,89.15,59.1,
cameron_artis-payne,RB,36.0,29.0,6.73,35.2,
malcolm_brown,RB,35.0,21.0,29.87,12.4,
