name,pos,pts_espn,pts_cbs,pts_nfl
shonn_greene,RB,80.0,78.4,77.6
bilal_powell,RB,80.0,77.8,37.0
danny_woodhead,RB,79.0,93.4,97.0
braylon_edwards,WR,79.0,,40.9
pierre_thomas,RB,78.0,97.6,98.8
justin_blackmon,WR,78.0,105.4,111.4
fred_davis,TE,78.0,83.2,83.4
jacoby_jones,WR,77.0,81.8,55.7
leveon_bell,RB,76.0,88.4,93.1
brandon_lafell,WR,76.0,96.8,101.2
isaiah_pead,RB,75.0,71.8,120.4
bryce_brown,RB,75.0,98.6,74.6
greg_little,WR,75.0,91.2,109.1
jordan_cameron,TE,75.0,100.2,81.2
roy_helu,RB,74.0,67.4,50.5
kenbrell_thompkins,WR,74.0,115.2,86.1
brandon_lloyd,WR,74.0,,
jonathan_stewart,RB,73.0,97.6,152.4
johnathan_franklin,RB,73.0,61.0,95.6
michael_turner,RB,73.0,,
jonathan_dwyer,RB,72.0,71.0,60.8
marcel_reece,RB,72.0,53.4,55.6
ben_tate,RB,70.0,100.8,97.7
santana_moss,WR,70.0,71.6,80.7
darrius_heyward-bey,WR,70.0,89.6,102.2
julius_thomas,TE,70.0,45.0,
bernard_pierce,RB,69.0,100.6,81.2
fred_jackson,RB,69.0,88.6,118.2
robert_woods,WR,69.0,74.6,63.2
andrew_hawkins,WR,69.0,50.0,
jermaine_gresham,TE,69.0,63.6,95.3
robert_turbin,RB,68.0,46.0,59.7
zac_stacy,RB,68.0,61.4,59.0
nate_burleson,WR,68.0,78.4,75.7
coby_fleener,TE,68.0,80.6,68.5
aaron_dobson,WR,67.0,87.6,80.7
brian_quick,WR,67.0,44.8,91.8
ed_dickson,TE,67.0,58.2,110.2
mike_tolbert,RB,66.0,63.6,17.4
marcedes_lewis,TE,66.0,73.2,78.1
rod_streater,WR,65.0,93.4,
brandon_gibson,WR,65.0,66.2,70.4
dwayne_allen,TE,65.0,69.4,71.7
mohamed_sanu,WR,64.0,89.0,97.2
tyler_eifert,TE,64.0,92.4,52.7
nick_foles,QB,63.0,54.0,
eddie_royal,WR,63.0,,42.9
rob_housler,TE,63.0,73.0,56.5
brent_celek,TE,63.0,53.2,69.4
heath_miller,TE,63.0,71.2,81.8
kendall_hunter,RB,62.0,66.4,58.6
julian_edelman,WR,62.0,,78.2
davone_bess,WR,62.0,72.6,40.1
jason_avant,WR,62.0,56.0,18.4
daniel_thomas,RB,61.0,73.0,60.5
scott_chandler,TE,60.0,54.8,71.4
kevin_kolb,QB,59.0,12.0,98.72
lance_dunbar,RB,59.0,37.0,27.5
riley_cooper,WR,59.0,58.2,73.9
zach_miller,TE,59.0,69.2,61.1
cordarrelle_patterson,WR,58.0,88.8,70.1
justin_hunter,WR,58.0,48.4,43.7
santonio_holmes,WR,57.0,78.4,98.4
jarius_wright,WR,56.0,66.2,
josh_morgan,WR,56.0,63.8,76.7
dexter_mccluster,WR,56.0,66.2,45.4
keenan_allen,WR,55.0,71.0,
jacoby_ford,WR,55.0,50.8,51.1
delanie_walker,TE,55.0,65.4,69.6
larod_stephens-howling,RB,54.0,68.8,
joseph_randle,RB,53.0,46.6,55.3
willis_mcgahee,RB,53.0,,97.5
cedric_benson,RB,53.0,,
nate_washington,WR,53.0,52.6,70.8
leonard_hankerson,WR,53.0,62.2,22.9
zach_sudfeld,TE,53.0,58.8,
zach_ertz,TE,53.0,27.2,47.1
dujuan_harris,RB,52.0,53.0,
toby_gerhart,RB,52.0,43.2,52.8
rashad_jennings,RB,52.0,52.2,45.4
doug_baldwin,WR,52.0,43.2,48.8
donnie_avery,WR,52.0,69.8,88.0
kellen_winslow,TE,52.0,49.2,
lamichael_james,RB,51.0,55.6,44.1
joique_bell,RB,51.0,84.4,59.6
stephen_hill,WR,51.0,65.2,96.8
domenik_hixon,WR,50.0,50.2,45.4
dallas_clark,TE,50.0,54.0,
chad_henne,QB,49.0,63.4,
ryan_williams,RB,49.0,42.0,77.8
justin_forsett,RB,49.0,33.0,25.4
kenny_stills,WR,49.0,66.6,39.4
travis_kelce,TE,49.0,50.2,
christine_michael,RB,48.0,44.8,41.5
mike_gillislee,RB,48.0,34.2,44.3
jordan_shipley,WR,48.0,42.0,22.8
terrance_williams,WR,47.0,,69.6
quinton_patton,WR,47.0,,46.6
luke_stocker,TE,47.0,24.8,47.4
mark_sanchez,QB,46.0,57.0,104.06
harry_douglas,WR,46.0,48.0,37.1
knile_davis,RB,44.0,66.2,49.9
jerome_simpson,WR,44.0,,44.7
tony_scheffler,TE,43.0,47.2,69.3
dwayne_harris,WR,42.0,,46.3
jacob_tamme,TE,40.0,47.2,42.4
tj_graham,WR,39.0,46.6,31.7
tom_crabtree,TE,39.0,31.8,16.4
ronnie_brown,RB,38.0,13.4,47.5
earl_bennett,WR,38.0,50.2,47.1
brandon_jackson,RB,37.0,,
beanie_wells,RB,37.0,,
david_paulson,TE,37.0,,
markus_wheaton,WR,36.0,72.2,36.8
aj_jenkins,WR,36.0,,57.9
corey_fuller,WR,36.0,,
tiquan_underwood,WR,36.0,,51.1
kyle_williams,WR,35.0,,61.1
knowshon_moreno,RB,34.0,54.8,44.5
shaun_draughn,RB,34.0,16.4,24.2
stedman_bailey,WR,34.0,,55.8
louis_murphy,WR,34.0,,35.4
kirk_cousins,QB,33.0,26.6,0.0
jon_baldwin,WR,33.0,41.2,62.1
taylor_thompson,TE,33.0,,
lestar_jean,WR,32.0,,
felix_jones,RB,31.0,,54.9
michael_crabtree,WR,31.0,47.8,
marvin_jones,WR,31.0,,56.9
tandon_doss,WR,31.0,,27.4
matt_cassel,QB,30.0,11.8,0.0
jason_snelling,RB,30.0,21.6,31.7
jason_campbell,QB,29.0,11.4,0.0
bruce_gradkowski,QB,29.0,4.6,
andre_ellington,RB,29.0,18.6,
robert_meachem,WR,29.0,,34.7
josh_boyce,WR,29.0,,31.2
evan_royster,RB,28.0,24.4,31.9
montario_hardesty,RB,27.0,24.2,32.5
donald_brown,RB,26.0,32.2,46.1
percy_harvin,WR,24.0,,
chris_polk,RB,23.0,22.2,
stepfan_taylor,RB,23.0,31.4,16.1
aaron_mellette,WR,23.0,,
darick_rogers,WR,22.0,,
mike_goodson,RB,21.0,12.4,75.9
chris_ogbonnaya,RB,20.0,,
mario_manningham,WR,20.0,,57.7
marlon_moore,WR,19.0,,
brandon_bolden,RB,18.0,15.0,
bernard_scott,RB,18.0,,10.4
peyton_hillis,RB,17.0,,59.3
latavius_murray,RB,16.0,27.0,51.5
rex_burkhead,RB,15.0,,
nick_toon,WR,15.0,,
delone_carter,RB,14.0,23.0,
leron_mcclain,RB,14.0,,9.0
joe_mcknight,RB,12.0,,33.1
armando_allen,RB,12.0,17.2,
leon_washington,RB,11.0,,
alex_green,RB,11.0,,
legarrette_blount,RB,10.0,52.4,31.5
denard_robinson,RB,10.0,48.6,51.7
tashard_choice,RB,8.0,,
cierre_wood,RB,7.0,,
anthony_allen,RB,6.0,,
darel_scott,RB,6.0,,
james_starks,RB,4.0,,27.0
ray_graham,RB,0.0,,
cyrus_gray,RB,0.0,,
kenjon_barner,RB,0.0,18.6,
terrance_ganaway,RB,0.0,,
kerwynn_williams,RB,0.0,,
marcus_lattimore,RB,0.0,,
brandon_jacobs,RB,0.0,,
javon_ringer,RB,0.0,,
jackie_battle,RB,0.0,,
mike_james,RB,0.0,23.2,
terrelle_pryor,QB,,90.6,35.82
james_casey,TE,,72.2,38.8
brandon_stokley,WR,,52.2,
jeff_cumberland,TE,,52.2,26.7
damaris_johnson,WR,,49.8,
david_ausberry,TE,,49.2,27.4
jerricho_cotchery,WR,,47.2,32.7
joel_dreessen,TE,,47.0,38.7
anthony_fasano,TE,,46.0,37.3
juron_criner,WR,,43.2,
travis_benjamin,WR,,42.8,45.4
tony_moeaki,TE,,38.2,45.4
garrett_graham,TE,,36.8,
charles_clay,TE,,34.8,
john_kuhn,RB,,29.6,
matt_barkley,QB,,26.0,0.0
dion_lewis,RB,,25.2,28.1
benjamin_watson,TE,,24.8,52.1
lance_kendricks,TE,,24.2,51.4
brian_leonard,RB,,22.2,13.5
jeff_king,TE,,21.0,17.4
ryan_fitzpatrick,QB,,21.0,
phillip_tanner,RB,,17.2,
jorvorskie_lane,RB,,16.0,
jed_collins,RB,,14.0,
tim_tebow,QB,,5.8,
graham_harrell,QB,,5.2,
drew_stanton,QB,,5.0,
charlie_whitehurst,QB,,4.8,
tyrod_taylor,QB,,4.8,
tyler_wilson,QB,,4.0,
dennis_dixon,QB,,3.8,0.0
brian_hoyer,QB,,2.8,
brock_osweiler,QB,,2.8,
chase_daniel,QB,,2.2,0.0
josh_mccown,QB,,1.8,
kyle_orton,QB,,1.8,
ryan_mallett,QB,,1.8,
shaun_hill,QB,,1.8,
curtis_painter,QB,,1.0,
dan_orlovsky,QB,,0.0,
david_carr,QB,,0.0,0.0
tj_yates,QB,,0.0,
jake_ballard,TE,,,59.8
ace_sanders,WR,,,59.1
laurent_robinson,WR,,,50.4
