name,pos,pts,pts_ppr,year
todd_gurley,RB,313.0,372.1,2018
saquon_barkley,RB,295.0,385.8,2018
christian_mccaffrey,RB,279.0,385.5,2018
alvin_kamara,RB,273.0,354.2,2018
patrick_mahomes,QB,417.0,417.1,2018
tyreek_hill,WR,247.0,334.0,2018
ezekiel_elliott,RB,252.0,329.1,2018
travis_kelce,TE,192.0,294.6,2018
antonio_brown,WR,220.0,323.7,2018
davante_adams,WR,219.0,329.6,2018
deandre_hopkins,WR,219.0,333.5,2018
julio_jones,WR,213.0,325.9,2018
melvin_gordon,RB,226.0,275.5,2018
james_conner,RB,225.0,280.0,2018
george_kittle,TE,171.0,258.7,2018
mike_evans,WR,198.0,284.4,2018
zach_ertz,TE,164.0,280.3,2018
adam_thielen,WR,194.0,307.3,2018
michael_thomas,WR,191.0,315.5,2018
eric_ebron,TE,156.0,222.2,2018
matt_ryan,QB,354.0,355.0,2018
juju_smith-schuster,WR,186.0,296.9,2018
kareem_hunt,RB,204.0,230.2,2018
joe_mixon,RB,200.0,243.4,2018
robert_woods,WR,180.0,265.6,2018
david_johnson,RB,197.0,246.6,2018
ben_roethlisberger,QB,341.0,341.9,2018
james_white,RB,190.0,276.6,2018
phillip_lindsay,RB,188.0,222.8,2018
derrick_henry,RB,186.0,201.4,2018
deshaun_watson,QB,332.0,331.7,2018
tyler_lockett,WR,165.0,222.4,2018
stefon_diggs,WR,164.0,266.3,2018
brandin_cooks,WR,163.0,243.2,2018
keenan_allen,WR,163.0,260.1,2018
ty_hilton,WR,163.0,239.0,2018
chris_carson,RB,181.0,201.4,2018
andrew_luck,QB,327.0,327.9,2018
jared_cook,TE,126.0,193.6,2018
nick_chubb,RB,175.0,194.5,2018
odell_beckham,WR,153.0,230.3,2018
adrian_peterson,RB,169.0,189.0,2018
aaron_rodgers,QB,313.0,312.6,2018
tyler_boyd,WR,145.0,221.1,2018
jared_goff,QB,310.0,310.3,2018
tarik_cohen,RB,163.0,233.9,2018
calvin_ridley,WR,143.0,206.8,2018
tevin_coleman,RB,162.0,193.6,2018
marlon_mack,RB,161.0,178.1,2018
jordan_howard,RB,160.0,180.0,2018
amari_cooper,WR,141.0,215.5,2018
drew_brees,QB,304.0,305.0,2018
mike_williams,WR,137.0,180.2,2018
kenny_golladay,WR,137.0,207.1,2018
jarvis_landry,WR,136.0,217.1,2018
kenyan_drake,RB,153.0,206.2,2018
julian_edelman,WR,133.0,207.4,2018
russell_wilson,QB,298.0,299.4,2018
lamar_miller,RB,148.0,172.6,2018
emmanuel_sanders,WR,127.0,198.2,2018
trey_burton,TE,93.0,147.1,2018
aaron_jones,RB,145.0,171.4,2018
chris_godwin,WR,126.0,185.2,2018
austin_hooper,TE,92.0,163.0,2018
david_njoku,TE,88.0,143.9,2018
kyle_rudolph,TE,87.0,151.4,2018
alshon_jeffery,WR,120.0,185.3,2018
oj_howard,TE,87.0,120.5,2018
dak_prescott,QB,286.0,285.9,2018
philip_rivers,QB,285.0,285.0,2018
corey_davis,WR,119.0,183.6,2018
rob_gronkowski,TE,84.0,131.2,2018
larry_fitzgerald,WR,117.0,185.7,2018
sterling_shepard,WR,117.0,182.5,2018
mohamed_sanu,WR,116.0,182.4,2018
matt_breida,RB,136.0,162.5,2018
shane_smith,,,,2018
vance_mcdonald,TE,83.0,133.0,2018
cam_newton,QB,283.0,282.6,2018
kirk_cousins,QB,282.0,283.1,2018
tom_brady,QB,280.0,281.3,2018
mitchell_trubisky,QB,263.0,263.0,2018
eli_manning,QB,240.0,240.0,2018
baker_mayfield,QB,240.0,240.1,2018
derek_carr,QB,216.0,216.8,2018
case_keenum,QB,215.0,214.9,2018
matthew_stafford,QB,212.0,212.2,2018
josh_allen,QB,208.0,208.1,2018
jameis_winston,QB,196.0,195.8,2018
carson_wentz,QB,193.0,193.7,2018
andy_dalton,QB,175.0,174.5,2018
marcus_mariota,QB,175.0,175.9,2018
blake_bortles,QB,173.0,173.2,2018
sam_darnold,QB,168.0,168.4,2018
ryan_fitzpatrick,QB,166.0,165.8,2018
lamar_jackson,QB,158.0,157.5,2018
ryan_tannehill,QB,142.0,143.0,2018
alex_smith,QB,138.0,138.0,2018
joe_flacco,QB,137.0,137.1,2018
sony_michel,RB,132.0,139.1,2018
peyton_barber,RB,130.0,150.3,2018
austin_ekeler,RB,130.0,168.8,2018
nick_mullens,QB,123.0,123.5,2018
mark_ingram,RB,122.0,142.5,2018
isaiah_crowell,RB,120.0,140.7,2018
tj_yeldon,RB,118.0,173.1,2018
dede_westbrook,WR,114.0,179.5,2018
adam_humphries,WR,113.0,188.7,2018
josh_rosen,QB,113.0,112.9,2018
dalvin_cook,RB,112.0,152.0,2018
desean_jackson,WR,110.0,151.3,2018
latavius_murray,RB,110.0,131.9,2018
zay_jones,WR,109.0,165.2,2018
golden_tate,WR,109.0,182.9,2018
kerryon_johnson,RB,107.0,139.4,2018
robby_anderson,WR,106.0,156.4,2018
mike_davis,RB,103.0,136.8,2018
aj_green,WR,103.0,149.4,2018
john_brown,WR,102.0,143.9,2018
dion_lewis,RB,102.0,160.7,2018
doug_martin,RB,102.0,119.9,2018
dj_moore,WR,102.0,157.0,2018
nelson_agholor,WR,101.0,165.4,2018
leonard_fournette,RB,98.0,120.4,2018
josh_gordon,WR,98.0,138.7,2018
nyheim_hines,RB,98.0,160.9,2018
allen_robinson,WR,98.0,153.3,2018
curtis_samuel,WR,98.0,136.8,2018
demaryius_thomas,WR,98.0,156.7,2018
kenny_stills,WR,97.0,134.4,2018
tyrell_williams,WR,97.0,137.8,2018
cooper_kupp,WR,95.0,135.1,2018
alex_collins,RB,94.0,108.6,2018
jordy_nelson,WR,94.0,156.7,2018
courtland_sutton,WR,94.0,136.3,2018
lesean_mccoy,RB,93.0,127.2,2018
doug_baldwin,WR,92.0,141.8,2018
frank_gore,RB,91.0,102.6,2018
antonio_callaway,WR,89.0,132.3,2018
jalen_richard,RB,89.0,156.6,2018
wendell_smallwood,RB,89.0,117.4,2018
gus_edwards,RB,88.0,89.8,2018
carlos_hyde,RB,88.0,98.4,2018
royce_freeman,RB,87.0,101.3,2018
anthony_miller,WR,87.0,120.2,2018
jamaal_williams,RB,87.0,114.4,2018
cole_beasley,WR,85.0,150.2,2018
jeff_driskel,QB,85.0,85.1,2018
taylor_gabriel,WR,85.0,151.9,2018
duke_johnson,RB,85.0,132.0,2018
donte_moncrief,WR,83.0,130.8,2018
evan_engram,TE,81.0,126.3,2018
marvin_jones,WR,81.0,115.8,2018
christian_kirk,WR,81.0,123.5,2018
michael_crabtree,WR,79.0,132.7,2018
devin_funchess,WR,79.0,122.9,2018
rashard_higgins,WR,79.0,118.2,2018
legarrette_blount,RB,77.0,86.5,2018
alfred_blue,RB,77.0,97.3,2018
dante_pettis,WR,77.0,103.5,2018
jimmy_graham,TE,76.0,130.6,2018
cordarrelle_patterson,WR,76.0,96.5,2018
damien_williams,RB,76.0,98.6,2018
josh_adams,RB,75.0,81.9,2018
cj_beathard,QB,75.0,75.0,2018
nick_foles,QB,75.0,76.2,2018
david_moore,WR,75.0,101.0,2018
sammy_watkins,WR,75.0,115.1,2018
will_fuller,WR,74.0,106.3,2018
chris_herndon,TE,74.0,113.2,2018
mark_andrews,TE,73.0,107.2,2018
kendrick_bourne,WR,73.0,114.7,2018
trequan_smith,WR,73.0,100.7,2018
marquez_valdes-scantling,WR,73.0,111.0,2018
robert_foster,WR,72.0,99.1,2018
willie_snead,WR,72.0,134.4,2018
chris_hogan,WR,71.0,106.2,2018
josh_reynolds,WR,71.0,100.0,2018
ito_smith,RB,71.0,97.7,2018
albert_wilson,WR,71.0,96.8,2018
danny_amendola,WR,68.0,127.4,2018
brock_osweiler,QB,68.0,68.0,2018
elijah_mcguire,RB,67.0,85.9,2018
jordan_reed,TE,66.0,119.8,2018
josh_doctson,WR,65.0,109.2,2018
michael_gallup,WR,65.0,97.7,2018
chris_ivory,RB,65.0,78.0,2018
marquise_goodwin,WR,64.0,87.4,2018
marshawn_lynch,RB,64.0,79.0,2018
chester_rogers,WR,64.0,117.1,2018
john_ross,WR,64.0,84.9,2018
jaylen_samuels,RB,64.0,89.5,2018
cameron_brate,TE,63.0,92.9,2018
cj_anderson,RB,62.0,67.4,2018
seth_roberts,WR,62.0,106.9,2018
cj_uzomah,TE,62.0,104.9,2018
giovani_bernard,RB,61.0,95.9,2018
rashaad_penny,RB,61.0,70.4,2018
alfred_morris,RB,60.0,68.1,2018
javorius_allen,RB,59.0,93.6,2018
corey_clement,RB,59.0,81.1,2018
chris_conley,WR,59.0,91.4,2018
spencer_ware,RB,59.0,79.0,2018
dallas_goedert,TE,57.0,90.4,2018
theo_riddick,RB,56.0,116.5,2018
jarius_wright,WR,55.0,97.6,2018
jamison_crowder,WR,54.0,82.8,2018
gerald_everett,TE,54.0,86.6,2018
jesse_james,TE,54.0,84.3,2018
greg_olsen,TE,53.0,80.1,2018
aldrick_robinson,WR,53.0,70.1,2018
demarcus_robinson,WR,53.0,74.8,2018
ben_watson,TE,52.0,87.0,2018
keelan_cole,WR,51.0,89.1,2018
vernon_davis,TE,51.0,75.7,2018
jakeem_grant,WR,51.0,72.3,2018
taywan_taylor,WR,51.0,87.6,2018
chris_thompson,RB,51.0,91.6,2018
devontae_booker,RB,50.0,87.8,2018
phillip_dorsett,WR,50.0,81.9,2018
josh_johnson,QB,50.0,49.6,2018
zach_zenner,RB,50.0,57.1,2018
quincy_enunwa,WR,49.0,86.9,2018
blake_jarwin,TE,49.0,75.7,2018
bilal_powell,RB,49.0,60.3,2018
randall_cobb,WR,48.0,86.3,2018
kenneth_dixon,RB,48.0,54.4,2018
jimmy_garoppolo,QB,48.0,48.0,2018
dontrelle_inman,WR,48.0,76.4,2018
jaron_brown,WR,47.0,60.6,2018
antonio_gates,TE,47.0,75.3,2018
kapri_bibbs,RB,46.0,61.8,2018
justin_jackson,RB,46.0,61.1,2018
ty_montgomery,WR,46.0,71.3,2018
breshad_perriman,WR,46.0,62.2,2018
darren_sproles,RB,46.0,61.0,2018
jordan_thomas,TE,46.0,65.5,2018
jacquizz_rodgers,RB,45.0,83.0,2018
tajae_sharpe,WR,45.0,71.2,2018
ian_thomas,TE,45.0,81.3,2018
nick_vannett,TE,45.0,73.9,2018
kelvin_benjamin,WR,44.0,69.0,2018
jonnu_smith,TE,44.0,63.8,2018
jordan_wilkins,RB,44.0,60.1,2018
chase_edmonds,RB,43.0,63.1,2018
jermaine_kearse,WR,43.0,80.1,2018
geronimo_allison,WR,42.0,62.3,2018
allen_hurns,WR,42.0,61.5,2018
jordan_matthews,WR,42.0,62.0,2018
tyler_higbee,TE,41.0,65.2,2018
tyrod_taylor,QB,41.0,41.4,2018
jeff_heuerman,TE,40.0,71.1,2018
zach_pascal,WR,40.0,66.8,2018
ricky_seals-jones,TE,40.0,74.3,2018
ryan_grant,WR,39.0,74.4,2018
cody_kessler,QB,39.0,38.7,2018
paul_richardson,WR,39.0,59.1,2018
jay_ajayi,RB,38.0,43.4,2018
kyle_juszczyk,RB,37.0,67.4,2018
devante_parker,WR,37.0,60.9,2018
tim_patrick,WR,37.0,60.2,2018
terrelle_pryor,WR,37.0,53.1,2018
rex_burkhead,RB,36.0,49.7,2018
ted_ginn,WR,36.0,52.5,2018
daesean_hamilton,WR,36.0,66.3,2018
laquon_treadwell,WR,36.0,71.2,2018
keke_coutee,WR,35.0,62.7,2018
jack_doyle,TE,35.0,60.5,2018
rhett_ellison,TE,35.0,60.2,2018
pierre_garcon,WR,35.0,58.6,2018
isaiah_mckenzie,WR,35.0,52.5,2018
malcolm_brown,RB,34.0,39.4,2018
demetrius_harris,TE,34.0,46.4,2018
ed_dickson,TE,33.0,45.2,2018
blaine_gabbert,QB,33.0,33.0,2018
keith_kirkwood,WR,33.0,45.9,2018
raheem_mostert,RB,33.0,38.6,2018
torrey_smith,WR,33.0,50.0,2018
equanimeous_st_brown,WR,33.0,54.3,2018
ryan_switzer,WR,33.0,69.4,2018
tavon_austin,WR,32.0,39.5,2018
trenton_cannon,RB,32.0,48.7,2018
levine_toilolo,TE,32.0,53.3,2018
jeff_wilson,RB,32.0,44.4,2018
james_develin,RB,31.0,42.9,2018
wayne_gallman,RB,31.0,44.5,2018
ryan_griffin,TE,31.0,54.5,2018
maurice_harris,WR,31.0,59.4,2018
taysom_hill,QB,31.0,33.6,2018
tj_jones,WR,31.0,50.0,2018
matt_lacosse,TE,31.0,55.0,2018
