key,name,pos,team,bye,adp,pass_tds,kick_0_19,rush_tds,kick_50,reception_tds,fumbles,pass_ints,df_points_allowed_per_game,rush_yds,receptions,kick_30_39,df_sacks,df_fumbles,pass_yds,df_safeties,kick_extra_points,df_ints,two_pts,df_tds,kick_20_29,reception_yds,kick_40_49
michel_RB_NE,Sony Michel,RB,NE,10.0,40.0,,,9.5,,0.4,1.9,0.0,,1051.8,9.5,,,,,,,,0.1,3.0,,75.7,
edelman_WR_NE,Julian Edelman,WR,NE,10.0,41.0,,,0.1,,6.7,0.5,0.0,,78.4,93.0,,,,,,,,,,,1161.6,
cooks_WR_LAR,Brandin Cooks,WR,LAR,9.0,43.0,,,0.5,,5.9,0.5,0.0,,54.1,78.0,,,,,,,,,,,1172.3,
ingram_RB_BAL,Mark Ingram,RB,BAL,8.0,43.0,,,5.8,,0.9,1.5,0.0,,855.4,26.3,,,,,,,,1.0,,,202.7,
lindsay_RB_DEN,Phillip Lindsay,RB,DEN,10.0,43.3,,,7.2,,1.1,2.0,0.0,,960.3,37.6,,,,,,,,0.1,,,286.5,
golladay_WR_DET,Kenny Golladay,WR,DET,5.0,44.5,,,0.0,,5.9,0.5,0.0,,9.5,73.4,,,,,,,,,,,1053.8,
woods_WR_LAR,Robert Woods,WR,LAR,9.0,45.3,,,0.8,,5.4,0.5,0.0,,104.1,79.9,,,,,,,,,,,1045.5,
luck_QB_IND,Andrew Luck,QB,IND,6.0,46.5,32.4,,1.3,,,2.0,15.0,,237.2,,,,,4467.1,,,,1.5,,,,
kupp_WR_LAR,Cooper Kupp,WR,LAR,9.0,49.0,,,0.1,,7.6,0.5,0.0,,30.4,75.1,,,,,,,,,,,987.4,
carson_RB_SEA,Chris Carson,RB,SEA,11.0,49.3,,,8.9,,0.8,2.5,0.0,,1142.4,26.2,,,,,,,,0.5,,,209.8,
godwin_WR_TB,Chris Godwin,WR,TB,7.0,51.5,,,0.0,,6.2,1.0,0.0,,0.4,74.6,,,,,,,,,0.1,,1024.4,
montgomery_RB_CHI,David Montgomery,RB,CHI,6.0,52.5,,,6.1,,1.5,2.1,0.0,,873.2,33.0,,,,,,,,0.2,,,290.5,
watson_QB_HOU,Deshaun Watson,QB,HOU,10.0,53.8,26.1,,4.4,,,2.0,13.0,,578.7,,,,,4026.5,,,,1.9,,,,
lockett_WR_SEA,Tyler Lockett,WR,SEA,11.0,53.8,,,0.1,,6.4,0.5,0.0,,62.3,59.8,,,,,,,,,0.2,,1019.2,
howard_TE_TB,O.J. Howard,TE,TB,7.0,54.5,,,0.0,,6.1,1.0,0.0,,0.7,56.7,,,,,,,,,,,840.9,
drake_RB_MIA,Kenyan Drake,RB,MIA,5.0,54.8,,,4.1,,2.8,2.0,0.0,,636.0,56.0,,,,,,,,0.1,0.1,,465.3,
ridley_WR_ATL,Calvin Ridley,WR,ATL,9.0,56.0,,,0.0,,7.3,0.5,0.0,,24.2,66.7,,,,,,,,,0.0,,823.8,
hill_WR_KC,Tyreek Hill,WR,KC,12.0,56.5,,,0.7,,4.8,0.5,0.0,,66.0,49.3,,,,,,,,,0.5,,794.5,
rodgers_QB_GB,Aaron Rodgers,QB,GB,11.0,57.8,28.8,,2.1,,,1.3,8.3,,268.3,,,,,4247.0,,,,2.1,,,,
engram_TE_NYG,Evan Engram,TE,NYG,11.0,59.8,,,0.2,,5.2,0.5,0.0,,27.6,66.9,,,,,,,,,,,808.9,
williams_WR_LAC,Mike Williams,WR,LAC,12.0,61.5,,,0.4,,7.3,0.5,0.0,,30.0,57.0,,,,,,,,,,,838.4,
cohen_RB_CHI,Tarik Cohen,RB,CHI,6.0,62.0,,,2.2,,2.8,2.0,,,343.0,54.2,,,,,,,,0.0,0.2,,538.3,
white_RB_NE,James White,RB,NE,10.0,63.3,,,2.5,,3.7,0.5,,,246.4,66.1,,,,,,,,0.5,,,588.7,
henry_TE_LAC,Hunter Henry,TE,LAC,12.0,63.5,,,0.0,,5.5,1.0,0.0,,0.4,52.9,,,,,,,,,,,681.5,
watkins_WR_KC,Sammy Watkins,WR,KC,12.0,64.8,,,0.0,,5.6,0.5,0.0,,26.6,68.5,,,,,,,,,,,975.7,
guice_RB_WAS,Derrius Guice,RB,WAS,10.0,67.0,,,4.8,,1.0,1.9,0.0,,664.2,25.2,,,,,,,,0.1,,,236.5,
landry_WR_CLE,Jarvis Landry,WR,CLE,7.0,68.0,,,0.3,,5.1,0.5,0.0,,32.0,76.2,,,,,,,,,,,895.9,
boyd_WR_CIN,Tyler Boyd,WR,CIN,9.0,68.8,,,0.0,,5.6,0.5,0.0,,9.1,74.9,,,,,,,,,0.1,,960.3,
ryan_QB_ATL,Matt Ryan,QB,ATL,9.0,69.5,29.6,,1.6,,,1.1,10.2,,129.3,,,,,4656.0,,,,1.5,,,,
moore_WR_CAR,D.J. Moore,WR,CAR,7.0,69.8,,,0.1,,4.1,2.1,0.0,,131.0,62.9,,,,,,,,,0.1,,876.8,
coleman_RB_SF,Tevin Coleman,RB,SF,4.0,70.3,,,4.2,,1.6,2.0,0.0,,705.2,20.1,,,,,,,,0.1,,,188.0,
mayfield_QB_CLE,Baker Mayfield,QB,CLE,7.0,70.5,30.1,,0.9,,,1.2,15.0,,182.0,,,,,4335.5,,,,2.3,,,,
ebron_TE_IND,Eric Ebron,TE,IND,6.0,71.5,,,0.0,,6.2,0.5,,,23.8,50.6,,,,,,,,,,,568.5,
cook_TE_NO,Jared Cook,TE,NO,9.0,71.8,,,0.0,,6.0,1.0,0.0,,0.7,63.8,,,,,,,,,,,773.0,
miller_RB_HOU,Lamar Miller,RB,HOU,10.0,72.0,,,5.1,,1.2,3.0,0.0,,922.2,37.7,,,,,,,,,,,289.1,
jeffery_WR_PHI,Alshon Jeffery,WR,PHI,10.0,76.3,,,0.0,,6.7,1.0,0.0,,0.8,71.0,,,,,,,,,,,960.0,
sanders_RB_PHI,Miles Sanders,RB,PHI,10.0,76.8,,,4.3,,1.3,1.8,,,558.2,30.3,,,,,,,,0.1,,,253.6,
wilson_QB_SEA,Russell Wilson,QB,SEA,11.0,80.3,27.7,,1.9,,,1.1,9.6,,361.5,,,,,3568.5,,,,1.5,,,,
penny_RB_SEA,Rashaad Penny,RB,SEA,11.0,80.8,,,3.7,,0.4,1.2,,,701.4,14.0,,,,,,,,0.0,,,116.3,
brees_QB_NO,Drew Brees,QB,NO,9.0,81.3,30.1,,1.8,,,0.7,9.5,,47.9,,,,,4298.5,,,,0.5,,,,
robinson_WR_CHI,Allen Robinson,WR,CHI,6.0,81.5,,,0.0,,5.3,0.5,0.0,,5.4,63.7,,,,,,,,,,,909.4,
anderson_WR_NYJ,Robby Anderson,WR,NYJ,4.0,81.8,,,0.0,,7.1,1.0,0.0,,10.8,57.5,,,,,,,,,,,838.5,
henderson_RB_LAR,Darrell Henderson,RB,LAR,9.0,84.3,,,4.0,,1.0,2.0,,,588.0,23.0,,,,,,,,,,,220.0,
fuller_WR_HOU,Will Fuller,WR,HOU,10.0,84.3,,,0.0,,5.8,1.0,0.0,,6.2,58.7,,,,,,,,,,,841.9,
howard_RB_PHI,Jordan Howard,RB,PHI,10.0,85.8,,,5.7,,0.5,1.3,0.0,,682.6,15.8,,,,,,,,0.0,,,117.0,
murray_RB_NO,Latavius Murray,RB,NO,9.0,90.8,,,5.6,,0.1,2.0,,,541.8,15.1,,,,,,,,0.0,,,106.1,
mcdonald_TE_PIT,Vance McDonald,TE,PIT,7.0,90.8,,,0.0,,4.2,1.0,0.0,,0.7,60.3,,,,,,,,,,,661.1,
njoku_TE_CLE,David Njoku,TE,CLE,7.0,91.3,,,0.0,,4.6,1.0,0.0,,0.6,54.5,,,,,,,,,,,631.6,
kirk_WR_ARI,Christian Kirk,WR,ARI,12.0,91.5,,,0.0,,4.8,0.5,0.0,,30.6,65.2,,,,,,,,,0.1,,848.6,
pettis_WR_SF,Dante Pettis,WR,SF,4.0,92.3,,,0.0,,6.2,0.5,0.0,,2.7,55.8,,,,,,,,,0.1,,852.0,
newton_QB_CAR,Cam Newton,QB,CAR,7.0,93.3,24.9,,4.2,,,0.7,14.1,,554.0,,,,,3853.2,,,,2.0,,,,
davis_WR_TEN,Corey Davis,WR,TEN,11.0,94.0,,,0.1,,4.2,0.5,0.0,,32.8,58.9,,,,,,,,,,,767.5,
bears_DST_CHI,Bears,DST,CHI,6.0,94.5,,,,,,11.4,,19.2,,,,42.1,11.4,,0.3,,15.7,,2.7,,,
mccoy_RB_BUF,LeSean McCoy,RB,BUF,6.0,94.5,,,3.4,,0.8,1.2,0.0,,668.8,30.0,,,,,,,,,,,233.2,
freeman_RB_DEN,Royce Freeman,RB,DEN,10.0,95.5,,,4.1,,0.2,1.4,,,556.1,13.7,,,,,,,,0.0,,,104.5,
shepard_WR_NYG,Sterling Shepard,WR,NYG,11.0,95.8,,,0.0,,4.5,0.5,0.0,,23.7,64.7,,,,,,,,,0.1,,840.5,
hunt_RB_CLE,Kareem Hunt,RB,CLE,7.0,96.0,,,2.5,,1.2,0.6,,,317.6,15.0,,,,,,,,0.0,,,149.8,
harry_WR_NE,N'Keal Harry,WR,NE,10.0,97.3,,,0.0,,3.7,1.0,0.0,,15.0,44.5,,,,,,,,,,,596.7,
jones_WR_DET,Marvin Jones,WR,DET,5.0,97.8,,,0.0,,7.1,1.0,0.0,,0.8,59.1,,,,,,,,,,,876.0,
wentz_QB_PHI,Carson Wentz,QB,PHI,10.0,100.5,29.8,,1.2,,,1.5,12.9,,190.4,,,,,4199.6,,,,3.5,,,,
goff_QB_LAR,Jared Goff,QB,LAR,9.0,101.8,29.0,,1.6,,,1.0,11.8,,121.6,,,,,4341.1,,,,1.5,,,,
fitzgerald_WR_ARI,Larry Fitzgerald,WR,ARI,12.0,106.5,,,0.0,,5.7,1.0,0.0,,0.6,66.9,,,,,,,,,,,742.3,
mckinnon_RB_SF,Jerick McKinnon,RB,SF,4.0,107.8,,,2.7,,1.1,1.3,,,423.1,39.4,,,,,,,,1.0,,,327.8,
murray_QB_ARI,Kyler Murray,QB,ARI,12.0,108.3,20.7,,3.1,,,2.7,14.8,,472.5,,,,,3619.7,,,,1.4,,,,
jones_RB_TB,Ronald Jones II,RB,TB,7.0,108.3,,,4.3,,0.6,0.7,,,426.5,20.1,,,,,,,,0.1,0.5,,151.6,
sutton_WR_DEN,Courtland Sutton,WR,DEN,10.0,108.5,,,0.0,,4.3,0.0,0.0,,5.9,47.2,,,,,,,,,,,726.0,
tate_WR_NYG,Golden Tate,WR,NYG,11.0,112.0,,,0.0,,3.7,0.5,0.0,,22.7,71.5,,,,,,,,,,,778.8,
rams_DST_LAR,Rams,DST,LAR,9.0,112.5,,,,,,11.3,,21.6,,,,40.8,11.3,,0.3,,15.4,,2.2,,,
barber_RB_TB,Peyton Barber,RB,TB,7.0,113.3,,,5.1,,0.6,1.6,0.0,,778.4,23.1,,,,,,,,0.0,,,159.5,
metcalf_WR_SEA,D.K. Metcalf,WR,SEA,11.0,114.3,,,0.0,,5.5,1.0,,,6.0,40.0,,,,,,,,,,,607.0,
westbrook_WR_JAC,Dede Westbrook,WR,JAC,10.0,115.0,,,0.0,,6.0,2.0,,,84.0,65.0,,,,,,,,,,,765.0,
hyde_RB_KC,Carlos Hyde,RB,KC,12.0,117.0,,,3.7,,0.4,1.3,,,419.2,16.6,,,,,,,,0.0,,,103.3,
hardman_WR_KC,Mecole Hardman,WR,KC,12.0,117.8,,,0.0,,3.8,0.5,0.0,,28.5,39.4,,,,,,,,,,,569.1,
