key,name,pos,team,bye,adp,rush_yds,kick_50,df_ints,fumbles,df_safeties,reception_yds,receptions,pass_yds,kick_40_49,kick_30_39,df_points_allowed_per_game,reception_tds,kick_0_19,df_tds,df_fumbles,rush_tds,pass_ints,df_sacks,kick_extra_points,kick_20_29,pass_tds,two_pts
celek_TE_SF,Garrett Celek,TE,SF,,-1.0,0.4,,,0.0,,107.6,6.8,,,,,1.7,,,,,,,,,,
chark_WR_JAX,DJ Chark,WR,JAX,,-1.0,6.4,,,0.0,,508.8,39.6,,,,,2.5,,0.0,,0.0,0.0,,,,,
charles_TE_CLE,Orson Charles,TE,CLE,,-1.0,0.4,,,,,23.9,2.7,,,,,0.3,,,,,,,,,,
cole_WR_JAX,Keelan Cole,WR,JAX,,-1.0,0.3,,,,,176.9,12.0,,,,,0.5,,,,0.0,,,,,,
conklin_TE_MIN,Tyler Conklin,TE,MIN,,-1.0,0.5,,,0.0,,108.5,9.0,,,,,0.7,,,,,,,,,,
conley_WR_JAX,Chris Conley,WR,JAX,,-1.0,0.8,,,,,380.8,29.9,,,,,2.1,,,,0.0,,,,,,
cooper_WR_ARI,Pharoh Cooper,WR,ARI,,-1.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,
core_WR_CIN,Cody Core,WR,CIN,,-1.0,0.2,,,,,148.0,11.2,,,,,0.5,,,,0.0,,,,,,
cracraft_WR_DEN,River Cracraft,WR,DEN,,-1.0,0.9,,,,,36.5,1.3,,,,,0.2,,,,0.0,,,,,,
croom_TE_BUF,Jason Croom,TE,BUF,,-1.0,0.9,,,2.0,,215.0,18.4,,,,,1.0,,,,0.0,0.0,,,,,
culkin_TE_LAC,Sean Culkin,TE,LAC,,-1.0,0.2,,,,,26.4,2.6,,,,,0.1,,,,0.0,,,,,,
cunningham_RB_JAX,Benny Cunningham,RB,JAX,,-1.0,33.0,,,,,75.0,9.0,,,,,0.0,,,,0.0,,,,,,
daniel_QB_CHI,Chase Daniel,QB,CHI,,-1.0,3.0,,,0.0,,,,108.5,,,,,,,,0.0,0.5,,,,0.8,0.2
daniels_TE_ARI,Darrell Daniels,TE,ARI,,-1.0,0.4,,,,,12.0,0.4,,,,,0.2,,,,,,,,,,
davis_TE_WSH,Vernon Davis,TE,WSH,,-1.0,0.0,,,,,331.0,25.0,,,,,1.0,,,,0.0,,,,,,
davis_WR_GB,Trevor Davis,WR,GB,,-1.0,0.0,,,,,44.0,3.0,,,,,0.0,,,,0.0,,,,,,
davis_WR_LAC,Geremy Davis,WR,LAC,,-1.0,0.0,,,,,21.0,2.0,,,,,0.0,,,,0.0,,,,,,
devalve_TE_CLE,Seth DeValve,TE,CLE,,-1.0,0.4,,,0.0,,92.7,7.0,,,,,0.7,,,,,,,,,,
dickson_TE_SEA,Ed Dickson,TE,SEA,,-1.0,5.2,,,0.0,,209.0,19.1,,,,,1.9,,,,0.0,,,,,,
dieter_WR_KC,Gehrig Dieter,WR,KC,,-1.0,0.3,,,,,28.1,1.8,,,,,0.0,,,,0.0,,,,,,
dimarco_RB_BUF,Patrick DiMarco,RB,BUF,,-1.0,4.7,,,0.0,,23.8,3.1,,,,,0.1,,,,0.1,,,,,,
dobbs_QB_PIT,Joshua Dobbs,QB,PIT,,-1.0,5.5,,,0.1,,,,127.7,,,,,,,,0.1,0.7,,,,0.9,0.5
doctson_WR_WSH,Josh Doctson,WR,WSH,,-1.0,0.0,,,,,588.0,44.0,,,,,4.0,,,,0.0,,,,,,
