key,name,pos,team,bye,std,half_ppr,ppr,df_ints,rush_tds,two_pts,fumbles,kick_20_29,pass_yds,kick_extra_points,df_points_allowed_per_game,kick_50,df_safeties,pass_tds,reception_tds,rush_yds,receptions,df_fumbles,kick_40_49,pass_ints,reception_yds,df_tds,kick_30_39,df_sacks,kick_0_19
fairbairn_K_HOU,Ka'imi Fairbairn,K,HOU,,-1.0,-1.0,-1.0,,,,,6.9,,30.8,,4.3,,,,,,,7.4,,,,7.9,,0.5
falcons_DST_ATL,Falcons,DST,ATL,14.0,-1.0,169.0,172.0,13.9,,,9.0,,,,25.7,,0.3,,,,,9.0,,,,1.7,,31.7,
farrell_TE_JAX,Luke Farrell,TE,JAX,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.0,0.0,10.0,,,,90.5,,,,
felton_RB_CLE,Demetric Felton,RB,CLE,,-1.0,-1.0,-1.0,,0.1,0.0,0.0,,,,,,,,0.9,42.1,13.4,,,,115.4,,,,
ferguson_TE_DAL,Jake Ferguson,TE,DAL,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.0,0.0,10.0,,,,100.0,,,,
firkser_TE_ATL,Anthony Firkser,TE,ATL,,-1.0,-1.0,-1.0,,0.0,,1.0,,,,,,,,1.7,0.4,27.9,,,,271.4,,,,
fitzpatrick_TE_ATL,John FitzPatrick,TE,ATL,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,2.0,,,,17.0,,,,
fitzpatrick_WR_TEN,Dez Fitzpatrick,WR,TEN,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.4,1.3,7.1,,,,90.5,,,,
flacco_QB_NYJ,Joe Flacco,QB,NYJ,,-1.0,-1.0,-1.0,,0.0,0.6,0.5,,267.2,,,,,1.5,,9.4,,,,0.9,,,,,
foles_QB_IND,Nick Foles,QB,IND,,-1.0,-1.0,-1.0,,0.0,,0.0,,186.0,,,,,1.0,,14.0,,,,1.0,,,,,
ford_RB_CLE,Jerome Ford,RB,CLE,,-1.0,-1.0,-1.0,,0.5,,0.0,,,,,,,,0.0,86.5,2.0,,,,18.5,,,,
forristall_TE_CLE,Miller Forristall,TE,CLE,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,1.0,0.0,7.0,,,,70.0,,,,
fortson_TE_KC,Jody Fortson,TE,KC,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.0,0.0,8.0,,,,93.5,,,,
fountain_WR_KC,Daurice Fountain,WR,KC,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.1,0.8,2.1,,,,33.8,,,,
fulgham_WR_DEN,Travis Fulgham,WR,DEN,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,1.1,,,,12.1,,,,
gabbert_QB_TB,Blaine Gabbert,QB,TB,,-1.0,-1.0,-1.0,,0.1,0.3,0.0,,256.3,,,,,1.4,,1.9,,,,1.1,,,,,
gano_K_NYG,Graham Gano,K,NYG,9.0,-1.0,-1.0,182.0,,,,,7.0,,30.6,,4.8,,,,,,,7.8,,,,9.5,,0.3
gentry_TE_PIT,Zach Gentry,TE,PIT,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.8,0.3,12.9,,,,116.0,,,,
gilliam_RB_BUF,Reggie Gilliam,RB,BUF,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,4.0,,,,33.0,,,,
gilliam_TE_BUF,Reggie Gilliam,TE,BUF,,-1.0,-1.0,-1.0,,0.1,0.0,0.0,,,,,,,,0.2,4.7,7.1,,,,42.4,,,,
gonzalez_K_CAR,Zane Gonzalez,K,CAR,,-1.0,-1.0,-1.0,,,,,7.8,,31.6,,4.1,,,,,,,8.6,,,,7.7,,0.4
gordon_WR_KC,Josh Gordon,WR,KC,8.0,-1.0,316.0,313.0,,,,,,,,,,,,0.0,0.0,0.6,,,,6.9,,,,
granson_TE_IND,Kylen Granson,TE,IND,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,1.3,0.3,14.3,,,,155.3,,,,
grant_WR_CLE,Jakeem Grant Sr.,WR,CLE,,-1.0,-1.0,-1.0,,0.1,,0.0,,,,,,,,0.3,28.2,7.5,,,,93.0,1.3,,,
gray_TE_KC,Noah Gray,TE,KC,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.9,0.3,11.4,,,,92.9,,,,
gray_WR_SF,Danny Gray,WR,SF,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,1.0,0.0,12.0,,,,135.0,,,,
griffin_TE_CHI,Ryan Griffin,TE,CHI,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.9,0.3,11.6,,,,122.4,,,,
griffin_TE_DET,Garrett Griffin,TE,DET,,-1.0,-1.0,-1.0,,,,0.0,,,,,,,,1.0,,12.0,,,,100.0,,,,
griffinstewart_TE_CLE,Nakia Griffin-Stewart,TE,CLE,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.0,7.0,,,,74.0,,,,
hall_RB_NYG,Jeremiah Hall,RB,NYG,,-1.0,-1.0,-1.0,,,,1.0,,,,,,,,2.0,,35.0,,,,308.0,,,,
ham_RB_MIN,C.J. Ham,RB,MIN,,-1.0,-1.0,-1.0,,0.0,0.0,0.0,,,,,,,,0.2,16.0,14.8,,,0.0,112.5,,,,
harris_TE_LAR,Jacob Harris,TE,LAR,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.0,8.0,,,,87.0,,,,
hasty_RB_SF,JaMycal Hasty,RB,SF,,-1.0,-1.0,-1.0,,0.6,0.0,0.5,,,,,,,,0.1,49.2,10.2,,,,75.0,,,,
heinicke_QB_WSH,Taylor Heinicke,QB,WSH,,-1.0,-1.0,-1.0,,0.1,0.5,0.0,,174.4,,,,,1.0,,9.5,,,,1.2,,,,,
henne_QB_KC,Chad Henne,QB,KC,,-1.0,-1.0,-1.0,,0.1,0.2,0.1,,200.1,,,,,1.2,,4.0,,,,0.9,,,,,
hesse_TE_ATL,Parker Hesse,TE,ATL,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,5.0,,,,54.0,,,,
heyward_TE_PIT,Connor Heyward,TE,PIT,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,1.0,0.0,12.0,,,,116.0,,,,
higgins_WR_CAR,Rashard Higgins,WR,CAR,13.0,-1.0,373.0,373.0,,0.0,,,,,,,,,,0.8,0.4,15.7,,,,208.5,,,,
hill_RB_BAL,Justice Hill,RB,BAL,,-1.0,-1.0,-1.0,,1.0,,1.0,,,,,,,,0.0,177.0,7.0,,,,47.0,,,,
hill_RB_GB,Kylin Hill,RB,GB,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,16.0,2.0,,,,15.0,,,,
hill_TE_NO,Taysom Hill,TE,NO,,-1.0,-1.0,-1.0,,1.4,,0.6,,33.0,,,,,0.0,0.7,113.5,5.0,,,0.0,53.1,,,,
hodge_WR_ATL,KhaDarel Hodge,WR,ATL,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,6.0,,,,75.0,,,,
