key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
taylor_RB_IND,Jonathan Taylor,RB,IND,,,,14.0,1552.0,42.0,1.0,340.0,,,,,,,,,,,,,,
kupp_WR_LAR,Cooper Kupp,WR,LAR,,,,0.0,25.0,114.0,10.0,1349.0,,,,,,,,,,,,,,
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,,,,7.0,944.0,90.0,2.0,681.0,,,,,,,,,,,,,,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,,,,9.0,971.0,66.0,3.0,612.0,,,,,,,,,,,,,,
jefferson_WR_MIN,Justin Jefferson,WR,MIN,,,,0.0,24.0,98.0,8.0,1370.0,,,,,,,,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,,,,1.0,82.0,84.0,9.0,1256.0,,,,,,,,,,,,,,
henry_RB_TEN,Derrick Henry,RB,TEN,,,,11.0,1464.0,29.0,1.0,217.0,,,,,,,,,,,,,,
harris_RB_PIT,Najee Harris,RB,PIT,,,,7.0,1142.0,59.0,2.0,388.0,,,,,,,,,,,,,,
adams_WR_LV,Davante Adams,WR,LV,,,,0.0,0.0,96.0,7.0,1157.0,,,,,,,,,,,,,,
cook_RB_MIN,Dalvin Cook,RB,MIN,,,,10.0,1138.0,45.0,1.0,360.0,,,,,,,,,,,,,,
diggs_WR_BUF,Stefon Diggs,WR,BUF,,,,0.0,0.0,93.0,8.0,1149.0,,,,,,,,,,,,,,
samuel_WR_SF,Deebo Samuel,WR,SF,,,,4.0,368.0,69.0,5.0,996.0,,,,,,,,,,,,,,
lamb_WR_DAL,CeeDee Lamb,WR,DAL,,,,0.0,59.0,87.0,7.0,1126.0,,,,,,,,,,,,,,
mixon_RB_CIN,Joe Mixon,RB,CIN,,,,10.0,1128.0,42.0,2.0,280.0,,,,,,,,,,,,,,
swift_RB_DET,D'Andre Swift,RB,DET,,,,7.0,856.0,66.0,3.0,502.0,,,,,,,,,,,,,,
fournette_RB_TB,Leonard Fournette,RB,TB,,,,9.0,926.0,59.0,2.0,391.0,,,,,,,,,,,,,,
hill_WR_MIA,Tyreek Hill,WR,MIA,,,,0.0,59.0,88.0,7.0,1091.0,,,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,,6.0,839.0,57.0,4.0,553.0,,,,,,,,,,,,,,
williams_RB_DEN,Javonte Williams,RB,DEN,,,,7.0,974.0,50.0,2.0,357.0,,,,,,,,,,,,,,
conner_RB_ARI,James Conner,RB,ARI,,,,11.0,909.0,44.0,2.0,334.0,,,,,,,,,,,,,,
jones_RB_GB,Aaron Jones,RB,GB,,,,5.0,832.0,58.0,3.0,496.0,,,,,,,,,,,,,,
akers_RB_LAR,Cam Akers,RB,LAR,,,,8.0,1102.0,36.0,2.0,280.0,,,,,,,,,,,,,,
