key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
lockett_WR_SEA,Tyler Lockett,WR,SEA,,,0.01,0.42,74.09,58.5,8.08,1272.91,,0.05,,,,,,,,,,,0.15,
stafford_QB_DET,Matthew Stafford,QB,DET,24.71,3927.93,11.87,0.88,57.05,,,,1,0.59,,,,,,,,,,,,
hilton_WR_IND,T.Y. Hilton,WR,IND,,,0.01,,2.55,83.19,7.14,1165.66,,,,,,,,,,,,,0.19,
bell_RB_NYJ,Le'Veon Bell,RB,NYJ,,,0.01,6.61,903.91,51.85,2.76,470.42,,0.96,,,,,,,,,,,,
foles_QB_JAX,Nick Foles,QB,JAX,24.69,3961.07,14.42,1.24,79.13,,,,0.5,0.98,,,,,,,,,,,,
mixon_RB_CIN,Joe Mixon,RB,CIN,,,0.01,8.5,1144.47,40.24,1.15,304.32,0.06,0.66,,,,,,,,,,,,
cooks_WR_LAR,Brandin Cooks,WR,LAR,,,0.01,0.4,52,77.88,6.59,1153.79,,0.03,,,,,,,,,,,,
fournette_RB_JAX,Leonard Fournette,RB,JAX,,,0.01,6.96,971.51,47.89,1.79,407.83,0.04,,,,,,,,,,,,,
green_WR_CIN,A.J. Green,WR,CIN,,,0.01,0.02,2.31,77.13,7.21,1170.35,,,,,,,,,,,,,,
darnold_QB_NYJ,Sam Darnold,QB,NYJ,20.62,3575.26,15.04,2.28,273.49,,,,0.82,1.48,,,,,,,,,,,,
beckham_WR_CLE,Odell Beckham,WR,CLE,,,0.01,0.01,23.61,80.69,7.61,1053.8,,0.02,,,,,,,,,,,,
henry_RB_TEN,Derrick Henry,RB,TEN,,,0.01,11.03,1310.15,17.33,0.6,130.78,0.07,,,,,,,,,,,,,
kupp_WR_LAR,Cooper Kupp,WR,LAR,,,0.01,0.2,39.18,78.4,6.94,1060.13,,0.03,,,,,,,,,,,,
gordon_RB_LAC,Melvin Gordon,RB,LAC,,,0.01,7.53,911.42,43.32,1.95,381.6,0.5,,,,,,,,,,,,,
johnson_RB_DET,Kerryon Johnson,RB,DET,,,0.01,6.9,999.14,44.88,1.92,356.49,0.13,1.65,,,,,,,,,,,,
diggs_WR_MIN,Stefon Diggs,WR,MIN,,,0.01,0.22,52.03,82.29,7.08,963.37,,0.04,,,,,,,,,,,,
ertz_TE_PHI,Zach Ertz,TE,PHI,,,0.01,,1.25,90.16,6.55,965.64,,,,,,,,,,,,,,
carr_QB_OAK,Derek Carr,QB,OAK,21.83,3798.15,13.27,0.87,60.6,,,,1.5,0.72,,,,,,,,,,,,
mariota_QB_TEN,Marcus Mariota,QB,TEN,17.15,3280.43,11.32,2.7,327.41,,,,0.5,1.13,,,,,,,,,,,,
boyd_WR_CIN,Tyler Boyd,WR,CIN,,,0.01,0.11,12.49,78.87,6.62,1035.56,,0.01,,,,,,,,,,,0.13,
michel_RB_NE,Sony Michel,RB,NE,,,0.01,10.66,1161.96,10.8,0.25,73.01,0.11,1.02,,,,,,,,,,,3.68,
woods_WR_LAR,Robert Woods,WR,LAR,,,0.01,0.34,108.74,76.56,5.32,978.36,,0.09,,,,,,,,,,,,
godwin_WR_TB,Chris Godwin,WR,TB,,,0.01,,1.12,71.75,6.66,1045.3,,,,,,,,,,,,,0.13,
cooper_WR_DAL,Amari Cooper,WR,DAL,,,0.01,0.07,16.4,75.03,6.45,1010.49,,0.01,,,,,,,,,,,,
chubb_RB_CLE,Nick Chubb,RB,CLE,,,0.01,8.2,1122.73,27.07,1,214.5,0.12,,,,,,,,,,,,,
thielen_WR_MIN,Adam Thielen,WR,MIN,,,0.01,0.14,43.33,75.26,5.66,997.15,,0.04,,,,,,,,,,,,
jacobs_RB_OAK,Josh Jacobs,RB,OAK,,,0.01,6.54,959.37,37.91,1.63,325.01,0.16,1.2,,,,,,,,,,,,
lindsay_RB_DEN,Phillip Lindsay,RB,DEN,,,0.01,7.67,946.85,34.92,1.22,298.76,0.12,,,,,,,,,,,,,
jones_RB_GB,Aaron Jones,RB,GB,,,0.01,7.25,941.76,37.5,1.46,303.49,0.1,0.99,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,16.2,3448.76,15.31,2.22,257.55,,,,1.38,1.32,,,,,,,,,,,,
