key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
allen_QB_BUF,Josh Allen,QB,BUF,32.76,4955.47,13.2,4.31,568.5,,,,1.08,2.76,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,34.13,5214.22,14.72,3.08,405.76,,,,2.13,0.33,,,,,,,,,,,,
rodgers_QB_GB,Aaron Rodgers,QB,GB,35.6,5176.98,10.26,2.17,232.18,,,,1.65,1.49,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,27.9,4368.69,13.49,5.11,745.29,,,,1.59,1.13,,,,,,,,,,,,
adams_WR_GB,Davante Adams,WR,GB,,,0.01,,0.88,131.36,12.28,1543.4,,,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,22.53,3434.06,12.07,6.67,1140.31,,,,0.53,2.01,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,0.01,10.18,1183.82,83.14,3.25,693.96,0.53,0.61,,,,,,,,,,,,
hill_WR_KC,Tyreek Hill,WR,KC,,,0.01,0.2,90.38,115.8,10.4,1599.48,,0.04,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,31.57,4933.47,14.24,2.91,283.64,,,,3.22,0.72,,,,,,,,,,,,
brady_QB_TB,Tom Brady,QB,TB,34.85,5289.23,11.61,1.74,87.54,,,,0.53,1.29,,,,,,,,,,,,
wilson_QB_SEA,Russell Wilson,QB,SEA,31.17,4419.51,9.85,2.99,463.73,,,,1.06,1.73,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,33,4922.54,15.91,3.03,267.3,,,,1.84,0.67,,,,,,,,,,,,
diggs_WR_BUF,Stefon Diggs,WR,BUF,,,0.01,,3.61,118.57,10.52,1609.84,,,,,,,,,,,,,,
