key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
jackson_QB_BAL,Lamar Jackson,QB,BAL,26.0,3430.0,10.0,6.0,901.0,,,,,,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,33.0,4479.0,10.0,4.0,281.0,,,,,,,,,,,,,,,,,
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,,,,8.0,1050.0,89.0,3.0,735.0,,,,,,,,,,,,,,
watson_QB_HOU,Deshaun Watson,QB,HOU,28.0,4009.0,12.0,4.0,518.0,,,,,,,,,,,,,,,,,
thomas_WR_NO,Michael Thomas,WR,NO,,,,0.0,0.0,114.0,9.0,1353.0,,,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,27.0,4291.0,11.0,4.0,248.0,,,,,,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,26.0,3815.0,12.0,4.0,471.0,,,,,,,,,,,,,,,,,
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,,,,10.0,1237.0,57.0,2.0,456.0,,,,,,,,,,,,,,
wilson_QB_SEA,Russell Wilson,QB,SEA,29.0,3667.0,9.0,2.0,397.0,,,,,,,,,,,,,,,,,
brady_QB_TB,Tom Brady,QB,TB,31.0,4433.0,9.0,2.0,28.0,,,,,,,,,,,,,,,,,
kamara_RB_NO,Alvin Kamara,RB,NO,,,,8.0,874.0,78.0,3.0,601.0,,,,,,,,,,,,,,
cook_RB_MIN,Dalvin Cook,RB,MIN,,,,10.0,1039.0,65.0,1.0,539.0,,,,,,,,,,,,,,
barkley_RB_NYG,Saquon Barkley,RB,NYG,,,,9.0,1162.0,58.0,2.0,460.0,,,,,,,,,,,,,,
ryan_QB_ATL,Matt Ryan,QB,ATL,28.0,4525.0,12.0,1.0,125.0,,,,,,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,19.0,3407.0,11.0,5.0,549.0,,,,,,,,,,,,,,,,,
brees_QB_NO,Drew Brees,QB,NO,30.0,4012.0,9.0,1.0,11.0,,,,,,,,,,,,,,,,,
stafford_QB_DET,Matthew Stafford,QB,DET,27.0,4202.0,11.0,1.0,123.0,,,,,,,,,,,,,,,,,
wentz_QB_PHI,Carson Wentz,QB,PHI,27.0,3798.0,9.0,2.0,213.0,,,,,,,,,,,,,,,,,
rodgers_QB_GB,Aaron Rodgers,QB,GB,25.0,3879.0,9.0,1.0,205.0,,,,,,,,,,,,,,,,,
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,,,,0.0,23.0,93.0,8.0,1144.0,,,,,,,,,,,,,,
jones_WR_ATL,Julio Jones,WR,ATL,,,,0.0,10.0,89.0,7.0,1247.0,,,,,,,,,,,,,,
kelce_TE_KC,Travis Kelce,TE,KC,,,,0.0,6.0,88.0,9.0,1094.0,,,,,,,,,,,,,,
godwin_WR_TB,Chris Godwin,WR,TB,,,,0.0,0.0,88.0,8.0,1190.0,,,,,,,,,,,,,,
hill_WR_KC,Tyreek Hill,WR,KC,,,,1.0,65.0,79.0,8.0,1121.0,,,,,,,,,,,,,,
adams_WR_GB,Davante Adams,WR,GB,,,,0.0,0.0,91.0,7.0,1154.0,,,,,,,,,,,,,,
henry_RB_TEN,Derrick Henry,RB,TEN,,,,11.0,1316.0,25.0,1.0,211.0,,,,,,,,,,,,,,
jones_QB_NYG,Daniel Jones,QB,NYG,24.0,3735.0,13.0,2.0,266.0,,,,,,,,,,,,,,,,,
evans_WR_TB,Mike Evans,WR,TB,,,,0.0,0.0,77.0,9.0,1171.0,,,,,,,,,,,,,,
newton_QB_NE,Cam Newton,QB,NE,19.0,3430.0,12.0,3.0,412.0,,,,,,,,,,,,,,,,,
drake_RB_ARI,Kenyan Drake,RB,ARI,,,,8.0,924.0,53.0,2.0,401.0,,,,,,,,,,,,,,
goff_QB_LAR,Jared Goff,QB,LAR,22.0,4299.0,13.0,2.0,64.0,,,,,,,,,,,,,,,,,
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,,,,8.0,892.0,48.0,3.0,401.0,,,,,,,,,,,,,,
sanders_RB_PHI,Miles Sanders,RB,PHI,,,,8.0,1061.0,43.0,2.0,360.0,,,,,,,,,,,,,,
roethlisberger_QB_PIT,Ben Roethlisberger,QB,PIT,25.0,3875.0,12.0,1.0,72.0,,,,,,,,,,,,,,,,,
jones_RB_GB,Aaron Jones,RB,GB,,,,9.0,898.0,44.0,2.0,368.0,,,,,,,,,,,,,,
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,23.0,3468.0,11.0,2.0,205.0,,,,,,,,,,,,,,,,,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,,,,4.0,716.0,64.0,3.0,603.0,,,,,,,,,,,,,,
jacobs_RB_LV,Josh Jacobs,RB,LV,,,,9.0,1148.0,36.0,1.0,280.0,,,,,,,,,,,,,,
chubb_RB_CLE,Nick Chubb,RB,CLE,,,,10.0,1268.0,27.0,1.0,211.0,,,,,,,,,,,,,,
garoppolo_QB_SF,Jimmy Garoppolo,QB,SF,25.0,3682.0,13.0,2.0,74.0,,,,,,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,20.0,3722.0,13.0,2.0,257.0,,,,,,,,,,,,,,,,,
thielen_WR_MIN,Adam Thielen,WR,MIN,,,,0.0,24.0,79.0,6.0,1112.0,,,,,,,,,,,,,,
