key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
edmonds_RB_ARI,Chase Edmonds,RB,ARI,,,,5.0,743.0,54.0,3.0,404.0,,,,,,,,,,,,,,
mahomes_QB_KC,Patrick Mahomes,QB,KC,36.0,4922.0,10.0,4.0,327.0,,,,,,,,,,,,,,,,,
allen_QB_BUF,Josh Allen,QB,BUF,32.0,4545.0,12.0,7.0,528.0,,,,,,,,,,,,,,,,,
edwards_RB_BAL,Gus Edwards,RB,BAL,,,,8.0,1043.0,25.0,1.0,202.0,,,,,,,,,,,,,,
williams_RB_DEN,Javonte Williams,RB,DEN,,,,5.0,904.0,29.0,1.0,217.0,,,,,,,,,,,,,,
hunt_RB_CLE,Kareem Hunt,RB,CLE,,,,6.0,569.0,41.0,3.0,355.0,,,,,,,,,,,,,,
gaskin_RB_MIA,Myles Gaskin,RB,MIA,,,,5.0,708.0,47.0,2.0,351.0,,,,,,,,,,,,,,
golladay_WR_NYG,Kenny Golladay,WR,NYG,,,,0.0,0.0,71.0,6.0,1071.0,,,,,,,,,,,,,,
beckham_WR_CLE,Odell Beckham Jr.,WR,CLE,,,,0.0,32.0,64.0,7.0,890.0,,,,,,,,,,,,,,
anderson_WR_CAR,Robby Anderson,WR,CAR,,,,0.0,20.0,85.0,5.0,1023.0,,,,,,,,,,,,,,
smithschuster_WR_PIT,JuJu Smith-Schuster,WR,PIT,,,,0.0,0.0,87.0,6.0,895.0,,,,,,,,,,,,,,
sutton_WR_DEN,Courtland Sutton,WR,DEN,,,,0.0,14.0,67.0,7.0,968.0,,,,,,,,,,,,,,
andrews_TE_BAL,Mark Andrews,TE,BAL,,,,0.0,0.0,70.0,8.0,829.0,,,,,,,,,,,,,,
hockenson_TE_DET,T.J. Hockenson,TE,DET,,,,0.0,0.0,81.0,6.0,854.0,,,,,,,,,,,,,,
pitts_TE_ATL,Kyle Pitts,TE,ATL,,,,0.0,0.0,72.0,6.0,839.0,,,,,,,,,,,,,,
murray_QB_ARI,Kyler Murray,QB,ARI,25.0,4084.0,12.0,9.0,726.0,,,,,,,,,,,,,,,,,
jeudy_WR_DEN,Jerry Jeudy,WR,DEN,,,,0.0,0.0,76.0,6.0,1037.0,,,,,,,,,,,,,,
claypool_WR_PIT,Chase Claypool,WR,PIT,,,,0.0,41.0,72.0,6.0,946.0,,,,,,,,,,,,,,
cooks_WR_HOU,Brandin Cooks,WR,HOU,,,,0.0,0.0,79.0,4.0,1089.0,,,,,,,,,,,,,,
prescott_QB_DAL,Dak Prescott,QB,DAL,30.0,4802.0,12.0,6.0,258.0,,,,,,,,,,,,,,,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,26.0,3334.0,11.0,7.0,869.0,,,,,,,,,,,,,,,,,
davis_RB_ATL,Mike Davis,RB,ATL,,,,7.0,913.0,39.0,1.0,263.0,,,,,,,,,,,,,,
henderson_RB_LAR,Darrell Henderson Jr.,RB,LAR,,,,9.0,774.0,33.0,1.0,269.0,,,,,,,,,,,,,,
chase_WR_CIN,Ja'Marr Chase,WR,CIN,,,,0.0,24.0,73.0,6.0,945.0,,,,,,,,,,,,,,
fuller_WR_MIA,William Fuller V,WR,MIA,,,,0.0,0.0,69.0,5.0,935.0,,,,,,,,,,,,,,
boyd_WR_CIN,Tyler Boyd,WR,CIN,,,,0.0,25.0,86.0,5.0,936.0,,,,,,,,,,,,,,
shenault_WR_JAX,Laviska Shenault Jr.,WR,JAX,,,,0.0,70.0,80.0,5.0,885.0,,,,,,,,,,,,,,
gallup_WR_DAL,Michael Gallup,WR,DAL,,,,0.0,0.0,68.0,6.0,978.0,,,,,,,,,,,,,,
thomas_TE_WSH,Logan Thomas,TE,WSH,,,,0.0,18.0,67.0,6.0,708.0,,,,,,,,,,,,,,
smith_WR_PHI,DeVonta Smith,WR,PHI,,,,0.0,13.0,71.0,5.0,945.0,,,,,,,,,,,,,,
samuel_WR_SF,Deebo Samuel,WR,SF,,,,1.0,97.0,70.0,5.0,827.0,,,,,,,,,,,,,,
rodgers_QB_GB,Aaron Rodgers,QB,GB,35.0,4302.0,9.0,2.0,179.0,,,,,,,,,,,,,,,,,
wilson_QB_SEA,Russell Wilson,QB,SEA,31.0,4149.0,11.0,2.0,425.0,,,,,,,,,,,,,,,,,
herbert_QB_LAC,Justin Herbert,QB,LAC,28.0,4368.0,12.0,4.0,248.0,,,,,,,,,,,,,,,,,
fant_TE_DEN,Noah Fant,TE,DEN,,,,0.0,0.0,64.0,4.0,666.0,,,,,,,,,,,,,,
davis_WR_NYJ,Corey Davis,WR,NYJ,,,,0.0,0.0,74.0,4.0,1013.0,,,,,,,,,,,,,,
jones_WR_JAX,Marvin Jones Jr.,WR,JAX,,,,0.0,0.0,69.0,6.0,952.0,,,,,,,,,,,,,,
chark_WR_JAX,DJ Chark Jr.,WR,JAX,,,,0.0,0.0,68.0,6.0,924.0,,,,,,,,,,,,,,
thomas_WR_NO,Michael Thomas,WR,NO,,,,0.0,0.0,65.0,4.0,811.0,,,,,,,,,,,,,,
harris_RB_NE,Damien Harris,RB,NE,,,,6.0,983.0,21.0,1.0,166.0,,,,,,,,,,,,,,
mostert_RB_SF,Raheem Mostert,RB,SF,,,,5.0,783.0,23.0,1.0,193.0,,,,,,,,,,,,,,
landry_WR_CLE,Jarvis Landry,WR,CLE,,,,0.0,28.0,73.0,5.0,839.0,,,,,,,,,,,,,,
brown_WR_BAL,Marquise Brown,WR,BAL,,,,0.0,13.0,64.0,7.0,872.0,,,,,,,,,,,,,,
samuel_WR_WSH,Curtis Samuel,WR,WSH,,,,1.0,119.0,69.0,4.0,823.0,,,,,,,,,,,,,,
williams_WR_LAC,Mike Williams,WR,LAC,,,,0.0,0.0,60.0,6.0,908.0,,,,,,,,,,,,,,
brown_WR_TB,Antonio Brown,WR,TB,,,,0.0,13.0,63.0,6.0,750.0,,,,,,,,,,,,,,
michel_RB_LAR,Sony Michel,RB,LAR,,,,6.0,714.0,23.0,1.0,189.0,,,,,,,,,,,,,,
waddle_WR_MIA,Jaylen Waddle,WR,MIA,,,,0.0,25.0,64.0,5.0,853.0,,,,,,,,,,,,,,
ruggs_WR_LV,Henry Ruggs III,WR,LV,,,,0.0,74.0,54.0,5.0,816.0,,,,,,,,,,,,,,
drake_RB_LV,Kenyan Drake,RB,LV,,,,4.0,480.0,51.0,2.0,379.0,,,,,,,,,,,,,,
fournette_RB_TB,Leonard Fournette,RB,TB,,,,6.0,677.0,24.0,1.0,175.0,,,,,,,,,,,,,,
conner_RB_ARI,James Conner,RB,ARI,,,,6.0,633.0,28.0,1.0,204.0,,,,,,,,,,,,,,
gordon_RB_DEN,Melvin Gordon III,RB,DEN,,,,5.0,735.0,25.0,1.0,176.0,,,,,,,,,,,,,,
dillon_RB_GB,AJ Dillon,RB,GB,,,,5.0,683.0,26.0,1.0,205.0,,,,,,,,,,,,,,
williams_RB_DET,Jamaal Williams,RB,DET,,,,3.0,647.0,34.0,1.0,252.0,,,,,,,,,,,,,,
moss_RB_BUF,Zack Moss,RB,BUF,,,,4.0,565.0,32.0,2.0,244.0,,,,,,,,,,,,,,
singletary_RB_BUF,Devin Singletary,RB,BUF,,,,2.0,513.0,33.0,1.0,247.0,,,,,,,,,,,,,,
smith_TE_NE,Jonnu Smith,TE,NE,,,,0.0,9.0,60.0,5.0,632.0,,,,,,,,,,,,,,
goedert_TE_PHI,Dallas Goedert,TE,PHI,,,,0.0,0.0,63.0,4.0,701.0,,,,,,,,,,,,,,
tonyan_TE_GB,Robert Tonyan,TE,GB,,,,0.0,0.0,54.0,6.0,626.0,,,,,,,,,,,,,,
gesicki_TE_MIA,Mike Gesicki,TE,MIA,,,,0.0,0.0,53.0,5.0,611.0,,,,,,,,,,,,,,
brady_QB_TB,Tom Brady,QB,TB,36.0,4652.0,11.0,2.0,22.0,,,,,,,,,,,,,,,,,
hines_RB_IND,Nyheim Hines,RB,IND,,,,2.0,322.0,53.0,2.0,408.0,,,,,,,,,,,,,,
carter_RB_NYJ,Michael Carter,RB,NYJ,,,,4.0,576.0,29.0,1.0,220.0,,,,,,,,,,,,,,
jones_RB_TB,Ronald Jones II,RB,TB,,,,6.0,792.0,14.0,1.0,103.0,,,,,,,,,,,,,,
sermon_RB_SF,Trey Sermon,RB,SF,,,,4.0,591.0,19.0,1.0,150.0,,,,,,,,,,,,,,
hurts_QB_PHI,Jalen Hurts,QB,PHI,20.0,3701.0,12.0,6.0,655.0,,,,,,,,,,,,,,,,,
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,29.0,3970.0,10.0,4.0,210.0,,,,,,,,,,,,,,,,,
stafford_QB_LAR,Matthew Stafford,QB,LAR,26.0,4638.0,12.0,1.0,130.0,,,,,,,,,,,,,,,,,
pittman_WR_IND,Michael Pittman Jr.,WR,IND,,,,0.0,26.0,66.0,4.0,835.0,,,,,,,,,,,,,,
meyers_WR_NE,Jakobi Meyers,WR,NE,,,,0.0,11.0,70.0,4.0,887.0,,,,,,,,,,,,,,
beasley_WR_BUF,Cole Beasley,WR,BUF,,,,0.0,0.0,68.0,4.0,780.0,,,,,,,,,,,,,,
parker_WR_MIA,DeVante Parker,WR,MIA,,,,0.0,0.0,61.0,4.0,744.0,,,,,,,,,,,,,,
callaway_WR_NO,Marquez Callaway,WR,NO,,,,0.0,0.0,62.0,5.0,784.0,,,,,,,,,,,,,,
reagor_WR_PHI,Jalen Reagor,WR,PHI,,,,0.0,35.0,58.0,4.0,802.0,,,,,,,,,,,,,,
johnson_RB_HOU,David Johnson,RB,HOU,,,,4.0,458.0,34.0,2.0,295.0,,,,,,,,,,,,,,
white_RB_NE,James White,RB,NE,,,,2.0,216.0,55.0,2.0,433.0,,,,,,,,,,,,,,
williams_WR_DET,Tyrell Williams,WR,DET,,,,0.0,0.0,58.0,4.0,832.0,,,,,,,,,,,,,,
hardman_WR_KC,Mecole Hardman,WR,KC,,,,0.0,49.0,54.0,5.0,704.0,,,,,,,,,,,,,,
mooney_WR_CHI,Darnell Mooney,WR,CHI,,,,0.0,22.0,60.0,4.0,732.0,,,,,,,,,,,,,,
campbell_WR_IND,Parris Campbell,WR,IND,,,,0.0,86.0,52.0,4.0,629.0,,,,,,,,,,,,,,
moore_WR_NYJ,Elijah Moore,WR,NYJ,,,,0.0,13.0,60.0,4.0,734.0,,,,,,,,,,,,,,
higbee_TE_LAR,Tyler Higbee,TE,LAR,,,,0.0,0.0,52.0,5.0,592.0,,,,,,,,,,,,,,
hooper_TE_CLE,Austin Hooper,TE,CLE,,,,0.0,0.0,53.0,5.0,529.0,,,,,,,,,,,,,,
henry_TE_NE,Hunter Henry,TE,NE,,,,0.0,0.0,48.0,4.0,539.0,,,,,,,,,,,,,,
burrow_QB_CIN,Joe Burrow,QB,CIN,25.0,4195.0,11.0,4.0,246.0,,,,,,,,,,,,,,,,,
mayfield_QB_CLE,Baker Mayfield,QB,CLE,28.0,3899.0,12.0,2.0,189.0,,,,,,,,,,,,,,,,,
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,24.0,4084.0,11.0,3.0,224.0,,,,,,,,,,,,,,,,,
lindsay_RB_HOU,Phillip Lindsay,RB,HOU,,,,3.0,585.0,21.0,1.0,157.0,,,,,,,,,,,,,,
mckissic_RB_WSH,J.D. McKissic,RB,WSH,,,,2.0,295.0,52.0,2.0,414.0,,,,,,,,,,,,,,
pollard_RB_DAL,Tony Pollard,RB,DAL,,,,3.0,428.0,25.0,1.0,182.0,,,,,,,,,,,,,,
mattison_RB_MIN,Alexander Mattison,RB,MIN,,,,4.0,575.0,17.0,1.0,135.0,,,,,,,,,,,,,,
brown_RB_MIA,Malcolm Brown,RB,MIA,,,,4.0,436.0,27.0,1.0,191.0,,,,,,,,,,,,,,
bernard_RB_TB,Giovani Bernard,RB,TB,,,,1.0,129.0,49.0,2.0,361.0,,,,,,,,,,,,,,
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,,,,4.0,352.0,8.0,0.0,65.0,,,,,,,,,,,,,,
gronkowski_TE_TB,Rob Gronkowski,TE,TB,,,,0.0,0.0,39.0,6.0,518.0,,,,,,,,,,,,,,
engram_TE_NYG,Evan Engram,TE,NYG,,,,0.0,14.0,44.0,3.0,448.0,,,,,,,,,,,,,,
kmet_TE_CHI,Cole Kmet,TE,CHI,,,,0.0,0.0,49.0,3.0,495.0,,,,,,,,,,,,,,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,23.0,4131.0,13.0,3.0,292.0,,,,,,,,,,,,,,,,,
ryan_QB_ATL,Matt Ryan,QB,ATL,25.0,4360.0,11.0,1.0,114.0,,,,,,,,,,,,,,,,,
roethlisberger_QB_PIT,Ben Roethlisberger,QB,PIT,27.0,4160.0,13.0,1.0,65.0,,,,,,,,,,,,,,,,,
fields_QB_CHI,Justin Fields,QB,CHI,18.0,3398.0,12.0,4.0,496.0,,,,,,,,,,,,,,,,,
gage_WR_ATL,Russell Gage,WR,ATL,,,,0.0,13.0,63.0,4.0,685.0,,,,,,,,,,,,,,
shepard_WR_NYG,Sterling Shepard,WR,NYG,,,,0.0,27.0,62.0,3.0,651.0,,,,,,,,,,,,,,
crowder_WR_NYJ,Jamison Crowder,WR,NYJ,,,,0.0,0.0,61.0,4.0,698.0,,,,,,,,,,,,,,
agholor_WR_NE,Nelson Agholor,WR,NE,,,,0.0,0.0,50.0,5.0,760.0,,,,,,,,,,,,,,
moore_WR_ARI,Rondale Moore,WR,ARI,,,,0.0,0.0,57.0,3.0,681.0,,,,,,,,,,,,,,
marshall_WR_CAR,Terrace Marshall Jr.,WR,CAR,,,,0.0,0.0,55.0,3.0,671.0,,,,,,,,,,,,,,
coleman_RB_NYJ,Tevin Coleman,RB,NYJ,,,,3.0,472.0,16.0,1.0,138.0,,,,,,,,,,,,,,
hyde_RB_JAX,Carlos Hyde,RB,JAX,,,,3.0,469.0,17.0,0.0,130.0,,,,,,,,,,,,,,
williams_RB_BAL,Ty'Son Williams,RB,BAL,,,,4.0,465.0,14.0,1.0,109.0,,,,,,,,,,,,,,
edwards_WR_LV,Bryan Edwards,WR,LV,,,,0.0,0.0,51.0,4.0,665.0,,,,,,,,,,,,,,
green_WR_ARI,A.J. Green,WR,ARI,,,,0.0,0.0,49.0,4.0,606.0,,,,,,,,,,,,,,
cobb_WR_GB,Randall Cobb,WR,GB,,,,0.0,23.0,52.0,4.0,601.0,,,,,,,,,,,,,,
davis_WR_BUF,Gabriel Davis,WR,BUF,,,,0.0,0.0,43.0,5.0,636.0,,,,,,,,,,,,,,
sanders_WR_BUF,Emmanuel Sanders,WR,BUF,,,,0.0,0.0,46.0,4.0,545.0,,,,,,,,,,,,,,
brown_WR_DET,Amon-Ra St. Brown,WR,DET,,,,0.0,0.0,52.0,3.0,625.0,,,,,,,,,,,,,,
ebron_TE_PIT,Eric Ebron,TE,PIT,,,,0.0,0.0,46.0,4.0,465.0,,,,,,,,,,,,,,
cook_TE_LAC,Jared Cook,TE,LAC,,,,0.0,0.0,40.0,4.0,491.0,,,,,,,,,,,,,,
ertz_TE_PHI,Zach Ertz,TE,PHI,,,,0.0,0.0,46.0,3.0,489.0,,,,,,,,,,,,,,
lance_QB_SF,Trey Lance,QB,SF,17.0,2601.0,9.0,5.0,494.0,,,,,,,,,,,,,,,,,
buccaneers_DST_TB,Buccaneers,DST,TB,,,,,,,,,,,,,,,,,21.375,48.0,,10.0,2.0,15.0
