"","name","pos","pts_2018","img_url"
"48","T.Y. Hilton","WR","241.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14924.png"
"49","Tyrod Taylor","QB","240.5","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14163.png"
"50","Eli Manning","QB","237.7","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5526.png"
"51","Adam Thielen","WR","235.9","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17178.png"
"52","Devonta Freeman","RB","233.1","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16944.png"
"53","Mike Evans","WR","231.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16737.png"
"54","Tyreek Hill","WR","231.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17929.png"
"55","Jameis Winston","QB","227.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17399.png"
"56","Stefon Diggs","WR","227.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17676.png"
"57","Demaryius Thomas","WR","227.2","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13216.png"
"58","Doug Baldwin","WR","224.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14221.png"
"59","Allen Robinson","WR","222","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16799.png"
"60","Amari Cooper","WR","222","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17677.png"
"61","Travis Kelce","TE","217.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15847.png"
"62","Golden Tate","WR","215.9","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13217.png"
"63","Zach Ertz","TE","212.1","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15835.png"
"64","Jarvis Landry","WR","209.2","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16790.png"
"65","Sam Darnold","QB","207.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18566.png"
"66","Joe Mixon","RB","205.4","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18193.png"
"67","Marvin Jones","WR","204.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15072.png"
"68","Royce Freeman","RB","203.6","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18630.png"
"69","Jordan Howard","RB","202.9","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17919.png"
"70","Josh Gordon","WR","201.1","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15705.png"
"71","Kenyan Drake","RB","200.1","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17856.png"
"72","JuJu Smith-Schuster","WR","200","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18306.png"
"73","Joe Flacco","QB","199.1","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11252.png"
"74","Chris Hogan","WR","198.5","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14402.png"
"75","Corey Davis","WR","196.8","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18320.png"
"76","Brandin Cooks","WR","196.3","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16731.png"
"77","Michael Crabtree","WR","194.9","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12563.png"
"78","Emmanuel Sanders","WR","191.1","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13295.png"
"79","Alex Collins","RB","190.9","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17933.png"
"80","Marquise Goodwin","WR","190.2","http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15839.png"
