key,name,pos,team,bye,std,half_ppr,ppr
taylor_RB_IND,Jonathan Taylor,RB,IND,14,1.0,1.0,1.0
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13,3.0,3.5,2.6
ekeler_RB_LAC,Austin Ekeler,RB,LAC,8,3.0,3.0,3.6
kupp_WR_LAR,Cooper Kupp,WR,LAR,7,4.3,4.3,4.0
henry_RB_TEN,Derrick Henry,RB,TEN,6,4.7,3.8,4.8
jefferson_WR_MIN,Justin Jefferson,WR,MIN,7,5.7,6.8,5.8
harris_RB_PIT,Najee Harris,RB,PIT,9,7.0,7.0,6.8
cook_RB_MIN,Dalvin Cook,RB,MIN,7,7.3,6.8,8.0
chase_WR_CIN,Ja'Marr Chase,WR,CIN,10,9.3,9.0,8.6
adams_WR_LV,Davante Adams,WR,LV,6,11.0,11.3,10.6
mixon_RB_CIN,Joe Mixon,RB,CIN,10,11.0,10.3,11.4
diggs_WR_BUF,Stefon Diggs,WR,BUF,7,13.0,13.5,12.4
swift_RB_DET,D'Andre Swift,RB,DET,6,13.7,15.0,12.8
kelce_TE_KC,Travis Kelce,TE,KC,8,13.7,14.0,14.8
williams_RB_DEN,Javonte Williams,RB,DEN,9,16.7,17.3,19.4
chubb_RB_CLE,Nick Chubb,RB,CLE,9,17.0,14.3,18.4
samuel_WR_SF,Deebo Samuel,WR,SF,9,17.7,19.5,17.8
hill_WR_MIA,Tyreek Hill,WR,MIA,11,18.7,21.0,19.4
lamb_WR_DAL,CeeDee Lamb,WR,DAL,9,19.0,17.5,17.4
kamara_RB_NO,Alvin Kamara,RB,NO,14,20.3,18.8,19.0
andrews_TE_BAL,Mark Andrews,TE,BAL,10,21.3,22.5,22.2
barkley_RB_NYG,Saquon Barkley,RB,NYG,9,22.3,23.0,22.8
jones_RB_GB,Aaron Jones,RB,GB,14,23.0,20.3,20.2
fournette_RB_TB,Leonard Fournette,RB,TB,11,23.3,23.8,21.2
allen_QB_BUF,Josh Allen,QB,BUF,7,23.7,21.8,24.2
