,name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_2018
107,jamaal_williams,RB,125.0,92.0,165.58,,
108,dion_lewis,RB,123.0,91.0,126.57,32.1,
109,marshawn_lynch,RB,116.0,89.0,131.09,,
110,peyton_barber,RB,114.0,88.0,169.2,38.4,
111,marlon_mack,RB,113.0,86.0,158.6,,
112,ty_montgomery,RB,113.0,86.0,79.3,83.9,
113,alfred_morris,RB,113.0,84.0,137.01,47.5,
114,sony_michel,RB,113.0,82.0,47.2,,
115,bilal_powell,RB,113.0,82.0,146.14,119.3,
116,theo_riddick,RB,111.0,81.0,74.78,113.7,
117,corey_clement,RB,110.0,79.0,72.16,,
118,devontae_booker,RB,105.0,78.0,83.21,151.7,
119,austin_ekeler,RB,105.0,77.0,60.32,,
120,chris_carson,RB,102.0,76.0,133.04,,
121,giovani_bernard,RB,102.0,76.0,126.6,109.3,
122,jordan_wilkins,RB,101.0,75.0,41.17,,
123,rashaad_penny,RB,99.0,75.0,48.26,,
124,nyheim_hines,RB,97.0,73.0,72.21,,
125,nick_chubb,RB,96.0,69.0,34.8,,
126,spencer_ware,RB,93.0,68.0,41.59,190.2,
127,adrian_peterson,RB,91.0,68.0,145.83,40.2,
128,frank_gore,RB,90.0,66.0,64.78,191.6,
129,darren_sproles,RB,85.0,64.0,65.26,97.5,
130,d'onta_foreman,RB,85.0,64.0,0.0,,
131,cj_prosise,RB,84.0,64.0,39.18,31.0,
132,cj_anderson,RB,83.0,62.0,111.67,90.9,
133,wayne_gallman,RB,77.0,60.0,62.26,,
134,jalen_richard,RB,74.0,60.0,31.65,30.6,
135,latavius_murray,RB,73.0,57.0,73.57,167.8,
136,doug_martin,RB,72.0,54.0,88.74,104.6,
137,legarrette_blount,RB,71.0,54.0,73.64,178.3,
138,kyle_juszczyk,RB,70.0,54.0,50.97,40.6,
139,aaron_jones,RB,69.0,52.0,0.0,,
140,ronald_jones,RB,68.0,51.0,73.11,,
141,james_conner,RB,68.0,51.0,20.79,,
142,marcus_murphy,RB,66.0,48.0,12.31,,
143,tj_yeldon,RB,65.0,47.0,95.92,136.2,
144,rod_smith,RB,63.0,45.0,75.31,,
145,chase_edmonds,RB,60.0,43.0,32.07,,
146,chris_ivory,RB,58.0,41.0,44.73,115.0,
147,corey_grant,RB,57.0,40.0,27.13,9.1,
148,jeremy_hill,RB,54.0,39.0,65.54,153.8,
149,rob_kelley,RB,51.0,39.0,14.45,103.7,
150,raheem_mostert,RB,47.0,35.0,11.91,,
151,phillip_lindsay,RB,43.0,31.0,31.66,,
152,mike_gillislee,RB,39.0,31.0,68.35,91.4,
153,kenneth_dixon,RB,36.0,31.0,89.15,59.1,
154,cameron_artis-payne,RB,36.0,29.0,6.73,35.2,
155,malcolm_brown,RB,35.0,21.0,29.87,12.4,
156,robert_turbin,RB,31.0,20.0,,44.2,
157,elijah_mcguire,RB,28.0,18.0,29.98,,
158,wendell_smallwood,RB,26.0,18.0,1.47,37.7,
159,mike_davis,RB,25.0,15.0,0.0,10.7,
160,mark_walton,RB,18.0,13.0,40.4,,
161,jaylen_samuels,RB,18.0,12.0,,,
162,ameer_abdullah,RB,16.0,11.0,24.74,18.4,
163,alfred_blue,RB,13.0,9.0,89.05,52.5,
164,kalen_ballage,RB,13.0,8.0,25.46,,
165,christine_michael,RB,11.0,8.0,1.71,139.0,
166,orleans_darkwa,RB,11.0,8.0,0.0,17.6,
167,jacquizz_rodgers,RB,11.0,8.0,20.29,60.1,
168,andre_ellington,RB,11.0,7.0,0.0,50.0,
169,anthony_sherman,RB,10.0,6.0,10.58,,
170,samaje_perine,RB,10.0,6.0,,,
171,jamize_olawale,RB,9.0,5.0,5.29,19.6,
172,deandre_washington,RB,9.0,5.0,,45.0,
173,benny_cunningham,RB,6.0,4.0,27.08,50.4,
174,lance_dunbar,RB,6.0,4.0,,14.8,
175,damien_williams,RB,6.0,4.0,44.28,25.4,
176,james_develin,RB,6.0,4.0,6.67,4.1,
177,zach_line,RB,5.0,3.0,7.06,8.8,
178,dalton_crossan,RB,5.0,3.0,0.0,,
179,patrick_dimarco,RB,5.0,3.0,11.47,6.3,
180,stevan_ridley,RB,5.0,3.0,,,
181,gus_edwards,RB,5.0,3.0,0.0,,
182,john_kelly,RB,5.0,3.0,35.6,,
183,mark_thompson,RB,5.0,3.0,,,
184,andy_janovich,RB,5.0,3.0,8.59,,
185,david_williams,RB,4.0,2.0,,,
186,roosevelt_nix-jones,RB,4.0,2.0,,,
187,ito_smith,RB,4.0,2.0,16.47,,
188,branden_oliver,RB,4.0,2.0,,,
189,justin_davis,RB,4.0,2.0,0.0,,
190,jay_prosch,RB,4.0,2.0,,,
191,trenton_cannon,RB,4.0,2.0,30.21,,
192,cj_spiller,RB,3.0,2.0,,7.9,
193,jalston_fowler,RB,3.0,1.0,0.0,9.1,
194,trey_edmunds,RB,3.0,1.0,0.0,,
195,keith_smith,RB,3.0,1.0,5.33,,
196,shane_smith,RB,2.0,1.0,3.89,,
197,eddie_lacy,RB,2.0,1.0,0.0,61.1,
198,derek_watt,RB,2.0,1.0,7.53,,
199,tion_green,RB,2.0,1.0,0.0,,
200,fitzgerald_toussaint,RB,1.0,0.0,,18.8,
201,byron_marshall,RB,1.0,0.0,,,
202,tyler_ervin,RB,1.0,0.0,0.0,6.2,
203,daniel_lasco,RB,1.0,0.0,0.0,,
204,brandon_bolden,RB,1.0,0.0,0.0,,
205,derrick_coleman,RB,1.0,0.0,4.52,,
206,marquez_williams,RB,1.0,0.0,,,
207,michael_burton,RB,1.0,0.0,10.95,2.8,
208,taiwan_jones,RB,0.0,0.0,4.54,,
209,matt_dayes,RB,0.0,0.0,0.0,,
210,brandon_wilson,RB,0.0,0.0,,,
211,senorise_perry,RB,0.0,0.0,,,
212,david_fluellen,RB,0.0,0.0,8.1,,
213,antonio_brown,WR,323.0,211.0,215.44,203.1,321.7
214,deandre_hopkins,WR,272.0,178.0,174.03,169.0,281.3
215,odell_beckham,WR,264.0,163.0,159.22,,275.8
216,julio_jones,WR,260.0,156.0,188.2,218.2,291.7
217,michael_thomas,WR,257.0,155.0,187.81,116.8,278.2
218,davante_adams,WR,246.0,152.0,148.09,66.1,251.4
219,keenan_allen,WR,241.0,146.0,192.51,8.7,278.8
220,aj_green,WR,239.0,145.0,149.43,133.6,266.3
221,jarvis_landry,WR,239.0,145.0,138.26,151.5,209.2
222,stefon_diggs,WR,235.0,139.0,142.22,127.8,227.3
223,mike_evans,WR,231.0,136.0,141.45,161.9,231.8
224,demaryius_thomas,WR,224.0,136.0,128.48,143.9,227.2
225,adam_thielen,WR,222.0,135.0,127.33,79.3,235.9
226,golden_tate,WR,221.0,133.0,124.19,123.2,215.9
227,larry_fitzgerald,WR,219.0,130.0,143.32,145.6,241.9
228,amari_cooper,WR,217.0,130.0,135.6,163.4,222.0
229,tyreek_hill,WR,216.0,129.0,153.8,74.0,231.3
230,doug_baldwin,WR,210.0,128.0,147.88,143.8,224.4
231,ty_hilton,WR,209.0,123.0,112.04,166.5,241.3
232,josh_gordon,WR,203.0,122.0,143.41,,201.1
233,michael_crabtree,WR,201.0,117.0,117.75,133.5,194.9
234,juju_smith-schuster,WR,194.0,116.0,144.69,,200.0
235,marvin_jones,WR,183.0,116.0,142.16,,204.8
236,marquise_goodwin,WR,179.0,111.0,136.33,61.4,190.2
237,robby_anderson,WR,177.0,110.0,111.95,47.9,
238,sterling_shepard,WR,177.0,107.0,109.48,109.2,
239,corey_davis,WR,174.0,105.0,105.46,,196.8
240,emmanuel_sanders,WR,172.0,104.0,94.91,147.0,191.1
241,pierre_garcon,WR,170.0,103.0,114.05,101.9,
242,robert_woods,WR,169.0,103.0,138.54,67.6,
243,cooper_kupp,WR,169.0,101.0,130.33,,
244,jamison_crowder,WR,168.0,101.0,127.03,91.3,
245,allen_robinson,WR,167.0,98.0,115.61,144.5,222.0
246,brandin_cooks,WR,163.0,98.0,122.27,157.2,196.3
247,julian_edelman,WR,159.0,98.0,0.0,143.6,
248,nelson_agholor,WR,159.0,98.0,106.57,68.7,
249,jordy_nelson,WR,158.0,98.0,72.35,173.7,
250,chris_hogan,WR,155.0,97.0,106.5,71.4,198.5
251,sammy_watkins,WR,152.0,93.0,96.87,69.3,
252,will_fuller,WR,148.0,93.0,89.92,,
253,devin_funchess,WR,147.0,93.0,121.37,65.3,
254,mohamed_sanu,WR,146.0,93.0,103.13,93.4,
