,name,pos,pts_espn,pts_cbs,pts_nfl
0,aaron_rodgers,QB,352.0,415.8,340.68
1,drew_brees,QB,334.0,423.8,340.68
2,tom_brady,QB,325.0,369.6,318.28
3,peyton_manning,QB,324.0,400.0,333.96
4,cam_newton,QB,323.0,368.6,306.52
5,matt_ryan,QB,314.0,362.2,276.72
6,colin_kaepernick,QB,306.0,330.2,302.08
7,matthew_stafford,QB,288.0,356.2,262.22
8,tony_romo,QB,284.0,341.8,260.36
9,russell_wilson,QB,280.0,315.8,271.6
10,andrew_luck,QB,280.0,343.6,328.6
11,adrian_peterson,RB,279.0,258.4,287.8
12,robert_griffin_iii,QB,268.0,347.0,289.78
13,arian_foster,RB,261.0,213.0,310.4
14,calvin_johnson,WR,236.0,223.2,207.4
15,marshawn_lynch,RB,233.0,221.6,247.6
16,eli_manning,QB,232.0,316.8,244.44
17,ray_rice,RB,232.0,211.6,225.7
18,matt_schaub,QB,230.0,277.0,206.0
19,jamaal_charles,RB,228.0,232.0,242.3
20,cj_spiller,RB,227.0,238.0,235.6
21,doug_martin,RB,226.0,235.4,247.8
22,trent_richardson,RB,226.0,227.0,211.7
23,ben_roethlisberger,QB,221.0,281.2,232.82
24,carson_palmer,QB,221.0,288.0,224.74
25,alfred_morris,RB,219.0,201.2,223.4
26,josh_freeman,QB,218.0,281.4,254.52
27,philip_rivers,QB,216.0,266.0,236.0
28,joe_flacco,QB,215.0,262.6,223.2
29,andy_dalton,QB,210.0,291.0,254.24
30,sam_bradford,QB,206.0,284.4,199.68
31,ryan_tannehill,QB,205.0,259.6,138.46
32,dez_bryant,WR,202.0,198.4,187.2
33,aj_green,WR,201.0,197.2,194.0
34,jay_cutler,QB,200.0,284.0,198.88
35,lesean_mccoy,RB,200.0,217.2,211.5
36,michael_vick,QB,198.0,282.0,239.1
37,brandon_marshall,WR,196.0,190.4,201.1
38,steven_jackson,RB,192.0,184.2,186.8
39,julio_jones,WR,186.0,188.2,184.0
40,matt_forte,RB,182.0,191.8,189.1
41,stevan_ridley,RB,181.0,188.2,207.6
42,demaryius_thomas,WR,180.0,182.4,176.4
43,frank_gore,RB,178.0,164.6,175.5
44,roddy_white,WR,177.0,171.0,160.4
45,andre_johnson,WR,177.0,173.8,168.6
46,vincent_jackson,WR,175.0,165.6,169.7
47,jimmy_graham,TE,174.0,161.0,179.4
48,rob_gronkowski,TE,173.0,149.0,153.1
49,chris_johnson,RB,172.0,186.6,188.7
50,maurice_jones-drew,RB,172.0,173.6,189.8
51,randall_cobb,WR,171.0,168.8,181.0
52,alex_smith,QB,170.0,266.6,202.92
53,jake_locker,QB,170.0,258.4,175.8
54,brandon_weeden,QB,170.0,269.0,169.04
55,darren_mcfadden,RB,168.0,148.8,206.8
