key,name,pos,team,bye,std,half_ppr,ppr
mccaffrey_RB_CAR,Christian McCaffrey,RB,CAR,13,1.0,1.0,1.0
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,10,2.5,3.0,3.0
barkley_RB_NYG,Saquon Barkley,RB,NYG,11,2.5,2.0,2.0
henry_RB_TEN,Derrick Henry,RB,TEN,7,5.0,6.0,7.3
cook_RB_MIN,Dalvin Cook,RB,MIN,7,5.0,6.0,4.7
thomas_WR_NO,Michael Thomas,WR,NO,6,5.5,5.0,5.3
kamara_RB_NO,Alvin Kamara,RB,NO,6,6.5,5.0,5.0
adams_WR_GB,Davante Adams,WR,GB,5,11.0,8.5,11.0
hill_WR_KC,Tyreek Hill,WR,KC,10,12.0,11.0,14.7
chubb_RB_CLE,Nick Chubb,RB,CLE,9,12.0,13.0,14.3
mixon_RB_CIN,Joe Mixon,RB,CIN,9,12.5,10.0,13.7
jones_WR_ATL,Julio Jones,WR,ATL,10,14.0,12.5,15.7
jacobs_RB_LV,Josh Jacobs,RB,LV,6,14.0,16.5,13.7
edwardshelaire_RB_KC,Clyde Edwards-Helaire,RB,KC,10,15.0,16.5,16.0
jones_RB_GB,Aaron Jones,RB,GB,5,15.5,20.0,17.0
mahomes_QB_KC,Patrick Mahomes,QB,KC,10,17.0,18.5,20.3
jackson_QB_BAL,Lamar Jackson,QB,BAL,8,17.0,19.0,20.7
hopkins_WR_ARI,DeAndre Hopkins,WR,ARI,8,17.0,15.5,14.0
kelce_TE_KC,Travis Kelce,TE,KC,10,17.0,16.5,18.0
godwin_WR_TB,Chris Godwin,WR,TB,13,19.0,19.0,20.0
drake_RB_ARI,Kenyan Drake,RB,ARI,8,19.5,16.5,16.0
kittle_TE_SF,George Kittle,TE,SF,11,21.5,19.0,22.3
sanders_RB_PHI,Miles Sanders,RB,PHI,9,21.5,21.5,13.7
ekeler_RB_LAC,Austin Ekeler,RB,LAC,10,22.0,21.5,15.0
golladay_WR_DET,Kenny Golladay,WR,DET,5,23.0,23.5,25.3
evans_WR_TB,Mike Evans,WR,TB,13,24.0,25.5,25.7
gurley_RB_ATL,Todd Gurley,RB,ATL,10,28.5,32.0,31.0
cooper_WR_DAL,Amari Cooper,WR,DAL,10,28.5,33.5,33.7
beckham_WR_CLE,Odell Beckham Jr.,WR,CLE,9,30.5,27.5,30.7
smithschuster_WR_PIT,JuJu Smith-Schuster,WR,PIT,8,32.0,32.0,33.3
carson_RB_SEA,Chris Carson,RB,SEA,6,32.5,34.0,32.0
thielen_WR_MIN,Adam Thielen,WR,MIN,7,35.5,33.0,33.3
brown_WR_TEN,A.J. Brown,WR,TEN,7,37.0,36.5,41.3
taylor_RB_IND,Jonathan Taylor,RB,IND,7,37.5,40.0,45.3
fournette_RB_TB,Leonard Fournette,RB,TB,13,37.5,44.0,50.0
andrews_TE_BAL,Mark Andrews,TE,BAL,8,38.5,36.5,42.7
robinson_WR_CHI,Allen Robinson,WR,CHI,11,38.5,27.0,31.3
kupp_WR_LAR,Cooper Kupp,WR,LAR,9,39.5,39.5,37.7
johnson_RB_HOU,David Johnson,RB,HOU,8,40.5,50.0,38.0
watson_QB_HOU,Deshaun Watson,QB,HOU,8,42.5,57.0,57.0
moore_WR_CAR,D.J. Moore,WR,CAR,13,42.5,34.0,29.7
conner_RB_PIT,James Conner,RB,PIT,8,44.0,41.0,39.0
ridley_WR_ATL,Calvin Ridley,WR,ATL,10,44.0,44.0,43.0
ingram_RB_BAL,Mark Ingram II,RB,BAL,8,45.0,48.5,58.7
prescott_QB_DAL,Dak Prescott,QB,DAL,10,45.5,49.0,54.0
gordon_RB_DEN,Melvin Gordon,RB,DEN,8,46.0,37.5,41.3
mostert_RB_SF,Raheem Mostert,RB,SF,11,47.0,57.0,58.0
