key,adp_8_ppr,bye,name,pos,team,adp_8_standard,adp_10_ppr,adp_10_standard,adp_12_ppr,adp_12_standard,adp_14_ppr,adp_14_standard
ginn_WR_NO,,,,,,,,,,,230,
godwin_WR_TB,59,7,Chris Godwin,WR,TB,58,53,58,52,59,53,58
goedert_TE_PHI,,,,,,,,,,169,210,226
goff_QB_LAR,98,9,Jared Goff,QB,LAR,95,105,101,109,103,104,103
golladay_WR_DET,44,5,Kenny Golladay,WR,DET,47,45,48,46,48,46,47
goodwin_WR_SF,,,,,,,,154,187,149,189,148
gordon_RB_LAC,6,12,Melvin Gordon,RB,LAC,5,6,6,6,6,6,6
gostkowski_K_NE,145,10,Stephen Gostkowski,K,NE,147,161,163,179,183,190,198
gould_K_SF,148,4,Robbie Gould,K,SF,154,168,177,201,204,208,220
graham_TE_GB,,,,,,,147,135,156,166,162,167
green_WR_CIN,33,9,A.J. Green,WR,CIN,28,31,29,31,28,32,31
guice_RB_WAS,73,10,Derrius Guice,RB,WAS,60,71,60,69,57,68,54
gurley_RB_LAR,17,9,Todd Gurley,RB,LAR,13,17,16,17,16,18,13
hamilton_WR_DEN,,,,,,,,,150,181,148,173
hardman_WR_KC,112,12,Mecole Hardman,WR,KC,125,116,113,120,115,112,114
harris_RB_FA,149,12,Damien Harris,RB,FA,,125,141,121,130,123,153
harry_WR_NE,92,10,N'Keal Harry,WR,NE,107,94,93,100,94,93,100
henderson_RB_FA,71,12,Darrell Henderson,RB,FA,84,72,75,70,73,70,80
henry_RB_TEN,37,11,Derrick Henry,RB,TEN,27,38,23,38,24,38,24
henry_TE_LAC,57,12,Hunter Henry,TE,LAC,71,60,59,63,61,64,64
herndon_TE_NYJ,,,,,,,,,161,167,183,199
hill_RB_FA,,,,,,,,150,147,164,142,164
hill_WR_KC,40,12,Tyreek Hill,WR,KC,46,39,44,40,41,40,49
hilton_WR_IND,24,6,T.Y. Hilton,WR,IND,26,25,26,25,26,24,27
hines_RB_IND,,,,,,,150,,139,190,136,197
hockenson_TE_DET,144,5,T.J. Hockenson,TE,DET,112,131,129,128,144,97,117
hooper_TE_ATL,117,9,Austin Hooper,TE,ATL,,129,148,122,160,98,158
hopkins_WR_HOU,7,10,DeAndre Hopkins,WR,HOU,7,7,7,7,7,7,8
howard_RB_PHI,103,10,Jordan Howard,RB,PHI,73,93,76,92,77,92,74
howard_TE_TB,49,7,O.J. Howard,TE,TB,53,55,52,58,52,56,55
hunt_RB_CLE,88,7,Kareem Hunt,RB,CLE,86,83,84,85,88,84,86
hyde_RB_KC,132,12,Carlos Hyde,RB,KC,111,120,109,111,102,115,105
ingram_RB_BAL,48,8,Mark Ingram,RB,BAL,40,46,38,44,39,44,38
isabella_WR_ARI,,,,,,,,,189,179,164,181
jackson_QB_BAL,,,,,,,155,157,148,142,159,143
jackson_WR_PHI,128,10,DeSean Jackson,WR,PHI,131,130,119,129,120,127,121
jacobs_RB_OAK,35,6,Josh Jacobs,RB,OAK,37,35,30,35,31,35,34
jaguars_DST_JAX,102,10,Jaguars,DST,JAX,98,109,111,119,118,124,123
jeffery_WR_PHI,74,10,Alshon Jeffery,WR,PHI,70,73,70,72,71,71,69
jets_DST_NYJ,,,,,,,,,,,218,232
johnson_RB_ARI,5,12,David Johnson,RB,ARI,6,5,5,5,5,5,5
johnson_RB_CLE,,,,,,,,,,,211,221
johnson_RB_DET,39,5,Kerryon Johnson,RB,DET,41,36,35,36,34,36,37
jones_RB_GB,30,11,Aaron Jones,RB,GB,33,28,28,26,27,31,30
jones_RB_TB,99,7,Ronald Jones II,RB,TB,135,92,99,89,97,91,106
jones_WR_ATL,11,9,Julio Jones,WR,ATL,12,11,11,11,12,12,12
jones_WR_BUF,,,,,,,,,,,,235
jones_WR_DET,105,5,Marvin Jones,WR,DET,101,97,96,98,100,105,102
kamara_RB_NO,4,9,Alvin Kamara,RB,NO,3,2,3,2,4,4,3
kelce_TE_KC,15,12,Travis Kelce,TE,KC,17,16,19,16,19,16,17
kirk_WR_ARI,84,12,Christian Kirk,WR,ARI,88,80,90,80,89,80,89
kittle_TE_SF,32,4,George Kittle,TE,SF,35,34,37,34,37,34,35
kumerow_WR_GB,,,,,,,,,,,,219
kupp_WR_LAR,50,9,Cooper Kupp,WR,LAR,51,49,53,50,53,49,52
landry_WR_CLE,61,7,Jarvis Landry,WR,CLE,66,56,63,55,67,58,67
lewis_RB_TEN,,,,,,,,162,157,165,150,150
lindsay_RB_DEN,45,10,Phillip Lindsay,RB,DEN,45,44,46,43,43,43,41
lockett_WR_SEA,56,11,Tyler Lockett,WR,SEA,64,52,54,53,54,54,59
luck_QB_IND,42,6,Andrew Luck,QB,IND,38,47,43,48,47,48,42
lutz_K_NO,139,9,Wil Lutz,K,NO,150,148,159,168,170,182,194
mack_RB_IND,34,6,Marlon Mack,RB,IND,25,32,27,32,25,33,25
maher_K_DAL,,,,,,,,178,206,208,231,227
mahomes_QB_KC,28,12,Pat Mahomes,QB,KC,23,30,25,29,29,28,26
mattison_RB_MIN,110,12,Alexander Mattison,RB,MIN,,140,145,130,143,129,142
mayfield_QB_CLE,55,7,Baker Mayfield,QB,CLE,54,62,61,67,64,63,62
mccaffrey_RB_CAR,3,7,Christian McCaffrey,RB,CAR,4,3,4,4,3,3,4
mccoy_RB_BUF,119,6,LeSean McCoy,RB,BUF,105,104,97,94,96,96,94
mcdonald_TE_PIT,90,7,Vance McDonald,TE,PIT,90,86,91,83,83,86,87
mckinnon_RB_SF,138,4,Jerick McKinnon,RB,SF,114,119,118,110,110,111,108
metcalf_WR_SEA,101,11,D.K. Metcalf,WR,SEA,93,101,98,103,99,103,99
michel_RB_NE,54,10,Sony Michel,RB,NE,39,51,42,51,42,50,39
miller_RB_HOU,80,10,Lamar Miller,RB,HOU,69,74,67,71,65,75,68
miller_WR_CHI,,,,,,,152,153,141,141,144,139
