key,name,pos,team,bye,std,half_ppr,ppr
robinson_RB_ATL,Bijan Robinson,RB,ATL,11,1.0,1.0,1.5
gibbs_RB_DET,Jahmyr Gibbs,RB,DET,6,2.0,2.0,1.5
chase_WR_CIN,Ja'Marr Chase,WR,CIN,6,3.0,3.0,3.0
nacua_WR_LAR,Puka Nacua,WR,LAR,11,4.0,4.0,4.0
smithnjigba_WR_SEA,Jaxon Smith-Njigba,WR,SEA,11,5.0,5.3,5.0
taylor_RB_IND,Jonathan Taylor,RB,IND,13,6.0,7.0,7.5
mccaffrey_RB_SF,Christian McCaffrey,RB,SF,8,7.0,6.0,6.0
brown_WR_DET,Amon-Ra St. Brown,WR,DET,6,8.0,7.7,7.5
lamb_WR_DAL,CeeDee Lamb,WR,DAL,14,9.0,11.0,10.5
jefferson_WR_MIN,Justin Jefferson,WR,MIN,6,10.0,9.7,11.5
cook_RB_BUF,James Cook III,RB,BUF,7,11.0,10.7,11.0
jeanty_RB_LV,Ashton Jeanty,RB,LV,13,12.0,13.3,10.0
barkley_RB_PHI,Saquon Barkley,RB,PHI,10,13.0,14.3,14.5
achane_RB_MIA,De'Von Achane,RB,MIA,6,14.0,13.3,13.0
hampton_RB_LAC,Omarion Hampton,RB,LAC,7,15.0,17.3,15.5
walker_RB_KC,Kenneth Walker III,RB,KC,5,16.0,18.3,16.5
henry_RB_BAL,Derrick Henry,RB,BAL,13,17.0,20.7,20.5
brown_RB_CIN,Chase Brown,RB,CIN,6,18.0,19.0,15.0
london_WR_ATL,Drake London,WR,ATL,11,19.0,19.0,17.5
bowers_TE_LV,Brock Bowers,TE,LV,13,20.0,17.7,20.5
love_RB_ARI,Jeremiyah Love,RB,ARI,14,21.0,23.7,21.5
pickens_WR_DAL,George Pickens,WR,DAL,14,22.0,24.3,24.0
collins_WR_HOU,Nico Collins,WR,HOU,8,23.0,23.3,23.0
brown_WR_NE,A.J. Brown,WR,NE,11,24.0,27.3,26.5
nabers_WR_NYG,Malik Nabers,WR,NYG,8,25.0,26.0,30.0
mcbride_TE_ARI,Trey McBride,TE,ARI,14,26.0,17.7,20.5
hall_RB_NYJ,Breece Hall,RB,NYJ,13,27.0,32.0,29.0
etienne_RB_NO,Travis Etienne Jr.,RB,NO,8,28.0,34.7,31.0
olave_WR_NO,Chris Olave,WR,NO,8,29.0,27.3,28.0
rice_WR_KC,Rashee Rice,WR,KC,5,30.0,31.3,26.5
allen_QB_BUF,Josh Allen,QB,BUF,7,31.0,20.7,30.0
smith_WR_PHI,DeVonta Smith,WR,PHI,10,32.0,38.3,34.0
williams_RB_LAR,Kyren Williams,RB,LAR,11,33.0,31.0,31.5
higgins_WR_CIN,Tee Higgins,WR,CIN,6,34.0,37.0,36.5
williams_RB_DAL,Javonte Williams,RB,DAL,14,35.0,35.0,35.5
flowers_WR_BAL,Zay Flowers,WR,BAL,13,36.0,40.7,34.5
mcmillan_WR_CAR,Tetairoa McMillan,WR,CAR,5,37.0,40.0,38.0
jacobs_RB_GB,Josh Jacobs,RB,GB,11,38.0,37.3,34.0
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,13,39.0,43.0,37.0
egbuka_WR_TB,Emeka Egbuka,WR,TB,10,40.0,39.7,40.5
mcconkey_WR_LAC,Ladd McConkey,WR,LAC,7,41.0,46.7,38.5
burden_WR_CHI,Luther Burden III,WR,CHI,10,42.0,49.7,44.5
skattebo_RB_NYG,Cam Skattebo,RB,NYG,8,43.0,41.7,43.0
evans_WR_SF,Mike Evans,WR,SF,8,44.0,54.3,55.5
loveland_TE_CHI,Colston Loveland,TE,CHI,10,45.0,36.0,43.5
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,7,46.0,55.0,49.5
williams_WR_DET,Jameson Williams,WR,DET,6,47.0,55.7,50.5
henderson_RB_NE,TreVeyon Henderson,RB,NE,11,48.0,51.7,50.5
montgomery_RB_HOU,David Montgomery,RB,HOU,8,49.0,50.3,49.0
waddle_WR_DEN,Jaylen Waddle,WR,DEN,10,50.0,56.0,50.5
irving_RB_TB,Bucky Irving,RB,TB,10,51.0,51.3,49.5
adams_WR_LAR,Davante Adams,WR,LAR,11,52.0,52.7,48.0
swift_RB_CHI,D'Andre Swift,RB,CHI,10,53.0,57.3,51.5
moore_WR_BUF,DJ Moore,WR,BUF,7,54.0,46.7,52.5
judkins_RB_CLE,Quinshon Judkins,RB,CLE,11,55.0,48.0,54.0
odunze_WR_CHI,Rome Odunze,WR,CHI,10,56.0,62.0,56.0
jackson_QB_BAL,Lamar Jackson,QB,BAL,13,57.0,42.3,51.5
price_RB_SEA,Jadarian Price,RB,SEA,11,58.0,55.0,60.5
tate_WR_TEN,Carnell Tate,WR,TEN,9,59.0,71.0,63.0
watson_WR_GB,Christian Watson,WR,GB,11,60.0,71.0,55.0
tuten_RB_JAX,Bhayshul Tuten,RB,JAX,7,61.0,63.7,62.5
tyson_WR_NO,Jordyn Tyson,WR,NO,8,62.0,78.0,71.0
burrow_QB_CIN,Joe Burrow,QB,CIN,6,63.0,48.7,59.0
thomas_WR_JAX,Brian Thomas Jr.,WR,JAX,7,64.0,71.3,74.5
warren_TE_IND,Tyler Warren,TE,IND,13,65.0,51.3,63.5
daniels_QB_WSH,Jayden Daniels,QB,WSH,7,66.0,57.7,65.0
harrison_WR_ARI,Marvin Harrison Jr.,WR,ARI,14,67.0,72.3,66.0
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,5,68.0,71.3,67.0
