key,name,pos,team,bye,std,half_ppr,ppr
tucker_WR_LV,,,,,294.0,280.0,
turner_WR_LV,DJ Turner,WR,LV,10,,,412.0
turpin_WR_DAL,KaVontae Turpin,WR,DAL,7,,,473.0
uzomah_TE_PHI,C.J. Uzomah,TE,PHI,5,,,313.0
vaki_RB_DET,Sione Vaki,RB,DET,5,,,402.0
valdesscantling_WR_BUF,Marquez Valdes-Scantling,WR,BUF,12,,,361.0
vaughn_RB_DAL,Deuce Vaughn,RB,DAL,7,292.0,279.0,344.0
vidal_RB_LAC,Kimani Vidal,RB,LAC,5,151.5,162.7,188.8
vikings_DST_MIN,Vikings,DST,MIN,6,284.0,244.5,215.8
waddle_WR_MIA,Jaylen Waddle,WR,MIA,6,35.5,36.0,39.6
walker_QB_SEA,P.J. Walker,QB,SEA,10,,,484.0
walker_RB_SEA,Kenneth Walker III,RB,SEA,10,46.0,46.0,43.0
walker_WR_BAL,Devontez Walker,WR,BAL,14,270.0,270.0,237.0
warren_RB_PIT,Jaylen Warren,RB,PIT,9,87.0,88.3,88.0
washington_TE_PIT,Darnell Washington,TE,PIT,9,,,329.0
washington_WR_ATL,Casey Washington,WR,ATL,12,,,434.0
washington_WR_MIA,Malik Washington,WR,MIA,6,289.0,277.0,323.0
watson_QB_CLE,Deshaun Watson,QB,CLE,10,152.0,161.0,168.2
watson_TE_TEN,,,,,283.0,,
watson_WR_GB,Christian Watson,WR,GB,10,97.0,104.7,102.2
watson_WR_KC,Justin Watson,WR,KC,6,,,316.0
wentz_QB_KC,Carson Wentz,QB,KC,6,,,279.0
westbrookikhine_WR_TEN,Nick Westbrook-Ikhine,WR,TEN,5,,,388.0
white_QB_MIA,Mike White,QB,MIA,6,,,276.0
white_RB_LV,Zamir White,RB,LV,10,69.0,67.3,65.4
white_RB_TB,Rachaad White,RB,TB,11,34.5,34.0,33.6
whittington_WR_LAR,Jordan Whittington,WR,LAR,6,,,479.0
whyle_TE_TEN,Josh Whyle,TE,TEN,5,,,438.0
wicks_WR_GB,Dontayvion Wicks,WR,GB,10,161.5,163.7,181.8
williams_QB_CHI,Caleb Williams,QB,CHI,7,100.0,106.0,119.2
williams_RB_ATL,Avery Williams,RB,ATL,12,,,405.0
williams_RB_DEN,Javonte Williams,RB,DEN,14,94.0,97.7,97.8
williams_RB_LAR,Kyren Williams,RB,LAR,6,17.0,16.7,16.2
